,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2149,1938,206,33,3,9,65,171,2,0,0,0,1858,5,33,Matches
45,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,2296,1977,295,69,28,18,177,21,151,51,73,0,1793,24,38,Matches
46,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1954,1900,49,46,1,37,3,2,0,0,0,0,1635,5,8,Matches
47,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,499,464,35,2,3,5,69,23,10,1,6,1,339,0,14,Matches
48,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,227,200,27,2,2,0,1,1,1,0,0,0,179,0,4,Matches
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,111,93,18,0,0,0,1,0,1,0,0,0,81,0,0,Matches
50,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,1813,1748,60,52,4,31,7,4,4,3,0,0,1632,5,20,Matches
51,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,1066,956,106,82,1,48,26,3,21,10,3,0,830,4,13,Matches
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2009,1915,82,72,12,20,9,10,0,0,0,0,1630,12,10,Matches
53,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1195,955,238,24,1,3,44,211,3,0,2,0,906,2,19,Matches
54,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,34,33,0,0,0,1,1,0,0,0,0,0,21,1,0,Matches
55,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,157,151,5,1,0,3,4,0,4,0,3,0,141,1,3,Matches
56,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,393,386,5,3,1,4,3,2,0,0,0,0,333,2,6,Matches
57,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,330,221,108,27,0,0,0,0,0,0,0,0,247,1,0,Matches
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,3230,2573,645,87,5,103,382,396,162,45,76,2,2278,12,69,Matches
59,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,80,42,38,14,0,0,0,0,0,0,0,0,58,0,0,Matches
60,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,476,438,38,2,0,2,15,2,1,1,0,0,345,0,10,Matches
61,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,947,723,222,55,0,3,0,0,0,0,0,0,820,2,0,Matches
62,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,842,806,33,17,2,6,13,16,0,0,0,0,726,3,16,Matches
63,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,841,760,75,14,4,3,7,18,4,0,0,0,632,6,34,Matches
64,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,884,868,12,1,2,4,41,10,0,0,0,0,681,4,35,Matches
65,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,1136,966,168,7,1,3,66,160,1,1,0,0,916,2,24,Matches
66,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,1989,15.3,736,571,163,6,0,3,31,157,0,0,0,0,491,2,27,Matches
67,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,438,428,9,7,0,9,2,2,0,0,0,0,308,1,5,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,54,31,23,4,0,0,0,0,0,0,0,0,39,0,0,Matches
69,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1500,1421,70,59,1,29,12,11,0,0,0,0,1164,9,8,Matches
70,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1347,1253,90,82,0,45,13,2,0,0,0,0,1107,4,7,Matches
71,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,661,605,55,6,1,2,8,49,0,0,0,0,556,1,15,Matches
72,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,374,364,9,6,0,0,1,3,0,0,0,0,324,1,3,Matches
73,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,280,278,2,1,1,2,5,1,0,0,0,0,222,0,6,Matches
74,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,898,873,24,12,5,9,25,8,4,1,3,0,702,1,8,Matches
75,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,17,16,1,0,0,1,0,0,1,0,0,0,11,0,3,Matches
76,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1236,1021,215,14,0,1,31,201,0,0,0,0,974,0,22,Matches
77,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,1997,6.1,191,190,1,0,0,2,15,0,0,0,0,0,136,0,7,Matches
78,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,676,533,141,21,1,2,12,120,0,0,0,0,546,2,12,Matches
79,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,1145,972,162,48,7,7,114,34,77,45,25,1,886,11,25,Matches
80,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,83,81,2,2,0,0,0,0,0,0,0,0,75,0,0,Matches
81,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,de Bundesliga,23,1996,5.6,104,100,4,2,1,3,14,1,1,0,1,0,60,0,8,Matches
82,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,1738,1638,91,82,6,27,25,9,0,0,0,0,1510,9,16,Matches
83,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1333,1303,27,26,2,19,1,1,0,0,0,0,1195,3,3,Matches
84,Djavan Anderson,nl NED,"FW,DF",Lazio,it Serie A,24,1995,1.9,66,47,19,3,0,0,2,16,0,0,0,0,58,0,1,Matches
85,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,945,913,29,8,5,11,34,13,5,2,2,0,727,3,30,Matches
86,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,800,778,18,0,0,2,31,0,0,0,0,0,463,4,26,Matches
87,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,12,11,1,0,0,0,0,0,1,0,0,0,7,0,1,Matches
88,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,1236,1208,21,19,1,15,12,1,0,0,0,0,965,7,28,Matches
89,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,162,76,86,20,0,0,0,0,0,0,0,0,124,0,0,Matches
90,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1214,1174,35,20,5,10,39,2,7,2,2,0,857,5,24,Matches
91,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,620,596,23,17,0,6,3,2,1,0,1,0,542,1,7,Matches
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,194,178,15,0,1,1,4,0,0,0,0,0,145,1,2,Matches
93,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1498,1107,379,61,0,33,148,313,5,0,4,0,990,12,30,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,462,325,136,36,0,0,0,0,0,0,0,0,367,1,0,Matches
95,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,429,377,50,4,0,1,43,46,0,0,0,0,333,2,8,Matches
96,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,22,1997,12.2,767,613,151,19,1,5,80,102,30,20,3,0,574,3,20,Matches
97,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
98,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,607,528,77,8,0,1,22,69,0,0,0,0,495,2,7,Matches
99,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,819,660,156,19,0,30,141,130,7,2,0,0,571,3,21,Matches
100,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
101,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,1990,19.6,524,480,39,1,5,2,48,25,0,0,0,0,329,5,23,Matches
102,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,464,364,96,1,1,1,36,95,0,0,0,0,326,4,7,Matches
103,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,21,21,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
104,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
105,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,854,703,145,6,1,9,69,107,31,14,5,0,593,6,35,Matches
106,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,105,101,4,3,0,0,1,0,1,0,0,0,89,0,2,Matches
107,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,21,1998,21.7,1082,1030,51,21,5,7,24,5,9,4,4,0,910,1,16,Matches
108,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,31,30,0,0,0,0,0,0,0,0,0,0,22,1,0,Matches
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,982,781,199,12,0,1,32,187,0,0,0,0,734,2,20,Matches
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,947,899,42,27,0,26,45,0,13,1,2,1,621,6,25,Matches
111,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,56,47,9,0,0,0,4,9,0,0,0,0,42,0,3,Matches
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1628,1577,42,37,2,8,13,1,4,1,3,0,1385,9,21,Matches
113,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,311,286,23,10,2,1,28,5,7,1,2,0,222,2,12,Matches
114,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1559,1477,77,74,0,11,0,3,0,0,0,0,1320,5,6,Matches
115,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,208,204,4,2,0,0,0,1,0,0,0,0,195,0,1,Matches
116,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1215,1063,147,53,0,45,30,94,0,0,0,0,872,5,15,Matches
117,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,134,96,38,9,0,0,0,0,0,0,0,0,113,0,0,Matches
118,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,58,43,14,5,0,0,0,0,0,0,0,0,57,1,0,Matches
119,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,647,534,110,0,0,2,24,110,0,0,0,0,482,3,11,Matches
120,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
121,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,616,594,21,0,2,0,23,13,0,0,0,0,464,1,30,Matches
122,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,172,160,12,0,0,1,7,0,1,1,0,0,130,0,6,Matches
123,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,95,90,5,1,0,0,12,0,4,1,2,0,72,0,3,Matches
124,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,1550,1272,264,146,8,33,166,22,90,29,41,5,1160,14,22,Matches
125,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33.0,1095,839,251,52,0,2,0,1,0,0,0,0,896,5,1,Matches
126,Kwadwo Asamoah,gh GHA,"DF,FW",Inter,it Serie A,30,1988,7.1,372,326,46,3,0,0,18,43,0,0,0,0,298,0,13,Matches
127,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7.0,311,295,16,15,0,3,2,1,0,0,0,0,261,0,11,Matches
128,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34.0,1035,660,372,90,0,2,0,0,0,0,0,0,742,3,0,Matches
129,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,158,153,4,2,0,4,11,1,1,0,1,0,131,1,2,Matches
130,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,32,31,1,0,0,0,0,1,0,0,0,0,28,0,0,Matches
131,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,1311,1217,86,7,9,18,26,15,5,2,0,0,991,8,49,Matches
132,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,1993,5.9,124,121,3,0,2,0,6,2,0,0,0,0,100,0,4,Matches
133,Youcef Atal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,1996,11.1,509,440,69,15,0,6,30,52,2,0,0,0,399,0,12,Matches
134,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
135,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,eng Premier League,27,1992,8.3,218,206,10,2,1,0,17,1,6,0,3,0,167,2,7,Matches
136,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,1989,34.8,912,881,28,0,7,1,89,3,1,0,0,0,614,3,32,Matches
137,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,1997,36.0,1039,617,416,125,0,2,0,0,0,0,0,0,674,6,1,Matches
138,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,823,691,130,11,0,2,82,118,1,0,0,0,632,2,18,Matches
139,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3.0,40,39,1,0,0,1,0,0,0,0,0,0,33,0,0,Matches
140,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,de Bundesliga,25,1994,10.3,546,419,125,17,0,2,57,93,15,5,9,0,386,2,18,Matches
141,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,1676,1409,264,9,0,3,137,255,0,0,0,0,1263,3,51,Matches
142,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,565,485,74,20,6,9,71,7,46,29,13,0,373,6,10,Matches
143,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,316,295,19,0,0,5,23,1,0,0,0,0,170,2,10,Matches
144,Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,1997,2.0,69,69,0,0,0,0,17,0,0,0,0,0,47,0,5,Matches
145,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,821,715,105,41,2,15,8,64,0,0,0,0,604,1,12,Matches
146,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,de Bundesliga,21,1997,5.4,109,105,4,0,1,0,9,1,0,0,0,0,73,0,6,Matches
147,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,1997,15.3,310,298,10,0,1,1,7,2,0,0,0,0,207,2,11,Matches
148,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,27,1991,35.0,853,816,34,4,2,2,25,11,1,0,0,0,673,3,24,Matches
149,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,1816,1670,140,55,4,67,23,85,0,0,0,0,1502,6,20,Matches
150,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,388,368,18,4,0,2,7,13,0,0,0,0,303,2,10,Matches
151,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,1989,35.9,2943,2527,407,29,0,12,121,378,0,0,0,0,2317,9,50,Matches
152,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,621,518,103,12,0,2,26,91,0,0,0,0,491,0,13,Matches
153,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,1276,1245,29,28,2,3,2,1,0,0,0,0,1029,2,26,Matches
154,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,292,281,10,0,1,2,2,2,0,0,0,0,213,1,7,Matches
155,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,1986,7.6,134,124,10,0,0,0,3,0,0,0,0,0,99,0,5,Matches
156,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,945,894,47,40,4,7,4,2,0,0,0,0,768,4,15,Matches
157,Matthias Bader,de GER,DF,Köln,de Bundesliga,22,1997,0.1,8,4,4,1,0,0,0,3,0,0,0,0,6,0,0,Matches
158,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,18,2001,15.7,943,910,30,25,2,15,1,5,0,0,0,0,802,3,5,Matches
159,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
160,Alex Baena,es ESP,MF,Villarreal,es La Liga,18,2001,0.2,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches
161,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,194,174,19,0,0,0,15,2,0,0,0,0,143,1,4,Matches
162,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,897,859,32,27,1,6,5,5,0,0,0,0,667,6,19,Matches
163,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,21,1997,12.1,479,435,44,10,1,5,78,11,23,13,7,1,316,0,18,Matches
164,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,78,76,2,2,0,0,0,0,0,0,0,0,70,0,0,Matches
165,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,693,669,23,23,0,2,0,0,0,0,0,0,631,1,4,Matches
166,Leighton Baines,eng ENG,DF,Everton,eng Premier League,34,1984,4.5,218,165,51,6,0,0,27,34,11,9,2,0,176,2,6,Matches
167,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1.0,19,9,10,2,0,0,0,0,0,0,0,0,18,0,0,Matches
168,Tiemoué Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,961,929,24,24,3,3,10,0,0,0,0,0,811,8,4,Matches
169,Lewis Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,222,213,7,5,0,7,4,0,2,0,2,0,182,2,6,Matches
170,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,2000,1.0,95,88,7,2,0,0,1,5,0,0,0,0,92,0,0,Matches
171,Ridle Baku,de GER,"DF,MF",Mainz 05,de Bundesliga,21,1998,26.1,1167,989,173,19,3,11,83,154,0,0,0,0,827,5,27,Matches
172,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,27,1991,13.1,512,489,20,15,1,7,1,5,0,0,0,0,365,3,7,Matches
173,Keita Baldé,sn SEN,"FW,MF",Monaco,fr Ligue 1,24,1995,9.5,285,267,17,2,0,0,16,5,6,3,0,0,191,1,5,Matches
174,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,26,1993,38.0,1522,1241,276,5,0,1,128,271,0,0,0,0,1143,5,70,Matches
