,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKatt,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,PK_Attempted
10,10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,"1,040",11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6,12.0,11.0,66.0,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57,
11,11,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,12,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,14,2,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,15.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.06,0.07,
13,13,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,"2,813",31.3,0,1,1,0,0,0,9,1,1.1,1.1,1.0,2.1,41.0,141.0,46.0,0.0,0.03,0.03,0.0,0.03,0.03,0.03,0.07,0.03,0.07,
14,14,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,3.0,3.0,12.0,0.9,0.0,0.9,0.9,0.9,0.13,0.0,0.13,0.13,0.13,
15,15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,"2,330",25.9,1,2,3,1,0,0,5,0,1.0,1.0,2.6,3.6,65.0,114.0,133.0,0.04,0.08,0.12,0.04,0.12,0.04,0.1,0.14,0.04,0.14,
16,16,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,"2,667",29.6,9,5,14,9,0,0,1,0,9.8,9.8,5.0,14.8,32.0,57.0,149.0,0.3,0.17,0.47,0.3,0.47,0.33,0.17,0.5,0.33,0.5,
17,17,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,27,21,"1,850",20.6,1,1,2,1,0,0,3,0,1.3,1.3,0.9,2.2,27.0,113.0,70.0,0.05,0.05,0.1,0.05,0.1,0.07,0.04,0.11,0.07,0.11,
18,18,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3,2,3,5,2,0,0,2,0,2.1,2.1,2.3,4.5,20.0,17.0,58.0,0.38,0.56,0.94,0.38,0.94,0.4,0.44,0.84,0.4,0.84,
19,19,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,33,33,"2,953",32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4,5.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,
20,20,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,0.85,0.85,
21,21,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,35,25,"2,418",26.9,2,5,7,2,0,0,6,0,1.9,1.9,4.4,6.3,54.0,188.0,48.0,0.07,0.19,0.26,0.07,0.26,0.07,0.16,0.23,0.07,0.23,
22,22,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,24,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,26,16,"1,558",17.3,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.9,11.0,39.0,36.0,0.0,0.06,0.06,0.0,0.06,0.01,0.04,0.05,0.01,0.05,
24,25,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,12,9,800,8.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,6.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,
25,26,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,1999,15,8,701,7.8,1,0,1,1,0,0,0,0,0.6,0.6,0.5,1.1,7.0,9.0,33.0,0.13,0.0,0.13,0.13,0.13,0.08,0.06,0.14,0.08,0.14,
26,27,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,29,14,"1,356",15.1,1,2,3,1,0,0,4,0,1.5,1.5,1.3,2.8,50.0,43.0,82.0,0.07,0.13,0.2,0.07,0.2,0.1,0.09,0.19,0.1,0.19,
27,28,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,35,"3,147",35.0,3,1,4,3,0,0,6,0,3.2,3.2,0.7,4.0,14.0,136.0,2.0,0.09,0.03,0.11,0.09,0.11,0.09,0.02,0.11,0.09,0.11,
28,29,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,1988,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1,12.0,12.0,39.0,0.64,0.16,0.81,0.48,0.64,0.56,0.19,0.75,0.31,0.5,
29,30,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,33,27,"2,225",24.7,1,3,4,1,0,0,6,0,0.9,0.9,4.7,5.6,74.0,101.0,231.0,0.04,0.12,0.16,0.04,0.16,0.03,0.19,0.23,0.03,0.23,
30,31,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,6,3,252,2.8,0,0,0,0,0,0,2,1,0.2,0.2,0.0,0.3,8.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,
31,32,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,20,10,899,10.0,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.5,31.0,25.0,17.0,0.2,0.0,0.2,0.2,0.2,0.14,0.02,0.16,0.14,0.16,
32,35,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,25,14,"1,289",14.3,0,0,0,0,0,0,3,0,0.8,0.8,0.3,1.1,11.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,
33,36,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,31,31,"2,664",29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8,63.0,106.0,50.0,0.07,0.03,0.1,0.07,0.1,0.04,0.05,0.09,0.04,0.09,
34,39,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,33,31,"2,780",30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4,13.0,73.0,7.0,0.06,0.0,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08,
35,40,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,35,34,"2,967",33.0,16,4,20,12,4,5,5,0,15.7,11.8,3.9,15.7,33.0,61.0,224.0,0.49,0.12,0.61,0.36,0.49,0.48,0.12,0.6,0.36,0.48,
36,41,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,28,26,"2,350",26.1,2,0,2,2,0,0,4,0,1.7,1.7,0.3,2.0,26.0,159.0,7.0,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.08,0.06,0.08,
37,42,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,13,10,865,9.6,1,0,1,1,0,0,3,1,0.3,0.3,0.2,0.5,12.0,15.0,15.0,0.1,0.0,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,
38,43,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,9,0,146,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,4.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.64,
39,44,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,10,9,797,8.9,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3,12.0,52.0,6.0,0.11,0.0,0.11,0.11,0.11,0.03,0.0,0.03,0.03,0.03,
40,45,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,10,4,378,4.2,0,0,0,0,0,0,5,1,0.0,0.0,0.6,0.6,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,
41,46,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,32,6,"1,056",11.7,0,1,1,0,0,0,9,0,1.2,1.2,0.8,1.9,11.0,26.0,31.0,0.0,0.09,0.09,0.0,0.09,0.1,0.06,0.16,0.1,0.16,
42,47,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,16,14,"1,184",13.2,1,0,1,1,0,0,1,0,0.1,0.1,0.4,0.5,10.0,56.0,14.0,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,
43,48,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,1992,32,30,"2,675",29.7,2,4,6,2,0,0,4,0,1.2,1.2,2.1,3.3,56.0,242.0,70.0,0.07,0.13,0.2,0.07,0.2,0.04,0.07,0.11,0.04,0.11,
44,49,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,22,17,"1,505",16.7,0,2,2,0,0,0,4,0,0.2,0.2,1.3,1.5,35.0,65.0,47.0,0.0,0.12,0.12,0.0,0.12,0.01,0.08,0.09,0.01,0.09,
45,50,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,
46,51,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,25,12,"1,245",13.8,11,2,13,9,2,2,2,0,7.2,5.7,0.9,6.6,7.0,21.0,75.0,0.8,0.14,0.94,0.65,0.8,0.52,0.07,0.59,0.41,0.48,
47,52,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,1989,35,34,"3,025",33.6,3,5,8,3,0,0,9,0,1.9,1.9,7.6,9.5,48.0,197.0,354.0,0.09,0.15,0.24,0.09,0.24,0.06,0.22,0.28,0.06,0.28,
48,53,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,34,33,"2,618",29.1,9,2,11,9,0,0,5,0,5.1,5.0,7.9,12.9,143.0,301.0,132.0,0.31,0.07,0.38,0.31,0.38,0.18,0.27,0.45,0.17,0.44,
49,54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,35,35,"3,115",34.6,0,0,0,0,0,0,7,0,0.9,0.9,1.0,1.9,19.0,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,
50,55,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,1989,31,17,"1,746",19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7,46.0,84.0,139.0,0.05,0.26,0.31,0.05,0.31,0.06,0.18,0.24,0.06,0.24,
51,56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,27,19,"1,544",17.2,6,4,10,5,1,2,0,0,9.0,7.5,2.8,10.2,12.0,13.0,77.0,0.35,0.23,0.58,0.29,0.52,0.53,0.16,0.69,0.43,0.6,
52,57,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,13,8,909,10.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,
53,58,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,24,20,"1,854",20.6,1,0,1,1,0,0,4,0,1.2,1.2,2.3,3.5,27.0,203.0,25.0,0.05,0.0,0.05,0.05,0.05,0.06,0.11,0.17,0.06,0.17,
54,59,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,30,25,"2,165",24.1,1,0,1,1,0,0,10,0,1.8,1.8,0.5,2.3,25.0,107.0,21.0,0.04,0.0,0.04,0.04,0.04,0.07,0.02,0.1,0.07,0.1,
55,60,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,17,14,"1,299",14.4,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,8.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,
56,61,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,25,25,"2,240",24.9,1,0,1,1,0,0,2,0,0.7,0.7,0.7,1.4,3.0,59.0,1.0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06,
57,62,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,1995,22,6,827,9.2,1,1,2,1,0,0,5,0,1.1,1.1,0.8,1.9,46.0,13.0,79.0,0.11,0.11,0.22,0.11,0.22,0.12,0.09,0.21,0.12,0.21,
58,66,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,36,34,"3,031",33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2,98.0,251.0,249.0,0.06,0.21,0.27,0.06,0.27,0.08,0.26,0.33,0.08,0.33,
59,67,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,2,0,34,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.17,0.18,0.35,0.17,0.35,
60,68,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,fr Ligue 1,16,2004,21,1,348,3.9,0,0,0,0,0,0,1,0,1.9,1.9,0.1,2.0,15.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.49,0.02,0.51,0.49,0.51,
61,69,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,1992,36,29,"2,461",27.3,2,3,5,2,0,0,7,0,1.6,1.6,3.3,4.9,77.0,132.0,122.0,0.07,0.11,0.18,0.07,0.18,0.06,0.12,0.18,0.06,0.18,
62,70,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,73,Allan,br BRA,MF,Everton,eng Premier League,29,1991,24,23,"2,051",22.8,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1,30.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05,
64,74,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,15,7,620,6.9,0,1,1,0,0,0,0,0,2.0,2.0,1.2,3.3,15.0,26.0,30.0,0.0,0.15,0.15,0.0,0.15,0.3,0.18,0.47,0.3,0.47,
65,75,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,1994,34,28,"2,429",27.0,4,1,5,4,0,0,3,0,3.2,3.2,2.9,6.1,70.0,90.0,109.0,0.15,0.04,0.19,0.15,0.19,0.12,0.11,0.23,0.12,0.23,
66,76,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,13,11,960,10.7,2,0,2,2,0,0,2,0,1.8,1.8,1.3,3.2,24.0,42.0,74.0,0.19,0.0,0.19,0.19,0.19,0.17,0.13,0.3,0.17,0.3,
67,77,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,1992,27,17,"1,568",17.4,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.8,9.0,49.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,
68,78,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,23,22,"1,948",21.6,1,0,1,1,0,0,6,0,0.6,0.6,0.5,1.1,19.0,65.0,2.0,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,
69,79,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,19,18,"1,632",18.1,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.6,0.0,50.0,6.0,0.06,0.0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,
70,80,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,15,10,896,10.0,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,16.0,39.0,16.0,0.1,0.0,0.1,0.1,0.1,0.08,0.06,0.14,0.08,0.14,
71,81,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,24,20,"1,504",16.7,0,0,0,0,0,0,6,0,1.5,1.5,0.2,1.7,14.0,63.0,14.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.1,0.09,0.1,
72,82,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,1989,2,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,
73,83,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
74,84,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,12,8,722,8.0,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4,4.0,24.0,0.0,0.12,0.0,0.12,0.12,0.12,0.05,0.0,0.05,0.05,0.05,
75,85,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,13,10,813,9.0,1,0,1,1,0,0,3,1,0.2,0.2,0.3,0.5,17.0,25.0,33.0,0.11,0.0,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06,
76,86,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,23,5,753,8.4,0,1,1,0,0,0,4,0,1.0,1.0,1.4,2.4,26.0,30.0,77.0,0.0,0.12,0.12,0.0,0.12,0.12,0.16,0.29,0.12,0.29,
77,87,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
78,88,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,29,20,"1,890",21.0,2,6,8,2,0,0,5,0,2.2,2.2,3.1,5.3,45.0,113.0,82.0,0.1,0.29,0.38,0.1,0.38,0.1,0.15,0.25,0.1,0.25,
79,89,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,2000,25,23,"2,089",23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,25.0,100.0,23.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,
80,90,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,31,28,"2,441",27.1,0,0,0,0,0,0,7,0,0.4,0.4,0.6,1.1,38.0,151.0,46.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,
81,91,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,23,7,800,8.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,
82,94,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,3,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
83,95,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,96,Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,27,1993,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,97,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,16,14,"1,126",12.5,3,0,3,2,1,1,1,0,6.2,5.4,0.3,5.7,6.0,20.0,55.0,0.24,0.0,0.24,0.16,0.16,0.49,0.03,0.52,0.43,0.46,
86,99,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,35,35,"2,885",32.1,0,1,1,0,0,0,10,0,1.6,1.6,1.1,2.7,28.0,200.0,64.0,0.0,0.03,0.03,0.0,0.03,0.05,0.03,0.08,0.05,0.08,
87,100,Marcos André,br BRA,FW,Valladolid,es La Liga,23,1996,23,11,"1,177",13.1,4,1,5,4,0,0,3,0,4.9,4.9,0.7,5.6,26.0,15.0,67.0,0.31,0.08,0.38,0.31,0.38,0.38,0.05,0.43,0.38,0.43,
88,101,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,29,29,"2,526",28.1,5,2,7,5,0,0,5,1,2.6,2.6,2.0,4.5,25.0,128.0,31.0,0.18,0.07,0.25,0.18,0.25,0.09,0.07,0.16,0.09,0.16,
89,102,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,26,21,"1,672",18.6,0,1,1,0,0,0,5,0,0.5,0.5,0.5,1.0,20.0,90.0,30.0,0.0,0.05,0.05,0.0,0.05,0.03,0.03,0.05,0.03,0.05,
90,104,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,14,11,901,10.0,0,0,0,0,0,0,3,0,0.0,0.0,1.0,1.1,14.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.11,
91,105,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,
92,106,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,23,1997,26,24,"2,161",24.0,4,4,8,4,0,0,2,0,4.2,4.2,5.5,9.7,47.0,93.0,242.0,0.17,0.17,0.33,0.17,0.33,0.17,0.23,0.4,0.17,0.4,
93,107,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94,108,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,109,Cristian Ansaldi,ar ARG,"DF,FW",Torino,it Serie A,33,1986,31,20,"1,947",21.6,1,6,7,0,1,1,1,0,1.9,1.1,5.0,6.1,91.0,66.0,93.0,0.05,0.28,0.32,0.0,0.28,0.09,0.23,0.32,0.05,0.28,
96,110,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,31,30,"2,711",30.1,0,1,1,0,0,0,3,0,1.3,1.3,0.9,2.2,24.0,116.0,12.0,0.0,0.03,0.03,0.0,0.03,0.04,0.03,0.07,0.04,0.07,
97,111,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,1990,26,24,"1,974",21.9,10,5,15,10,0,0,3,0,12.9,12.9,3.0,16.0,59.0,36.0,177.0,0.46,0.23,0.68,0.46,0.68,0.59,0.14,0.73,0.59,0.73,
