,Player,Nationality,Position,Squad,Competition,Age,Year_of_Birth,Matches_Played,Minutes,Minutes_Per_Match_Played,Percentage_of_Squad_Minutes_Played,90s_Played,Starts,Minutes_Per_Match_Started,Complete_Matches_Played,Games_Played_as_Sub,Minutes_Per_Substitution,Games_as_Unused_Sub,Points_per_Match,Goals_Scored_(on_pitch),Goals_Allowed_(on_pitch),Plus/Minus,Plus/Minus_per_90,On-Off,xG_(on_pitch),xGA_(on_pitch),xG_Plus/Minus,xG_Plus/Minus_per_90,xG_On-Off,Matches
194,Fodé Ballo-Touré,sn SEN,DF,Lille,fr Ligue 1,21,1997,18,"1,593",89,46.6,17.7,18,89,16,0,,0,1.89,29,17,+12,+0.68,-0.46,26.2,21.7,+4.5,+0.25,-0.38,Matches
195,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,21,1997,18,"1,594",89,46.6,17.7,18,89,17,0,,0,1.22,21,26,-5,-0.28,+0.41,23.8,23.4,+0.4,+0.02,+0.18,Matches
196,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,38,1980,20,"1,076",54,31.5,12.0,15,66,4,5,18,8,0.95,9,25,-16,-1.34,-0.84,10.4,21.6,-11.2,-0.94,-0.66,Matches
197,Leon Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,8,594,74,17.4,6.6,5,91,5,3,47,18,1.25,7,10,-3,-0.45,+0.25,5.9,8.7,-2.7,-0.41,+0.26,Matches
198,Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,10,752,75,22.0,8.4,9,79,2,1,45,0,1.70,5,4,+1,+0.12,+0.32,8.3,10.2,-1.9,-0.23,-0.17,Matches
199,Mario Balotelli,it ITA,FW,Marseille,fr Ligue 1,27,1990,15,933,62,27.3,10.4,12,72,2,3,22,0,1.40,14,14,0,0.00,-0.29,13.9,11.5,+2.3,+0.22,+0.05,Matches
200,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,30,"2,573",86,75.2,28.6,29,89,27,1,1,4,1.33,36,33,+3,+0.10,+0.95,37.7,36.8,+0.9,+0.03,-0.17,Matches
201,Jonathan Bamba,ci CIV,"FW,MF",Lille,fr Ligue 1,22,1996,38,"3,004",79,87.8,33.4,35,84,25,3,20,0,1.97,62,29,+33,+0.99,+0.56,53.0,37.9,+15.0,+0.45,-0.06,Matches
202,Sol Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,28,"2,474",88,72.3,27.5,28,88,27,0,,1,0.89,25,52,-27,-0.98,-0.22,30.2,42.7,-12.5,-0.45,+0.18,Matches
203,Yacine Bammou,ma MAR,"FW,MF",Caen,fr Ligue 1,26,1991,17,923,54,27.0,10.3,9,85,6,8,20,5,0.76,9,11,-2,-0.20,+0.63,10.0,14.2,-4.1,-0.40,+0.63,Matches
204,Éver Banega,ar ARG,MF,Sevilla,es La Liga,30,1988,32,"2,667",83,78.0,29.6,32,83,18,0,,0,1.59,51,33,+18,+0.61,+0.97,53.3,34.1,+19.2,+0.65,+0.41,Matches
205,Lass Bangoura,gn GUI,"FW,MF",Rayo Vallecano,es La Liga,26,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
206,Mattia Bani,it ITA,DF,Chievo,it Serie A,24,1993,30,"2,610",87,76.3,29.0,29,89,26,1,38,3,0.60,19,48,-29,-1.00,+1.33,28.1,44.7,-16.5,-0.57,+0.29,Matches
207,Léo Baptistão,br BRA,"FW,MF",Espanyol,es La Liga,25,1992,20,"1,233",62,36.1,13.7,14,79,5,6,22,1,1.15,16,23,-7,-0.51,-0.72,16.8,19.6,-2.7,-0.20,-0.11,Matches
208,Antonín Barák,cz CZE,"MF,FW",Udinese,it Serie A,23,1994,8,329,41,9.6,3.7,4,72,0,4,11,7,0.88,3,10,-7,-1.91,-1.71,2.6,7.7,-5.1,-1.39,-1.04,Matches
209,Yves Baraye,sn SEN,"FW,MF",Parma,it Serie A,26,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
210,Federico Barba,it ITA,DF,Chievo,it Serie A,24,1993,30,"2,483",83,72.6,27.6,29,85,26,1,21,2,0.63,17,48,-31,-1.12,+0.70,28.0,40.3,-12.3,-0.44,+0.71,Matches
211,Théo Barbet,fr FRA,DF,Dijon,fr Ligue 1,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
212,Danilo Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,22,"1,548",70,45.3,17.2,18,81,10,4,21,5,1.55,15,17,-2,-0.12,+0.03,20.9,22.9,-2.0,-0.12,-0.03,Matches
213,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,34,1984,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
214,Enis Bardhi,mk MKD,MF,Levante,es La Liga,23,1995,36,"2,836",79,82.9,31.5,31,86,23,5,32,0,1.14,51,51,0,0.00,+1.08,47.4,61.4,-14.0,-0.44,+0.83,Matches
215,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3,270,90,7.9,3.0,3,90,3,0,,26,0.33,1,5,-4,-1.33,-0.30,4.8,3.8,+1.0,+0.35,+1.04,Matches
216,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,33,1985,19,"1,670",88,48.8,18.6,19,88,17,0,,12,1.26,22,27,-5,-0.27,+0.66,23.8,28.0,-4.2,-0.23,+0.47,Matches
