,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
10,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3.0,5,0,1,0,0,3.8,0.32,-1.2,-0.41,13,40,32.5,59,15,49.2,36.1,15,73.3,50.9,34,3,8.8,0,0.00,7.0,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33.0,51,6,1,4,1,47.5,0.26,-2.5,-0.08,164,397,41.3,1036,191,28.8,29.3,248,39.9,39.4,441,14,3.2,58,1.76,18.0,Matches
12,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,31,1987,24.0,47,2,0,5,2,34.5,0.32,-10.5,-0.44,129,328,39.3,466,128,42.5,35.9,192,67.7,49.9,365,24,6.6,16,0.67,11.3,Matches
13,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,34,1983,22.9,38,3,0,3,1,34.2,0.31,-2.8,-0.12,87,225,38.7,462,113,28.4,30.3,186,50.5,41.1,327,9,2.8,15,0.66,12.6,Matches
14,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,25,1993,35.0,29,2,0,5,1,40.4,0.25,+12.4,+0.35,127,344,36.9,838,204,22.1,28.5,308,51.6,41.2,559,17,3.0,14,0.40,11.5,Matches
15,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,29,1989,18.0,25,1,1,5,3,18.2,0.27,-3.8,-0.21,91,199,45.7,345,90,26.4,30.3,135,80.0,51.7,208,8,3.8,19,1.06,14.5,Matches
16,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,21,1997,38.0,58,4,0,4,1,60.4,0.31,+3.4,+0.09,234,690,33.9,825,160,54.3,40.0,290,83.4,55.2,491,28,5.7,33,0.87,14.5,Matches
17,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,20,1998,1.0,0,0,0,0,0,0.1,0.08,+0.1,+0.08,9,25,36.0,23,3,56.5,39.9,13,92.3,52.3,13,1,7.7,0,0.00,9.0,Matches
18,Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,1992,7.0,20,1,0,1,0,17.5,0.39,-2.5,-0.36,64,143,44.8,176,32,49.4,37.3,67,83.6,53.9,129,1,0.8,11,1.57,16.0,Matches
19,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,23,1995,25.0,40,4,3,3,0,40.7,0.34,+0.7,+0.03,166,432,38.4,595,114,44.5,38.0,220,75.9,56.8,351,12,3.4,30,1.20,15.6,Matches
20,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,38,1980,12.0,18,3,2,1,0,15.9,0.24,-2.1,-0.17,57,167,34.1,236,62,39.8,36.6,112,65.2,48.2,213,4,1.9,9,0.75,14.3,Matches
21,Zacharie Boucher,fr FRA,GK,Angers,fr Ligue 1,26,1992,2.0,1,0,0,0,0,1.0,0.26,0.0,+0.02,10,32,31.3,36,8,47.2,39.4,17,88.2,60.5,37,4,10.8,2,1.00,17.8,Matches
22,Yassine Bounou,ma MAR,GK,Girona,es La Liga,27,1991,31.8,43,6,2,5,1,49.7,0.27,+7.7,+0.24,182,471,38.6,718,133,40.7,37.1,264,67.8,49.5,439,15,3.4,19,0.60,13.1,Matches
23,Fabian Bredlow,de GER,GK,Nürnberg,de Bundesliga,23,1995,12.5,28,0,0,1,0,22.0,0.36,-6.0,-0.48,61,188,32.4,352,46,37.5,32.9,119,47.1,43.0,171,1,0.6,10,0.80,12.7,Matches
24,Gianluigi Buffon,it ITA,GK,Paris S-G,fr Ligue 1,40,1978,17.0,18,1,1,2,3,17.9,0.25,+2.9,+0.17,21,53,39.6,301,79,9.0,21.1,108,24.1,31.2,174,2,1.1,16,0.94,16.4,Matches
25,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,27,1990,32.0,40,4,1,6,0,39.0,0.28,-1.0,-0.03,140,428,32.7,852,171,33.3,32.9,222,64.9,48.7,425,18,4.2,36,1.13,15.1,Matches
26,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,35,1983,36.0,48,3,0,3,2,47.2,0.27,+1.2,+0.03,240,576,41.7,707,183,49.8,38.3,290,77.2,50.7,524,17,3.2,33,0.92,13.9,Matches
27,David Button,eng ENG,GK,Brighton,eng Premier League,29,1989,4.0,5,2,0,0,0,4.8,0.15,-0.2,-0.06,26,87,29.9,74,9,73.0,47.7,34,97.1,65.1,55,3,5.5,2,0.50,13.5,Matches
28,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,36,1981,2.0,0,0,0,0,0,0.3,0.11,+0.3,+0.16,9,20,45.0,47,9,19.1,29.5,16,68.8,46.6,26,2,7.7,0,0.00,5.8,Matches
29,Rafael Cabral,br BRA,GK,Sampdoria,it Serie A,28,1990,2.0,0,0,0,0,0,0.2,0.10,+0.2,+0.10,11,24,45.8,45,8,35.6,34.7,14,57.1,45.0,19,0,0.0,1,0.50,16.5,Matches
30,Marc-Aurèle Caillard,fr FRA,GK,Guingamp,fr Ligue 1,24,1994,21.0,34,1,1,3,0,30.9,0.31,-3.1,-0.15,154,380,40.5,369,61,60.7,44.2,173,90.2,59.3,275,15,5.5,4,0.19,9.3,Matches
31,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,24,1994,3.0,6,1,0,0,0,3.7,0.23,-2.3,-0.76,0,1,0.0,67,21,1.5,21.3,17,0.0,24.6,31,0,0.0,5,1.67,19.4,Matches
32,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,26,1992,25.5,39,4,3,1,0,40.0,0.31,+1.0,+0.04,194,420,46.2,981,148,31.9,33.8,200,53.5,45.8,398,21,5.3,26,1.02,14.4,Matches
33,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,36,1982,6.5,9,0,0,0,0,9.2,0.26,+0.2,+0.03,32,93,34.4,217,46,28.6,31.7,53,58.5,46.5,104,6,5.8,8,1.23,12.9,Matches
34,Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1.0,1,0,0,0,0,0.5,0.54,-0.5,-0.46,8,22,36.4,24,3,79.2,50.3,3,100.0,71.3,7,0,0.0,0,0.00,15.5,Matches
35,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3.0,4,1,0,0,0,2.9,0.14,-1.1,-0.36,11,21,52.4,87,14,14.9,26.0,24,33.3,33.1,45,0,0.0,6,2.00,15.8,Matches
36,Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1.0,1,0,0,0,0,0.5,0.18,-0.5,-0.47,7,29,24.1,31,0,74.2,48.3,6,100.0,65.7,12,1,8.3,1,1.00,15.8,Matches
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,35.7,56,4,0,10,2,54.3,0.31,+0.3,+0.01,178,436,40.8,887,159,34.6,32.7,286,45.1,37.6,590,16,2.7,29,0.81,13.7,Matches
38,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37.0,42,6,1,11,0,46.4,0.27,+4.4,+0.12,254,578,43.9,833,124,43.6,37.6,325,66.2,48.7,576,13,2.3,22,0.59,13.6,Matches
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27.0,36,6,0,3,0,36.3,0.30,+0.3,+0.01,93,270,34.4,655,167,28.4,32.3,184,45.7,42.6,288,21,7.3,20,0.74,14.2,Matches
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38.0,54,8,2,4,2,61.5,0.26,+9.5,+0.25,337,722,46.7,884,175,48.6,36.9,369,79.1,53.6,646,25,3.9,31,0.82,12.8,Matches
41,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,34,1984,33.9,38,2,2,2,1,36.9,0.31,-0.1,0.00,312,764,40.8,803,93,64.5,46.4,274,89.8,60.7,542,27,5.0,28,0.82,13.4,Matches
42,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,26,1992,5.5,4,1,0,1,0,5.0,0.20,+1.0,+0.17,18,54,33.3,109,24,32.1,33.1,36,52.8,42.5,60,6,10.0,3,0.55,12.7,Matches
43,Javier Díaz,es ESP,GK,Sevilla,es La Liga,21,1997,1.0,1,1,0,0,0,1.2,0.09,+0.2,+0.18,3,11,27.3,18,2,38.9,35.3,5,80.0,53.6,9,0,0.0,0,0.00,8.5,Matches
44,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,24,1993,21.0,35,6,0,5,0,32.9,0.27,-2.1,-0.10,132,322,41.0,472,115,46.2,37.5,168,61.9,46.6,319,8,2.5,17,0.81,14.4,Matches
45,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,1992,24.0,30,3,2,3,0,27.5,0.28,-2.5,-0.10,199,577,34.5,604,67,71.4,49.9,155,94.2,68.7,271,15,5.5,57,2.38,18.6,Matches
46,Jaume Doménech,es ESP,GK,Valencia,es La Liga,27,1990,4.0,1,0,0,1,0,2.6,0.20,+1.6,+0.40,24,49,49.0,61,18,37.7,35.1,30,86.7,54.7,58,4,6.9,2,0.50,12.5,Matches
47,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,1999,34.3,31,3,1,5,1,34.8,0.25,+4.8,+0.14,146,305,47.9,873,203,20.6,27.5,300,41.7,36.5,546,15,2.7,22,0.64,12.8,Matches
48,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,20,1997,2.5,2,0,0,0,0,2.1,0.27,+0.1,+0.05,20,52,38.5,74,10,47.3,38.1,31,54.8,42.4,29,0,0.0,1,0.40,9.9,Matches
49,Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,20,1997,14.0,24,3,0,3,0,25.7,0.23,+1.7,+0.12,57,198,28.8,333,91,35.7,34.3,153,51.6,45.2,237,10,4.2,22,1.57,14.7,Matches
50,Jaroslav Drobný,cz CZE,GK,Düsseldorf,de Bundesliga,38,1979,2.0,3,0,0,0,0,2.6,0.32,-0.4,-0.19,10,19,52.6,27,5,51.9,39.4,10,50.0,39.5,16,3,18.8,3,1.50,16.3,Matches
51,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,1989,38.0,48,6,2,9,1,42.3,0.27,-4.7,-0.12,250,708,35.3,850,140,51.1,38.9,323,84.8,57.9,651,43,6.6,33,0.87,12.0,Matches
52,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,25,1993,10.4,17,2,2,2,0,13.3,0.30,-3.7,-0.36,73,188,38.8,207,36,52.2,38.7,91,87.9,58.0,160,7,4.4,7,0.67,13.8,Matches
53,Ederson,br BRA,GK,Manchester City,eng Premier League,24,1993,38.0,23,4,1,5,0,23.3,0.25,+0.3,+0.01,98,239,41.0,919,188,17.1,26.8,189,43.4,42.9,282,19,6.7,41,1.08,16.9,Matches
54,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,1987,32.0,66,5,1,10,1,60.8,0.26,-4.2,-0.13,299,609,49.1,943,144,46.2,36.9,295,58.6,43.3,551,24,4.4,38,1.19,14.6,Matches
55,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,1990,38.0,69,4,1,12,0,68.2,0.30,-0.8,-0.02,337,1076,31.3,876,51,86.6,53.9,319,99.4,65.6,536,15,2.8,46,1.21,15.4,Matches
56,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,1985,38.0,55,4,0,10,1,62.7,0.31,+8.7,+0.23,306,825,37.1,917,155,59.0,43.0,309,91.9,61.3,554,29,5.2,16,0.42,12.1,Matches
57,Fabricio,es ESP,GK,Fulham,eng Premier League,30,1987,2.0,5,0,1,0,0,4.3,0.21,-0.7,-0.36,16,28,57.1,47,14,40.4,35.4,14,64.3,44.0,29,2,6.9,3,1.50,13.6,Matches
58,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,1988,16.3,26,2,1,4,1,22.8,0.27,-2.2,-0.14,103,233,44.2,394,71,40.6,36.4,120,60.8,45.8,198,10,5.1,21,1.29,14.7,Matches
59,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,1991,16.0,24,4,0,3,1,25.8,0.27,+2.8,+0.17,89,252,35.3,295,83,47.8,39.4,162,68.5,49.1,224,5,2.2,17,1.06,14.6,Matches
60,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,31,1986,6.0,7,1,0,1,0,8.5,0.33,+1.5,+0.25,45,93,48.4,142,20,43.7,37.5,49,63.3,45.9,97,3,3.1,10,1.67,16.1,Matches
61,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1993,1.0,1,0,0,0,0,0.9,0.18,-0.1,-0.11,5,11,45.5,24,1,37.5,38.1,5,40.0,44.6,7,0,0.0,0,0.00,15.5,Matches
62,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,30,1988,1.0,3,0,0,0,0,1.9,0.31,-1.1,-1.15,5,18,27.8,16,4,68.8,42.6,7,100.0,65.1,5,0,0.0,0,0.00,2.0,Matches
63,Ben Foster,eng ENG,GK,Watford,eng Premier League,35,1983,38.0,59,4,2,6,3,55.5,0.30,-0.5,-0.01,340,941,36.1,942,98,69.9,45.9,308,91.9,63.2,575,31,5.4,72,1.89,16.9,Matches
64,Pierluigi Frattali,it ITA,GK,Parma,it Serie A,32,1985,1.0,2,0,0,0,1,0.9,0.11,-0.1,-0.13,5,16,31.3,24,5,37.5,35.0,15,46.7,37.3,29,0,0.0,0,0.00,6.5,Matches
65,Alberto García,es ESP,GK,Rayo Vallecano,es La Liga,33,1985,17.0,35,1,0,5,1,32.9,0.34,-1.1,-0.06,108,259,41.7,415,82,41.9,37.2,138,61.6,46.3,255,5,2.0,18,1.06,15.5,Matches
66,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,26,1992,3.0,2,0,0,0,0,4.3,0.33,+2.3,+0.77,15,44,34.1,82,13,29.3,29.3,26,76.9,54.7,42,2,4.8,2,0.67,13.1,Matches
67,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,27,1990,38.0,54,6,2,7,3,49.9,0.26,-1.1,-0.03,265,620,42.7,769,153,46.6,38.2,332,78.9,54.6,524,9,1.7,25,0.66,13.4,Matches
68,Fabian Giefer,de GER,GK,Augsburg,de Bundesliga,28,1990,4.0,7,0,0,1,0,5.5,0.29,-1.5,-0.38,28,61,45.9,88,16,48.9,39.3,29,62.1,47.7,54,3,5.6,1,0.25,10.1,Matches
69,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,30,1988,7.9,12,1,1,1,0,8.1,0.20,-3.9,-0.49,48,128,37.5,180,36,44.4,36.6,72,66.7,49.1,121,6,5.0,10,1.26,14.5,Matches
70,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,23,1995,20.0,21,3,2,1,0,21.2,0.27,+0.2,+0.01,95,257,37.0,454,83,34.4,33.2,137,73.7,53.8,240,4,1.7,30,1.50,17.8,Matches
71,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,24,1993,19.2,27,1,0,7,0,23.0,0.30,-4.0,-0.21,113,286,39.5,531,121,38.8,34.0,151,53.0,42.9,263,7,2.7,10,0.52,12.1,Matches
72,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,27,1990,4.0,5,0,1,1,0,3.7,0.25,-1.3,-0.33,11,21,52.4,83,24,10.8,24.2,29,41.4,39.1,46,0,0.0,9,2.25,16.7,Matches
73,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,31,1987,19.5,23,1,0,2,1,20.3,0.23,-1.7,-0.09,123,396,31.1,398,90,56.5,41.4,191,89.5,58.7,317,13,4.1,10,0.51,12.5,Matches
74,Guido Guerrieri,it ITA,GK,Lazio,it Serie A,22,1996,1.0,3,0,0,1,0,2.0,0.50,-1.0,-1.00,2,8,25.0,26,8,15.4,27.3,9,44.4,40.7,16,0,0.0,2,2.00,16.0,Matches
75,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,28,1990,32.5,27,4,1,4,1,37.9,0.30,+11.9,+0.37,236,588,40.1,797,124,50.6,39.6,223,83.0,56.2,379,16,4.2,57,1.75,19.5,Matches
76,Angus Gunn,sct SCO,GK,Southampton,eng Premier League,22,1996,12.0,18,0,0,2,0,14.9,0.28,-3.1,-0.26,69,249,27.7,215,17,77.2,48.4,91,91.2,60.8,166,5,3.0,12,1.00,14.3,Matches
77,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,31,1986,38.0,52,6,3,7,2,47.9,0.25,-2.1,-0.06,296,775,38.2,826,82,59.2,42.7,329,86.9,56.7,571,14,2.5,18,0.47,13.7,Matches
78,Ben Hamer,eng ENG,GK,Huddersfield,eng Premier League,30,1987,6.1,21,3,2,1,1,18.5,0.37,-1.5,-0.25,57,155,36.8,151,12,73.5,48.9,52,84.6,56.3,69,5,7.2,4,0.65,12.8,Matches
79,Samir Handanović,si SVN,GK,Inter,it Serie A,34,1984,38.0,33,3,1,3,3,33.1,0.24,+3.1,+0.08,140,299,46.8,901,203,21.0,27.3,265,41.5,37.1,492,16,3.3,27,0.71,14.5,Matches
80,Joe Hart,eng ENG,GK,Burnley,eng Premier League,31,1987,19.0,41,1,1,6,1,36.0,0.30,-4.0,-0.21,202,500,40.4,434,50,75.8,49.2,181,94.5,65.2,310,6,1.9,14,0.74,13.3,Matches
81,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,32,1986,19.0,27,1,1,2,3,22.0,0.26,-2.0,-0.10,179,457,39.2,414,45,73.4,48.2,172,89.0,60.7,333,8,2.4,29,1.53,16.4,Matches
82,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,31,1987,17.5,26,3,1,4,0,22.8,0.28,-3.2,-0.18,111,342,32.5,373,66,59.0,43.6,143,85.3,63.1,300,13,4.3,15,0.86,13.6,Matches
83,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,30,1988,31.0,32,3,0,4,0,29.5,0.31,-2.5,-0.08,316,723,43.7,767,89,68.7,46.9,209,93.8,64.3,419,18,4.3,34,1.10,17.3,Matches
84,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,30,1987,2.0,4,0,0,1,0,2.4,0.40,-1.6,-0.79,6,19,31.6,51,6,25.5,31.0,13,46.2,43.1,33,1,3.0,2,1.00,12.0,Matches
85,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,28,1989,32.0,47,3,2,9,2,38.2,0.27,-6.8,-0.21,199,438,45.4,1160,162,29.1,31.8,193,52.3,41.6,401,10,2.5,51,1.59,18.5,Matches
86,Salvador Ichazo,uy URU,GK,Torino,it Serie A,26,1992,2.8,2,1,0,1,0,2.6,0.18,+0.6,+0.22,24,55,43.6,60,9,55.0,41.5,27,81.5,49.9,43,1,2.3,1,0.36,12.0,Matches
87,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,37,1981,6.2,10,2,0,1,1,11.1,0.26,+2.1,+0.33,40,106,37.7,167,44,41.9,38.2,64,56.3,43.8,113,4,3.5,3,0.48,9.6,Matches
88,Jandrei,br BRA,GK,Genoa,it Serie A,25,1993,1.0,1,0,0,1,0,0.9,0.34,-0.1,-0.09,12,23,52.2,26,3,69.2,44.2,6,83.3,54.0,10,0,0.0,1,1.00,25.0,Matches
89,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,33,1984,30.5,48,2,1,6,2,45.3,0.30,-0.7,-0.02,329,755,43.6,874,97,58.1,40.8,279,88.5,57.7,496,31,6.3,29,0.95,14.2,Matches
90,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,28,1990,17.0,34,2,1,1,0,25.1,0.29,-8.9,-0.52,151,344,43.9,360,62,62.5,44.4,131,90.8,60.4,208,11,5.3,7,0.41,11.8,Matches
91,Aleksandar Jovanović,rs SRB,GK,Huesca,es La Liga,25,1992,12.0,19,2,1,1,1,17.1,0.33,-0.9,-0.08,74,237,31.2,252,23,64.3,44.6,80,93.8,60.8,140,2,1.4,4,0.33,11.3,Matches
92,Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,24,1994,0.5,1,0,0,0,0,0.5,0.18,-0.5,-0.98,0,4,0.0,13,7,23.1,28.5,3,33.3,39.7,8,0,0.0,0,0.00,12.0,Matches
93,Orestis Karnezis,gr GRE,GK,Napoli,it Serie A,33,1985,9.0,7,1,0,0,0,8.1,0.26,+1.1,+0.13,28,99,28.3,182,38,33.5,32.4,63,60.3,46.6,109,4,3.7,6,0.67,14.1,Matches
94,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,35,1983,1.0,0,0,0,0,0,0.1,0.14,+0.1,+0.14,13,27,48.1,25,7,48.0,40.0,15,100.0,66.8,17,1,5.9,0,0.00,10.3,Matches
95,Gregor Kobel,ch SUI,GK,Hoffenheim,de Bundesliga,20,1997,1.0,1,1,0,0,0,1.6,0.10,+0.6,+0.62,14,27,51.9,37,3,59.5,44.6,5,100.0,64.4,21,1,4.8,2,2.00,15.5,Matches
96,Gregor Kobel,ch SUI,GK,Augsburg,de Bundesliga,20,1997,15.4,42,1,1,5,1,34.6,0.36,-6.4,-0.42,74,221,33.5,407,71,38.1,33.4,119,55.5,45.7,216,10,4.6,16,1.04,14.6,Matches
97,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,25,1992,32.5,48,3,0,8,1,39.1,0.27,-7.9,-0.24,177,445,39.8,650,133,41.2,36.1,254,69.7,50.6,488,16,3.3,49,1.51,17.1,Matches
98,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,30,1988,3.5,9,2,0,0,0,6.8,0.32,-2.2,-0.62,40,81,49.4,93,7,58.1,38.8,30,90.0,56.1,40,2,5.0,1,0.29,13.3,Matches
99,Alban Lafont,fr FRA,GK,Fiorentina,it Serie A,19,1999,33.5,40,5,1,5,3,32.7,0.21,-4.3,-0.13,158,436,36.2,750,164,39.6,36.2,262,53.1,42.8,522,15,2.9,29,0.87,14.2,Matches
100,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,27,1991,37.0,42,3,1,8,2,41.4,0.27,+1.4,+0.04,310,687,45.1,1003,180,51.0,39.9,277,63.2,47.8,495,24,4.8,39,1.05,13.7,Matches
101,Bernd Leno,de GER,GK,Arsenal,eng Premier League,26,1992,31.5,42,7,1,3,1,44.3,0.27,+3.3,+0.10,127,385,33.0,876,181,29.3,31.5,227,56.4,45.3,385,10,2.6,40,1.27,15.3,Matches
102,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,31,1986,33.0,33,3,1,5,3,39.2,0.27,+9.2,+0.28,164,408,40.2,956,161,29.5,32.2,252,50.0,42.2,454,13,2.9,36,1.09,14.9,Matches
103,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,27,1990,34.0,42,5,1,3,3,35.9,0.24,-3.1,-0.09,127,306,41.5,820,169,27.1,30.4,250,33.6,37.7,395,13,3.3,30,0.88,15.2,Matches
104,Diego López,es ESP,GK,Espanyol,es La Liga,36,1981,38.0,50,6,5,7,2,51.8,0.27,+3.8,+0.10,226,562,40.2,868,133,39.9,35.4,333,64.9,47.6,674,24,3.6,19,0.50,12.3,Matches
105,Pau López,es ESP,GK,Betis,es La Liga,23,1994,33.0,47,3,2,7,0,45.6,0.32,-1.4,-0.04,106,281,37.7,995,173,19.0,26.4,249,36.9,36.7,406,23,5.7,46,1.39,15.9,Matches
106,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,29,1989,30.9,54,4,1,6,0,42.1,0.27,-11.9,-0.39,275,631,43.6,880,97,52.3,40.7,223,76.7,55.6,345,24,7.0,29,0.94,13.3,Matches
107,Andriy Lunin,ua UKR,GK,Leganés,es La Liga,19,1999,4.1,5,1,0,1,0,6.3,0.23,+1.3,+0.31,32,70,45.7,91,19,49.5,39.8,33,75.8,56.5,43,1,2.3,2,0.49,15.7,Matches
