,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assits,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
21,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,661,796,83.0,7735,1420,415,466,89.1,151,176,85.8,12,24,50.0,8,5.0,4.3,+3.0,34,40,40,0,76,Matches
22,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,1993,28.1,1315,1640,80.2,20563,7554,730,806,90.6,468,573,81.7,86,159,54.1,4,2.5,2.7,+1.5,44,82,46,25,128,Matches
23,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,166,189,87.8,2706,846,90,93,96.8,58,68,85.3,14,19,73.7,0,0.0,0.2,0.0,0,16,3,2,21,Matches
24,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,27,35,77.1,429,42,19,22,86.4,4,5,80.0,4,4,100.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches
25,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,463,549,84.3,7732,2051,217,245,88.6,193,218,88.5,40,56,71.4,1,0.6,0.5,+0.4,8,50,4,1,64,Matches
26,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,13,35,37.1,252,147,3,5,60.0,8,19,42.1,2,5,40.0,0,0.0,0.0,0.0,0,3,2,1,2,Matches
27,Ola Aina,ng NGA,DF,Torino,it Serie A,21,1996,24.0,861,1178,73.1,13729,5830,465,525,88.6,268,395,67.8,88,159,55.3,3,2.5,2.2,+0.5,25,53,30,11,97,Matches
28,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,572,656,87.2,10579,2532,247,274,90.1,241,269,89.6,72,83,86.7,0,0.4,0.4,-0.4,7,42,7,2,67,Matches
29,Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,633,737,85.9,12117,3794,237,257,92.2,303,336,90.2,82,119,68.9,2,0.8,0.6,+1.2,12,70,6,0,86,Matches
30,Rayan Aït-Nouri,dz ALG,"DF,MF",Angers,fr Ligue 1,17,2001,0.6,30,35,85.7,352,145,21,23,91.3,6,9,66.7,1,1,100.0,0,0.0,0.1,0.0,0,3,1,0,3,Matches
31,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,24,1994,17.0,339,459,73.9,4886,562,199,254,78.3,88,114,77.2,28,36,77.8,1,1.0,1.1,0.0,13,20,7,1,25,Matches
32,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1722,1855,92.8,35445,11973,509,539,94.4,948,980,96.7,247,303,81.5,0,0.6,0.6,-0.6,6,94,3,2,122,Matches
33,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,332,443,74.9,4988,1943,189,217,87.1,100,141,70.9,26,47,55.3,0,0.2,0.6,-0.2,3,21,4,0,34,Matches
34,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1491,1733,86.0,26259,10116,654,718,91.1,703,781,90.0,119,197,60.4,0,1.0,0.9,-1.0,7,74,6,3,98,Matches
35,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,64,84,76.2,950,312,36,39,92.3,22,26,84.6,4,12,33.3,1,0.1,0.1,+0.9,1,3,1,1,7,Matches
36,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,119,161,73.9,1529,355,73,82,89.0,36,51,70.6,2,8,25.0,1,0.5,1.0,+0.5,6,7,4,2,14,Matches
37,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,228,269,84.8,4015,1468,101,112,90.2,104,114,91.2,20,35,57.1,0,0.0,0.1,0.0,0,27,0,0,33,Matches
38,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,135,171,78.9,2640,903,48,54,88.9,73,83,88.0,14,28,50.0,0,0.0,0.1,0.0,0,13,2,0,20,Matches
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,1769,2153,82.2,26475,8480,970,1061,91.4,637,755,84.4,92,184,50.0,3,4.4,5.8,-1.4,28,144,41,20,190,Matches
40,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,1998,21.1,832,1096,75.9,11690,5247,522,588,88.8,237,313,75.7,38,105,36.2,0,1.5,1.3,-1.5,21,50,15,5,79,Matches
41,Lucas Alario,ar ARG,"FW,MF",Leverkusen,de Bundesliga,25,1992,14.1,307,412,74.5,3588,644,179,218,82.1,62,92,67.4,12,14,85.7,3,1.4,1.3,+1.6,15,6,8,0,22,Matches
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2279,2695,84.6,33032,10768,1392,1511,92.1,716,852,84.0,110,188,58.5,8,6.7,5.9,+1.3,47,140,57,7,207,Matches
43,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,1115,1487,75.0,17984,6331,591,659,89.7,325,411,79.1,129,274,47.1,5,5.9,5.5,-0.9,76,136,54,7,200,Matches
44,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1009,1131,89.2,22510,7869,250,260,96.2,545,591,92.2,205,258,79.5,0,0.4,0.7,-0.4,5,68,3,2,81,Matches
45,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,715,966,74.0,11843,4473,355,406,87.4,281,365,77.0,63,135,46.7,3,1.5,2.2,+1.5,18,52,24,13,71,Matches
46,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,448,776,57.7,7849,2947,236,301,78.4,129,217,59.4,61,160,38.1,2,2.9,2.3,-0.9,28,53,29,14,64,Matches
47,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,213,290,73.4,2420,456,147,182,80.8,39,60,65.0,5,9,55.6,0,1.6,2.5,-1.6,15,13,7,0,17,Matches
48,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,686,869,78.9,14910,5012,168,200,84.0,408,462,88.3,106,190,55.8,1,0.6,0.4,+0.4,5,30,5,0,47,Matches
49,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2325,2587,89.9,45160,12086,850,907,93.7,1047,1115,93.9,353,451,78.3,6,3.5,5.0,+2.5,38,266,26,1,310,Matches
50,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,1438,1757,81.8,29343,7859,556,603,92.2,604,681,88.7,254,402,63.2,2,0.9,1.1,+1.1,20,172,2,0,181,Matches
51,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2097,2382,88.0,45013,14391,609,645,94.4,1118,1194,93.6,352,500,70.4,0,0.6,1.7,-0.6,7,161,24,1,161,Matches
52,Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,22,32,68.8,293,51,13,18,72.2,6,8,75.0,1,1,100.0,0,0.4,0.1,-0.4,3,2,1,0,5,Matches
53,Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,1,1,100.0,4,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
54,Iván Alejo,es ESP,MF,Getafe,es La Liga,23,1995,1.6,18,43,41.9,341,87,7,15,46.7,7,16,43.8,3,6,50.0,0,0.6,0.4,-0.6,1,2,1,1,3,Matches
55,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,536,587,91.3,8645,1908,272,288,94.4,208,218,95.4,43,55,78.2,0,0.7,0.8,-0.7,9,58,6,0,65,Matches
56,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,623,871,71.5,19553,15144,70,70,100.0,302,305,99.0,250,487,51.3,0,0.0,0.1,0.0,0,10,1,0,0,Matches
57,Alexander,ar ARG,FW,Leganés,es La Liga,29,1988,0.1,4,8,50.0,40,30,4,5,80.0,0,2,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
58,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,1644,2236,73.5,30562,10915,692,794,87.2,712,902,78.9,208,422,49.3,12,6.3,6.6,+5.7,48,123,55,25,157,Matches
59,Alfonso,mz MOZ,MF,Hoffenheim,de Bundesliga,18,1999,0.1,1,2,50.0,18,2,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
60,Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,266,383,69.5,3443,668,182,231,78.8,54,84,64.3,11,27,40.7,0,1.2,0.7,-1.2,20,20,14,3,22,Matches
61,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1075,1290,83.3,28332,18517,143,148,96.6,625,628,99.5,307,510,60.2,0,0.0,0.0,0.0,0,5,1,0,0,Matches
62,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,292,458,63.8,11262,9840,14,14,100.0,108,114,94.7,170,330,51.5,0,0.0,0.1,0.0,0,17,1,0,0,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,1979,2231,88.7,31900,9338,1018,1089,93.5,733,795,92.2,165,211,78.2,3,2.5,2.9,+0.5,34,255,30,4,236,Matches
64,Allan,br BRA,MF,Eint Frankfurt,de Bundesliga,21,1997,2.0,42,64,65.6,778,226,16,29,55.2,17,23,73.9,6,7,85.7,0,0.0,0.1,0.0,1,11,1,0,4,Matches
65,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,22,1996,20.3,836,1056,79.2,11782,2868,495,564,87.8,265,325,81.5,33,63,52.4,3,3.1,2.2,-0.1,27,67,29,1,111,Matches
66,Miguel Almirón,py PAR,MF,Newcastle Utd,eng Premier League,24,1994,8.4,188,263,71.5,2883,752,98,125,78.4,54,74,73.0,21,28,75.0,0,0.6,0.8,-0.6,13,21,12,7,25,Matches
67,Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,233,319,73.0,3830,1525,123,137,89.8,84,113,74.3,19,48,39.6,0,0.2,0.4,-0.2,5,14,2,1,21,Matches
68,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,1862,2255,82.6,24620,7841,1227,1340,91.6,486,611,79.5,66,146,45.2,4,3.4,2.6,+0.6,33,102,21,7,146,Matches
69,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,6.3,185,301,61.5,2970,1145,90,111,81.1,76,115,66.1,12,54,22.2,0,0.4,0.3,-0.4,8,13,4,4,18,Matches
70,Sergio Álvarez,es ESP,"DF,MF",Eibar,es La Liga,26,1992,11.9,395,500,79.0,7730,1938,122,144,84.7,212,252,84.1,49,79,62.0,0,0.1,0.1,-0.1,2,32,0,0,29,Matches
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,302,463,65.2,9673,7638,38,38,100.0,139,141,98.6,124,277,44.8,0,0.0,0.0,0.0,0,6,0,0,0,Matches
72,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1031,1294,79.7,20322,8052,348,390,89.2,542,625,86.7,126,241,52.3,0,0.1,0.4,-0.1,2,76,4,1,93,Matches
73,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,962,1245,77.3,22775,9654,221,260,85.0,505,592,85.3,232,360,64.4,1,1.0,1.1,0.0,10,57,3,2,72,Matches
74,Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,1316,1581,83.2,18569,6221,766,822,93.2,359,437,82.2,88,148,59.5,7,6.4,5.5,+0.6,33,135,47,11,163,Matches
75,Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,302,361,83.7,5164,1309,138,151,91.4,128,149,85.9,26,36,72.2,0,0.1,0.1,-0.1,3,19,0,0,25,Matches
76,Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,835,1083,77.1,15893,4409,332,390,85.1,344,405,84.9,131,219,59.8,0,0.9,1.3,-0.9,15,105,26,6,134,Matches
77,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,357,435,82.1,5916,2458,184,197,93.4,138,172,80.2,30,52,57.7,0,0.1,0.1,-0.1,3,36,0,0,34,Matches
78,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1064,1295,82.2,20994,7883,397,457,86.9,516,574,89.9,140,221,63.3,0,0.4,0.2,-0.4,5,63,0,0,95,Matches
79,Amath,sn SEN,MF,Getafe,es La Liga,22,1996,11.1,142,210,67.6,2264,798,77,99,77.8,47,64,73.4,13,22,59.1,2,1.5,1.2,+0.5,10,12,10,1,30,Matches
80,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,961,1282,75.0,15187,4547,516,580,89.0,340,470,72.3,72,143,50.3,2,2.0,1.5,0.0,26,47,19,16,82,Matches
81,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,942,1208,78.0,14384,6159,530,603,87.9,322,411,78.3,59,130,45.4,1,0.8,0.7,+0.2,8,75,12,4,106,Matches
82,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,21,1996,8.4,320,375,85.3,4935,1394,168,185,90.8,118,129,91.5,18,34,52.9,1,1.4,1.5,-0.4,16,29,12,1,50,Matches
83,Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
84,Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,1,3,33.3,9,6,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,1804,2036,88.6,36128,13003,598,644,92.9,937,1000,93.7,254,359,70.8,1,0.7,0.5,+0.3,8,139,5,0,154,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,25,1993,33.8,1325,1824,72.6,20473,6459,703,832,84.5,378,506,74.7,130,241,53.9,4,6.1,7.4,-2.1,64,111,85,12,191,Matches
87,Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,113,170,66.5,1385,187,73,94,77.7,29,49,59.2,2,6,33.3,0,0.1,0.2,-0.1,2,3,1,1,4,Matches
88,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1174,1505,78.0,18044,5013,600,699,85.8,427,529,80.7,78,130,60.0,1,0.8,1.3,+0.2,20,108,20,1,185,Matches
89,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,65,72,90.3,1466,501,9,9,100.0,45,47,95.7,11,15,73.3,0,0.0,0.0,0.0,0,1,0,0,6,Matches
90,Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,194,250,77.6,4049,1349,55,64,85.9,111,126,88.1,28,55,50.9,0,0.0,0.0,0.0,0,8,0,0,8,Matches
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,1,1,100.0,12,11,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
92,José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,1386,2173,63.8,29556,13592,488,569,85.8,582,822,70.8,289,663,43.6,1,5.7,5.5,-4.7,56,174,68,42,195,Matches
93,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,292,363,80.4,8746,6055,35,35,100.0,133,134,99.3,124,192,64.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
94,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,1986,20.1,574,888,64.6,10975,4452,268,307,87.3,192,307,62.5,93,212,43.9,2,2.9,2.4,-0.9,35,53,47,30,93,Matches
95,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,410,541,75.8,5440,1025,252,299,84.3,114,153,74.5,14,21,66.7,0,1.6,1.0,-1.6,23,31,11,2,50,Matches
96,Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,1444,1733,83.3,29662,9494,422,485,87.0,801,884,90.6,207,306,67.6,0,0.2,0.4,-0.2,5,67,1,1,96,Matches
97,Luca Antonelli,it ITA,DF,Empoli,it Serie A,31,1987,8.4,271,381,71.1,4089,1699,148,166,89.2,106,153,69.3,10,34,29.4,1,0.7,0.9,+0.3,7,25,8,0,39,Matches
98,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,31,39,79.5,435,179,19,22,86.4,10,12,83.3,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,3,Matches
99,Michail Antonio,jm JAM,"MF,FW",West Ham,eng Premier League,28,1990,23.4,496,773,64.2,7214,2025,302,381,79.3,127,222,57.2,40,82,48.8,4,4.4,2.5,-0.4,23,36,21,5,69,Matches
100,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,30,1987,20.7,644,896,71.9,9991,4264,357,400,89.3,213,296,72.0,50,132,37.9,1,1.9,1.4,-0.9,23,59,25,13,71,Matches
101,Vitorino Antunes,pt POR,"DF,MF",Getafe,es La Liga,31,1987,24.2,701,1198,58.5,13980,7479,278,344,80.8,291,456,63.8,118,319,37.0,3,3.1,3.1,-0.1,31,76,33,21,99,Matches
102,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,23,1995,12.0,296,400,74.0,4913,1106,127,169,75.1,134,162,82.7,20,35,57.1,0,0.1,0.1,-0.1,2,16,1,0,35,Matches
103,Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,474,580,81.7,8762,1995,204,218,93.6,188,213,88.3,69,120,57.5,0,1.4,1.7,-1.4,15,27,5,4,38,Matches
104,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,20,1998,34.0,1793,2078,86.3,28536,7450,914,1027,89.0,672,722,93.1,134,184,72.8,7,4.7,3.4,+2.3,44,200,36,0,274,Matches
105,Emmanuel Apeh,ng NGA,"FW,MF",Celta Vigo,es La Liga,21,1996,0.2,3,4,75.0,49,0,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,0,Matches
106,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,519,776,66.9,11338,3285,178,239,74.5,194,280,69.3,127,203,62.6,2,1.5,1.1,+0.5,18,81,9,2,96,Matches
107,Guilherme Arana,br BRA,DF,Sevilla,es La Liga,21,1997,7.0,231,289,79.9,3514,904,140,157,89.2,77,93,82.8,13,22,59.1,0,0.0,0.1,0.0,1,3,2,1,13,Matches
108,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,1457,1661,87.7,23354,7729,739,796,92.8,525,576,91.1,120,155,77.4,7,3.4,3.5,+3.6,30,170,24,5,207,Matches
109,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,22,1996,8.7,232,317,73.2,4202,1089,107,126,84.9,80,111,72.1,33,49,67.3,2,0.9,0.7,+1.1,12,29,9,3,43,Matches
110,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,1291,1502,86.0,25226,8148,387,439,88.2,769,841,91.4,117,184,63.6,0,0.3,0.3,-0.3,4,57,4,2,61,Matches
111,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,863,1152,74.9,20574,7115,222,266,83.5,408,478,85.4,228,380,60.0,2,1.1,1.3,+0.9,4,124,5,1,109,Matches
112,Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,2,5,40.0,17,0,2,4,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
113,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,445,516,86.2,10564,7543,94,94,100.0,251,254,98.8,99,166,59.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
114,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,787,1015,77.5,11137,4647,460,515,89.3,258,352,73.3,32,74,43.2,1,1.3,1.3,-0.3,14,47,22,7,84,Matches
115,Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,528,639,82.6,10727,4113,146,165,88.5,303,339,89.4,71,121,58.7,0,0.3,0.2,-0.3,4,29,1,0,36,Matches
116,Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,20,25,80.0,400,182,7,9,77.8,11,13,84.6,2,3,66.7,0,0.0,0.0,0.0,0,2,1,0,2,Matches
117,Yoël Armougom,fr FRA,DF,Caen,fr Ligue 1,20,1998,20.6,635,901,70.5,10759,4681,321,368,87.2,230,322,71.4,65,161,40.4,1,1.7,1.7,-0.7,15,49,17,11,67,Matches
118,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,26,1992,15.9,492,648,75.9,7511,1972,256,315,81.3,175,200,87.5,36,58,62.1,2,1.5,1.0,+0.5,29,61,22,1,86,Matches
119,José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,23,1995,1.3,25,32,78.1,342,31,14,19,73.7,11,12,91.7,0,0,,0,0.1,0.0,-0.1,1,0,0,0,2,Matches
120,Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,490,667,73.5,6585,1149,287,366,78.4,128,176,72.7,26,32,81.3,4,4.4,2.6,-0.4,36,26,15,2,43,Matches
121,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,1111,1473,75.4,23482,6132,389,454,85.7,448,544,82.4,236,393,60.1,6,4.3,3.8,+1.7,46,111,24,6,141,Matches
122,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,1011,1161,87.1,25587,17018,185,186,99.5,543,550,98.7,281,419,67.1,0,0.0,0.0,0.0,0,2,0,0,0,Matches
