,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal,Matches
1434,Roberto López,es ESP,MF,Real Sociedad,es La Liga,18,2000,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1435,Unai López,es ESP,MF,Athletic Club,es La Liga,22,1995,3.6,5,1.37,3,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1436,Jonas Lössl,dk DEN,GK,Huddersfield,eng Premier League,29,1989,30.9,8,0.26,5,3,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
1437,Albert Lottin,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,16,2001,0.2,1,4.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1438,Imran Louza,ma MAR,MF,Nantes,fr Ligue 1,19,1999,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1439,Davor Lovren,hr CRO,MF,Düsseldorf,de Bundesliga,19,1998,0.5,1,1.96,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1440,Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,29,1989,11.0,6,0.55,5,0,0,0,1,0,2,0.18,1,0,0,0,1,0,Matches
1441,Chris Löwe,de GER,"DF,MF",Huddersfield,eng Premier League,29,1989,22.9,39,1.71,24,9,3,2,1,0,4,0.18,4,0,0,0,0,0,Matches
1442,Eduard Löwen,de GER,"MF,FW",Nürnberg,de Bundesliga,21,1997,18.0,50,2.77,36,1,2,7,4,0,6,0.33,3,0,1,2,0,0,Matches
1443,Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,29,1989,19.4,22,1.13,18,2,1,1,0,0,1,0.05,1,0,0,0,0,0,Matches
1444,Anthony Lozano,hn HON,"FW,MF",Girona,es La Liga,25,1993,8.1,18,2.22,8,0,2,5,3,0,4,0.49,0,0,0,3,1,0,Matches
1445,Derrick Luckassen,nl NED,DF,Hertha BSC,de Bundesliga,23,1995,2.8,1,0.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1446,Filipe Luís,br BRA,DF,Atlético Madrid,es La Liga,32,1985,22.6,30,1.33,25,1,2,1,0,1,3,0.13,2,0,1,0,0,0,Matches
1447,José Luis Gayà,es ESP,DF,Valencia,es La Liga,23,1995,34.9,66,1.89,58,2,4,0,2,0,5,0.14,4,0,0,0,1,0,Matches
1448,José Luis Morales,es ESP,"FW,MF",Levante,es La Liga,31,1987,35.5,116,3.27,67,0,23,8,17,1,17,0.48,7,0,5,1,4,0,Matches
1449,José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,28,1990,25.1,20,0.80,16,0,0,1,0,3,2,0.08,2,0,0,0,0,0,Matches
1450,Luisinho,pt POR,DF,Huesca,es La Liga,33,1985,5.6,5,0.89,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1451,David Luiz,br BRA,DF,Chelsea,eng Premier League,31,1987,36.0,45,1.25,40,0,0,4,1,0,2,0.06,2,0,0,0,0,0,Matches
1452,Douglas Luiz,br BRA,MF,Girona,es La Liga,20,1998,16.6,29,1.75,20,3,3,1,2,0,1,0.06,0,0,0,1,0,0,Matches
1453,Everton Luiz,br BRA,MF,SPAL,it Serie A,30,1988,3.5,3,0.85,3,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
1454,Jordan Lukaku,be BEL,"DF,MF",Lazio,it Serie A,24,1994,1.9,6,3.09,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1455,Romelu Lukaku,be BEL,FW,Manchester Utd,eng Premier League,25,1993,23.7,56,2.36,47,0,3,5,1,0,7,0.29,6,0,0,0,1,0,Matches
1456,Dodi Lukebakio,be BEL,"FW,MF",Düsseldorf,de Bundesliga,20,1997,21.9,58,2.65,38,1,6,4,9,0,5,0.23,3,0,1,0,1,0,Matches
1457,Saša Lukić,rs SRB,MF,Torino,it Serie A,21,1996,11.0,37,3.37,24,7,3,0,2,1,2,0.18,0,1,1,0,0,0,Matches
1458,Senad Lulić,ba BIH,"DF,FW",Lazio,it Serie A,32,1986,32.5,121,3.73,106,5,4,2,2,2,6,0.18,4,0,1,1,0,0,Matches
1459,Antonio Luna,es ESP,"DF,FW",Levante,es La Liga,27,1991,14.0,24,1.72,21,1,0,2,0,0,4,0.29,4,0,0,0,0,0,Matches
1460,Andriy Lunin,ua UKR,GK,Leganés,es La Liga,19,1999,4.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1461,Sebastiano Luperto,it ITA,DF,Napoli,it Serie A,21,1996,8.1,9,1.11,8,0,0,0,0,1,3,0.37,3,0,0,0,0,0,Matches
1462,Fabian Lustenberger,ch SUI,"DF,MF",Hertha BSC,de Bundesliga,30,1988,24.1,17,0.70,14,1,0,1,0,1,2,0.08,1,0,0,1,0,0,Matches
1463,Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,31,1987,14.6,2,0.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1464,Lyanco,br BRA,DF,Torino,it Serie A,21,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1465,Lyanco,br BRA,DF,Bologna,it Serie A,21,1997,12.4,16,1.29,11,1,4,0,0,0,1,0.08,1,0,0,0,0,0,Matches
1466,Hervé Lybohy,ne NIG,DF,Nîmes,fr Ligue 1,35,1983,16.4,5,0.30,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1467,Charalambos Lykogiannis,gr GRE,DF,Cagliari,it Serie A,24,1993,9.2,16,1.73,9,7,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches
1468,Yann M'Vila,fr FRA,MF,Saint-Étienne,fr Ligue 1,28,1990,36.2,67,1.85,57,2,1,2,3,2,6,0.17,6,0,0,0,0,0,Matches
1469,Darwin Machís,ve VEN,"FW,MF",Udinese,it Serie A,25,1993,5.1,22,4.29,15,0,5,1,1,0,1,0.19,1,0,0,0,0,0,Matches
1470,James Maddison,eng ENG,"MF,FW",Leicester City,eng Premier League,21,1996,31.5,190,6.04,87,54,13,10,25,1,13,0.41,9,2,1,0,1,0,Matches
1471,Gary Madine,eng ENG,"FW,MF",Cardiff City,eng Premier League,27,1990,0.4,3,7.30,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1472,Pablo Maffeo,es ESP,"DF,MF",Stuttgart,de Bundesliga,21,1997,6.6,17,2.56,10,2,1,1,2,1,0,0.00,0,0,0,0,0,0,Matches
1473,Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,33,1984,20.7,40,1.94,38,1,1,0,0,0,2,0.10,2,0,0,0,0,0,Matches
1474,Giangiacomo Magnani,it ITA,DF,Sassuolo,it Serie A,22,1995,16.8,6,0.36,6,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
1475,Harry Maguire,eng ENG,DF,Leicester City,eng Premier League,25,1993,28.8,45,1.56,34,2,2,5,1,1,4,0.14,2,1,0,1,0,0,Matches
1476,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,eng Premier League,27,1991,14.9,57,3.82,34,6,6,7,3,1,9,0.60,6,1,1,1,0,0,Matches
1477,Thiago Maia,br BRA,MF,Lille,fr Ligue 1,21,1997,11.3,20,1.76,17,0,0,0,1,2,1,0.09,1,0,0,0,0,0,Matches
1478,Raffaele Maiello,it ITA,MF,Frosinone,it Serie A,27,1991,22.7,52,2.29,39,8,1,1,2,1,2,0.09,2,0,0,0,0,0,Matches
1479,Arne Maier,de GER,MF,Hertha BSC,de Bundesliga,19,1999,22.9,37,1.61,31,0,3,1,1,1,2,0.09,2,0,0,0,0,0,Matches
1480,Domenico Maietta,it ITA,DF,Empoli,it Serie A,35,1982,19.0,17,0.89,12,0,3,0,0,2,1,0.05,1,0,0,0,0,0,Matches
