,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
1190,1420,Mathis Lambourde,fr FRA,FW,Rennes,fr Ligue 1,17.0,2006.0,0.1,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1191,1421,Érik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,31.0,1992.0,5.1,174.0,165.0,9.0,2.0,1.0,0.0,12,5.0,1.0,1.0,0.0,0.0,142.0,0.0,3.0
1192,1422,Mohamed Lamine Bayo,gn GUI,FW,Le Havre,fr Ligue 1,25.0,1998.0,15.4,310.0,283.0,26.0,0.0,3.0,2.0,8,0.0,0.0,0.0,0.0,0.0,201.0,1.0,14.0
1193,1423,Didier Lamkel Zé,cm CMR,"FW,MF",Metz,fr Ligue 1,26.0,1996.0,6.1,190.0,179.0,10.0,5.0,0.0,6.0,13,1.0,2.0,1.0,0.0,0.0,137.0,1.0,5.0
1194,1424,Tariq Lamptey,gh GHA,"DF,FW",Brighton,eng Premier League,22.0,2000.0,10.2,454.0,400.0,51.0,2.0,0.0,0.0,31,49.0,0.0,0.0,0.0,0.0,379.0,3.0,9.0
1195,1425,Bruno Langa,mz MOZ,DF,Almería,es La Liga,25.0,1997.0,9.1,400.0,320.0,80.0,13.0,0.0,3.0,16,67.0,0.0,0.0,0.0,0.0,307.0,0.0,13.0
1196,1426,Gianluca Lapadula,pe PER,FW,Cagliari,it Serie A,33.0,1990.0,13.4,171.0,148.0,22.0,1.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,120.0,1.0,5.0
1197,1427,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,29.0,1994.0,0.1,11.0,11.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
1198,1428,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29.0,1993.0,20.2,1023.0,975.0,45.0,20.0,0.0,5.0,1,1.0,0.0,0.0,0.0,0.0,883.0,3.0,5.0
1199,1429,Cyle Larin,ca CAN,FW,Mallorca,es La Liga,28.0,1995.0,20.3,294.0,278.0,13.0,0.0,1.0,1.0,7,1.0,0.0,0.0,0.0,0.0,184.0,3.0,14.0
1200,1430,Yasser Larouci,dz ALG,DF,Sheffield Utd,eng Premier League,22.0,2001.0,5.9,185.0,171.0,13.0,0.0,0.0,0.0,6,13.0,0.0,0.0,0.0,0.0,131.0,1.0,14.0
1201,1431,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,19.0,2004.0,21.0,965.0,944.0,19.0,14.0,1.0,2.0,8,5.0,0.0,0.0,0.0,0.0,835.0,2.0,13.0
1202,1432,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29.0,1993.0,12.0,774.0,764.0,8.0,6.0,0.0,3.0,1,2.0,0.0,0.0,0.0,0.0,669.0,2.0,5.0
