,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received
26,27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,1995.0,76.0,507.0,1015.0,487.0,27.0,1995.0,11.0,5.0,45.5,6.0,54.5,1133.0,5438.0,2920.0,61.0,54.0,4.0,31.0,5.0,1187.0,101.0
27,28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,4.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
28,29,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,2002,0.7,38.0,0.0,5.0,27.0,6.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,33.0,120.0,57.0,0.0,0.0,0.0,3.0,0.0,31.0,1.0
29,30,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,1005.0,94.0,459.0,495.0,60.0,13.0,1005.0,4.0,1.0,25.0,3.0,75.0,715.0,4227.0,2449.0,18.0,14.0,3.0,8.0,5.0,669.0,12.0
30,31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,541.0,12.0,84.0,319.0,146.0,17.0,541.0,23.0,11.0,47.8,12.0,52.2,322.0,1663.0,769.0,16.0,11.0,2.0,21.0,10.0,341.0,39.0
31,32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,1828.0,196.0,894.0,895.0,48.0,12.0,1828.0,11.0,9.0,81.8,2.0,18.2,1111.0,5975.0,3687.0,25.0,10.0,1.0,14.0,6.0,1163.0,3.0
32,33,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,950.0,48.0,227.0,441.0,294.0,27.0,950.0,40.0,18.0,45.0,22.0,55.0,483.0,2872.0,1398.0,42.0,34.0,7.0,32.0,10.0,530.0,78.0
33,34,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,2001,20.3,1293.0,49.0,459.0,458.0,392.0,39.0,1293.0,81.0,42.0,51.9,39.0,48.1,659.0,3744.0,1969.0,60.0,38.0,19.0,44.0,27.0,736.0,127.0
34,35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,1101.0,108.0,442.0,484.0,181.0,31.0,1101.0,18.0,13.0,72.2,5.0,27.8,488.0,2991.0,1717.0,30.0,25.0,2.0,25.0,7.0,530.0,29.0
35,36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,1232.0,37.0,103.0,649.0,494.0,138.0,1229.0,27.0,14.0,51.9,13.0,48.1,651.0,2517.0,751.0,21.0,22.0,9.0,70.0,36.0,944.0,217.0
36,37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,2195.0,198.0,963.0,1182.0,65.0,21.0,2195.0,9.0,8.0,88.9,1.0,11.1,1517.0,7984.0,4478.0,18.0,12.0,0.0,8.0,1.0,1649.0,8.0
37,38,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,1084.0,88.0,403.0,456.0,236.0,9.0,1084.0,21.0,12.0,57.1,9.0,42.9,446.0,2527.0,1371.0,35.0,37.0,4.0,27.0,9.0,465.0,52.0
38,39,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,2001,0.9,24.0,0.0,4.0,12.0,9.0,0.0,24.0,2.0,0.0,0.0,2.0,100.0,18.0,186.0,76.0,3.0,2.0,0.0,3.0,1.0,18.0,4.0
39,40,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,956.0,56.0,332.0,525.0,103.0,10.0,956.0,2.0,0.0,0.0,2.0,100.0,677.0,3333.0,2158.0,12.0,12.0,0.0,4.0,3.0,741.0,8.0
40,41,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,71.0,0.0,7.0,20.0,44.0,6.0,71.0,3.0,1.0,33.3,2.0,66.7,54.0,249.0,161.0,7.0,2.0,5.0,1.0,1.0,57.0,13.0
41,42,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,2002,0.6,34.0,0.0,3.0,12.0,19.0,3.0,34.0,1.0,0.0,0.0,1.0,100.0,27.0,154.0,66.0,2.0,1.0,1.0,5.0,1.0,29.0,7.0
42,43,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,376.0,12.0,72.0,258.0,47.0,3.0,376.0,8.0,6.0,75.0,2.0,25.0,195.0,774.0,333.0,3.0,0.0,0.0,2.0,5.0,267.0,5.0
43,44,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,166.0,10.0,45.0,88.0,37.0,1.0,166.0,10.0,6.0,60.0,4.0,40.0,89.0,417.0,216.0,5.0,4.0,0.0,13.0,4.0,107.0,8.0
44,45,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,1995,17.0,1139.0,54.0,364.0,525.0,257.0,34.0,1139.0,47.0,21.0,44.7,26.0,55.3,567.0,2745.0,1419.0,36.0,17.0,11.0,30.0,9.0,628.0,40.0
45,46,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,2189.0,200.0,910.0,1001.0,285.0,41.0,2189.0,10.0,4.0,40.0,6.0,60.0,1529.0,8443.0,5039.0,40.0,34.0,5.0,18.0,3.0,1701.0,76.0
46,47,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1998,1.8,131.0,6.0,32.0,69.0,30.0,0.0,131.0,4.0,2.0,50.0,2.0,50.0,72.0,244.0,142.0,3.0,5.0,0.0,6.0,2.0,85.0,10.0
47,48,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,747.0,55.0,220.0,370.0,164.0,9.0,747.0,8.0,4.0,50.0,4.0,50.0,331.0,1328.0,482.0,6.0,8.0,2.0,15.0,10.0,361.0,13.0
48,49,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,261.0,6.0,17.0,113.0,134.0,43.0,260.0,14.0,12.0,85.7,2.0,14.3,153.0,635.0,245.0,6.0,5.0,3.0,30.0,13.0,200.0,44.0
49,50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,3031.0,82.0,668.0,1469.0,908.0,68.0,3031.0,22.0,6.0,27.3,16.0,72.7,1738.0,5754.0,3133.0,47.0,52.0,9.0,25.0,4.0,2142.0,213.0
50,51,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,10.0,2.0,5.0,4.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0
51,52,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,2177.0,16.0,259.0,1216.0,728.0,30.0,2177.0,44.0,27.0,61.4,17.0,38.6,1343.0,6796.0,3999.0,84.0,89.0,7.0,29.0,23.0,1682.0,89.0
52,53,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,1799.0,253.0,949.0,819.0,38.0,9.0,1799.0,4.0,3.0,75.0,1.0,25.0,1054.0,6003.0,3342.0,11.0,4.0,0.0,7.0,6.0,1167.0,0.0
53,54,Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,31,1989,12.6,705.0,35.0,166.0,302.0,243.0,12.0,705.0,40.0,15.0,37.5,25.0,62.5,357.0,1616.0,691.0,21.0,14.0,2.0,21.0,8.0,397.0,56.0
54,55,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,253.0,2.0,21.0,97.0,135.0,40.0,253.0,10.0,5.0,50.0,5.0,50.0,124.0,335.0,134.0,4.0,3.0,3.0,19.0,7.0,162.0,45.0
55,56,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,1700.0,32.0,247.0,1106.0,362.0,20.0,1700.0,32.0,20.0,62.5,12.0,37.5,1039.0,5003.0,2393.0,24.0,43.0,1.0,16.0,13.0,1279.0,45.0
56,57,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,807.0,18.0,152.0,513.0,156.0,18.0,807.0,17.0,11.0,64.7,6.0,35.3,457.0,2507.0,1343.0,26.0,10.0,1.0,21.0,11.0,526.0,21.0
57,58,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,1292.0,185.0,658.0,596.0,56.0,25.0,1292.0,14.0,13.0,92.9,1.0,7.1,587.0,3421.0,2219.0,17.0,14.0,2.0,19.0,4.0,546.0,3.0
58,59,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,26,1995,11.8,513.0,21.0,109.0,184.0,231.0,21.0,513.0,43.0,15.0,34.9,28.0,65.1,300.0,2923.0,1472.0,63.0,32.0,6.0,40.0,17.0,329.0,88.0
59,61,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,1095.0,9.0,137.0,635.0,334.0,14.0,1095.0,35.0,17.0,48.6,18.0,51.4,660.0,3215.0,1324.0,33.0,27.0,1.0,45.0,32.0,778.0,65.0
60,62,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,3036.0,71.0,602.0,1386.0,1070.0,83.0,3036.0,39.0,19.0,48.7,20.0,51.3,1504.0,5687.0,2824.0,53.0,55.0,14.0,41.0,19.0,1897.0,201.0
61,63,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,570.0,2.0,42.0,227.0,313.0,70.0,570.0,58.0,25.0,43.1,33.0,56.9,388.0,2889.0,1418.0,60.0,31.0,20.0,91.0,32.0,410.0,150.0
62,65,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,1259.0,77.0,324.0,763.0,191.0,7.0,1259.0,31.0,21.0,67.7,10.0,32.3,650.0,3118.0,1603.0,26.0,24.0,4.0,38.0,24.0,672.0,18.0
63,66,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,1995,16.5,747.0,8.0,105.0,339.0,319.0,64.0,747.0,68.0,32.0,47.1,36.0,52.9,565.0,4604.0,2177.0,77.0,48.0,17.0,42.0,40.0,595.0,118.0
64,69,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,27,1994,19.1,728.0,22.0,135.0,302.0,307.0,43.0,728.0,39.0,26.0,66.7,13.0,33.3,446.0,2959.0,1319.0,44.0,21.0,12.0,44.0,24.0,471.0,85.0
65,70,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,1990,24.1,1791.0,72.0,451.0,626.0,730.0,69.0,1791.0,35.0,15.0,42.9,20.0,57.1,882.0,4325.0,2172.0,51.0,32.0,10.0,43.0,25.0,1037.0,192.0
66,71,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,1000.0,96.0,426.0,456.0,129.0,25.0,1000.0,10.0,8.0,80.0,2.0,20.0,461.0,1852.0,925.0,13.0,15.0,0.0,6.0,3.0,479.0,10.0
67,72,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,2003,0.1,8.0,0.0,3.0,2.0,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
68,73,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,1242.0,159.0,608.0,595.0,54.0,13.0,1242.0,3.0,2.0,66.7,1.0,33.3,602.0,4177.0,2616.0,16.0,11.0,1.0,11.0,3.0,655.0,4.0
69,74,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,1170.0,28.0,212.0,686.0,280.0,6.0,1170.0,12.0,12.0,100.0,0.0,0.0,701.0,2925.0,1749.0,33.0,35.0,0.0,10.0,6.0,796.0,25.0
70,75,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,292.0,14.0,79.0,165.0,50.0,3.0,292.0,8.0,6.0,75.0,2.0,25.0,148.0,650.0,330.0,3.0,7.0,1.0,8.0,3.0,177.0,6.0
71,76,Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28,1993,9.0,517.0,44.0,251.0,255.0,16.0,4.0,517.0,7.0,6.0,85.7,1.0,14.3,339.0,1743.0,917.0,6.0,4.0,0.0,9.0,5.0,363.0,1.0
72,77,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,2001,0.9,48.0,1.0,11.0,22.0,15.0,3.0,48.0,4.0,3.0,75.0,1.0,25.0,25.0,163.0,106.0,5.0,1.0,1.0,2.0,0.0,24.0,6.0
73,78,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,1752.0,246.0,872.0,832.0,52.0,6.0,1752.0,7.0,6.0,85.7,1.0,14.3,1133.0,5040.0,2786.0,14.0,12.0,1.0,7.0,1.0,1278.0,0.0
74,79,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,25,1996,9.8,326.0,11.0,59.0,132.0,142.0,25.0,326.0,31.0,15.0,48.4,16.0,51.6,184.0,1145.0,476.0,18.0,16.0,7.0,25.0,19.0,213.0,58.0
75,82,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,41.0,1.0,17.0,23.0,2.0,0.0,41.0,1.0,0.0,0.0,1.0,100.0,19.0,125.0,68.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0
76,83,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,1446.0,122.0,592.0,577.0,294.0,34.0,1446.0,37.0,23.0,62.2,14.0,37.8,670.0,3141.0,1537.0,38.0,25.0,5.0,27.0,20.0,739.0,50.0
77,86,Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,20,2000,25.4,1472.0,125.0,587.0,706.0,194.0,12.0,1472.0,17.0,13.0,76.5,4.0,23.5,712.0,3664.0,1759.0,26.0,23.0,3.0,19.0,10.0,767.0,23.0
78,87,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,799.0,28.0,176.0,530.0,101.0,0.0,799.0,12.0,10.0,83.3,2.0,16.7,506.0,2432.0,1014.0,13.0,9.0,0.0,9.0,6.0,572.0,3.0
79,88,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,2614.0,425.0,1538.0,1005.0,80.0,32.0,2614.0,9.0,7.0,77.8,2.0,22.2,1604.0,8191.0,4478.0,14.0,5.0,2.0,8.0,8.0,1865.0,4.0
80,89,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,1869.0,31.0,204.0,846.0,850.0,130.0,1869.0,108.0,58.0,53.7,50.0,46.3,1091.0,7188.0,4004.0,142.0,101.0,48.0,88.0,38.0,1335.0,264.0
81,90,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14.0,397.0,14.0,26.0,162.0,211.0,67.0,397.0,15.0,6.0,40.0,9.0,60.0,199.0,748.0,221.0,10.0,4.0,2.0,53.0,19.0,304.0,86.0
82,91,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2.0,62.0,1.0,6.0,27.0,30.0,7.0,62.0,2.0,2.0,100.0,0.0,0.0,32.0,133.0,23.0,0.0,1.0,0.0,9.0,3.0,43.0,11.0
83,92,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,686.0,66.0,269.0,305.0,116.0,12.0,686.0,18.0,9.0,50.0,9.0,50.0,293.0,1614.0,864.0,18.0,9.0,2.0,15.0,7.0,290.0,15.0
84,93,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,2175.0,101.0,546.0,1315.0,341.0,36.0,2175.0,25.0,20.0,80.0,5.0,20.0,1251.0,6220.0,2882.0,38.0,34.0,2.0,54.0,26.0,1372.0,59.0
85,94,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,215.0,14.0,91.0,93.0,37.0,2.0,215.0,9.0,4.0,44.4,5.0,55.6,88.0,755.0,449.0,11.0,6.0,0.0,7.0,3.0,104.0,10.0
86,95,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,1216.0,66.0,329.0,727.0,170.0,26.0,1216.0,14.0,13.0,92.9,1.0,7.1,592.0,2502.0,1261.0,19.0,14.0,2.0,13.0,9.0,745.0,27.0
87,96,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12.0,893.0,34.0,208.0,469.0,229.0,3.0,893.0,29.0,20.0,69.0,9.0,31.0,488.0,2592.0,1090.0,22.0,25.0,3.0,14.0,21.0,512.0,35.0
88,97,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,1997,25.5,1708.0,46.0,401.0,703.0,617.0,60.0,1708.0,19.0,14.0,73.7,5.0,26.3,782.0,2986.0,1429.0,35.0,21.0,11.0,30.0,19.0,1039.0,177.0
89,98,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,14.0,0.0,4.0,7.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,29.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0
90,99,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,1986,7.7,500.0,22.0,106.0,206.0,190.0,14.0,500.0,16.0,8.0,50.0,8.0,50.0,288.0,1532.0,790.0,24.0,10.0,7.0,16.0,4.0,293.0,40.0
91,100,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,2002,8.8,312.0,6.0,63.0,119.0,135.0,39.0,312.0,21.0,8.0,38.1,13.0,61.9,156.0,995.0,395.0,10.0,6.0,8.0,24.0,7.0,192.0,60.0
92,101,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,2152.0,295.0,1116.0,969.0,95.0,34.0,2152.0,22.0,17.0,77.3,5.0,22.7,1356.0,7662.0,3975.0,26.0,14.0,0.0,25.0,13.0,1405.0,12.0
93,102,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,36.0,11.0,28.0,8.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,15.0,61.0,26.0,1.0,0.0,0.0,1.0,0.0,21.0,0.0
94,103,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,1990,33.0,1095.0,17.0,59.0,398.0,663.0,159.0,1094.0,93.0,50.0,53.8,43.0,46.2,681.0,4270.0,1921.0,77.0,46.0,35.0,136.0,72.0,885.0,246.0
95,104,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,27,1994,12.6,430.0,4.0,40.0,150.0,246.0,46.0,430.0,32.0,13.0,40.6,19.0,59.4,237.0,1673.0,772.0,35.0,16.0,13.0,51.0,18.0,273.0,85.0
96,105,Houssem Aouar,dz ALG,"MF,FW",Lyon,fr Ligue 1,23,1998,27.8,1816.0,14.0,178.0,1000.0,673.0,108.0,1816.0,129.0,70.0,54.3,59.0,45.7,1298.0,6627.0,3274.0,88.0,79.0,26.0,72.0,52.0,1402.0,169.0
97,106,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,19,2002,12.0,776.0,4.0,101.0,425.0,268.0,22.0,776.0,40.0,15.0,37.5,25.0,62.5,478.0,3071.0,1562.0,43.0,30.0,9.0,31.0,17.0,534.0,61.0
98,107,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,1243.0,102.0,466.0,576.0,215.0,7.0,1243.0,30.0,14.0,46.7,16.0,53.3,663.0,3658.0,1733.0,25.0,20.0,3.0,23.0,5.0,678.0,58.0
