,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assits,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
125,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,47,57,82.5,806,240,17,21,81.0,27,31,87.1,2,3,66.7,0,0.1,0.0,-0.1,1,2,0,0,5,Matches
126,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,38,68,55.9,453,66,25,35,71.4,9,16,56.3,0,2,0.0,0,0.1,0.1,-0.1,2,1,1,0,2,Matches
127,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,es La Liga,21,1999,0.5,4,7,57.1,43,10,4,5,80.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
128,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,3,5,60.0,93,31,2,3,66.7,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
129,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,1021,1298,78.7,15050,4362,563,653,86.2,360,420,85.7,51,78,65.4,5,2.6,1.8,+2.4,35,80,40,7,144,Matches
130,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,1323,1664,79.5,27177,8485,456,519,87.9,586,677,86.6,248,391,63.4,6,4.2,5.2,+1.8,49,139,25,3,180,Matches
131,Tolu Arokodare,ng NGA,"FW,MF",Köln,de Bundesliga,19,2000,1.2,26,37,70.3,421,68,11,14,78.6,11,15,73.3,2,2,100.0,0,0.2,0.4,-0.2,3,1,2,0,4,Matches
132,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,18,2001,1.5,72,89,80.9,967,229,47,50,94.0,20,24,83.3,3,4,75.0,0,0.0,0.1,0.0,1,3,3,0,8,Matches
133,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,202,246,82.1,4701,2827,45,46,97.8,103,104,99.0,52,94,55.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
134,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,749,890,84.2,12827,2917,341,380,89.7,325,363,89.5,62,97,63.9,0,0.4,0.9,-0.4,9,73,12,2,80,Matches
135,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,it Serie A,31,1988,2.5,95,114,83.3,1746,456,43,48,89.6,38,43,88.4,12,17,70.6,0,0.0,0.1,0.0,0,10,2,0,6,Matches
136,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,291,358,81.3,4862,1446,143,162,88.3,108,128,84.4,28,37,75.7,0,0.3,0.3,-0.3,6,21,4,0,31,Matches
137,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,1022,1308,78.1,26484,17800,229,229,100.0,509,520,97.9,276,548,50.4,0,0.0,0.0,0.0,0,11,0,0,0,Matches
138,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,24,1996,20.8,798,1012,78.9,11651,2592,456,513,88.9,244,304,80.3,48,90,53.3,2,3.3,3.8,-1.3,33,40,31,9,82,Matches
139,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,10,19,52.6,146,67,8,12,66.7,1,2,50.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1,Matches
140,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,983,1275,77.1,13967,3377,560,681,82.2,267,328,81.4,66,87,75.9,13,9.0,7.5,+4.0,62,69,53,5,144,Matches
141,Roger Assalé,ci CIV,"FW,MF",Dijon,fr Ligue 1,26,1993,9.2,118,181,65.2,1837,381,68,100,68.0,36,54,66.7,11,14,78.6,1,0.2,0.3,+0.8,3,8,5,0,14,Matches
142,Youcef Atal,dz ALG,"DF,FW",Nice,fr Ligue 1,24,1996,10.6,496,630,78.7,7378,2017,282,322,87.6,172,206,83.5,26,59,44.1,0,0.8,1.5,-0.8,5,27,11,6,44,Matches
143,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,271,341,79.5,4293,977,139,167,83.2,94,118,79.7,25,34,73.5,0,0.1,0.3,-0.1,4,25,4,1,31,Matches
144,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,1989,25.9,499,674,74.0,6849,1366,319,380,83.9,137,197,69.5,24,38,63.2,3,2.4,3.0,+0.6,22,29,22,4,66,Matches
145,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37.0,877,1247,70.3,26471,19006,124,125,99.2,387,394,98.2,364,724,50.3,1,0.2,0.0,+0.8,1,12,0,0,0,Matches
146,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,1564,2061,75.9,24859,10136,807,916,88.1,628,807,77.8,97,228,42.5,3,3.9,4.1,-0.9,29,100,40,25,157,Matches
147,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,4,4,100.0,36,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
148,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,de Bundesliga,26,1994,21.7,762,1177,64.7,12691,5651,397,480,82.7,281,412,68.2,67,221,30.3,4,2.7,3.8,+1.3,41,42,27,24,60,Matches
149,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,1992,17.8,772,980,78.8,10939,4252,449,499,90.0,255,333,76.6,33,59,55.9,3,3.4,1.9,-0.4,18,31,18,9,59,Matches
150,Charlie Austin,eng ENG,"FW,MF",West Brom,eng Premier League,31,1989,1.5,23,34,67.6,297,111,17,20,85.0,4,7,57.1,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
151,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,26,1994,2.2,31,54,57.4,576,162,12,20,60.0,13,19,68.4,4,8,50.0,0,0.0,0.1,0.0,0,3,3,0,6,Matches
152,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,194,295,65.8,2588,456,120,164,73.2,54,81,66.7,10,18,55.6,2,1.3,0.8,+0.7,20,8,2,0,16,Matches
153,Mehmet Aydin,de GER,DF,Schalke 04,de Bundesliga,18,2002,5.6,136,204,66.7,2017,775,79,98,80.6,50,74,67.6,6,20,30.0,0,0.5,0.5,-0.5,1,7,2,0,7,Matches
154,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,28,1991,23.3,519,667,77.8,6434,1218,323,368,87.8,136,177,76.8,13,25,52.0,3,0.7,1.4,+2.3,13,23,12,2,35,Matches
155,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,515,567,90.8,8573,2411,234,246,95.1,251,268,93.7,26,41,63.4,0,0.0,0.2,0.0,0,51,2,0,41,Matches
156,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,2161,2770,78.0,39595,16160,910,1029,88.4,956,1148,83.3,248,451,55.0,0,3.2,3.2,-3.2,27,179,32,12,224,Matches
157,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1992,1.1,29,37,78.4,365,43,22,26,84.6,7,11,63.6,0,0,,0,0.0,0.0,0.0,0,3,0,0,1,Matches
158,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,1989,24.3,1787,2081,85.9,27154,9701,935,1012,92.4,739,822,89.9,62,134,46.3,2,2.5,2.4,-0.5,27,123,22,3,135,Matches
159,Ludovic Baal,gf GUF,"DF,MF",Brest,fr Ligue 1,34,1986,3.3,212,253,83.8,3890,1562,85,95,89.5,94,106,88.7,28,43,65.1,0,0.4,0.1,-0.4,2,29,1,1,24,Matches
160,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,105,168,62.5,1346,317,62,89,69.7,23,37,62.2,6,14,42.9,0,1.0,0.6,-1.0,5,9,5,0,14,Matches
161,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29.0,1672,1961,85.3,34428,11940,453,510,88.8,995,1089,91.4,207,320,64.7,0,0.3,0.5,-0.3,7,93,3,3,113,Matches
162,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,1295,1597,81.1,23532,7988,597,674,88.6,492,585,84.1,182,261,69.7,4,2.7,1.6,+1.3,29,149,25,2,170,Matches
163,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30.0,865,1150,75.2,24979,18958,154,155,99.4,385,396,97.2,306,578,52.9,0,0.0,0.0,0.0,0,13,0,0,1,Matches
164,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,19,2001,31.9,2124,2450,86.7,43718,16007,566,632,89.6,1268,1366,92.8,274,412,66.5,1,1.2,1.4,-0.2,6,168,4,0,170,Matches
165,Alex Baena,es ESP,MF,Villarreal,es La Liga,19,2001,1.5,43,56,76.8,615,112,22,24,91.7,20,25,80.0,0,2,0.0,0,0.1,0.1,-0.1,2,4,1,0,5,Matches
166,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,es La Liga,20,2000,6.0,169,212,79.7,2562,541,99,113,87.6,46,59,78.0,16,21,76.2,0,0.7,0.5,-0.7,8,10,6,2,15,Matches
167,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,18.0,234,333,70.3,3151,429,135,169,79.9,70,94,74.5,11,15,73.3,2,1.0,0.5,+1.0,11,14,7,1,22,Matches
168,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,22,1997,23.8,668,962,69.4,10811,2275,385,439,87.7,156,241,64.7,89,174,51.1,8,6.0,6.6,+2.0,48,26,37,16,63,Matches
169,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,10.2,497,564,88.1,9002,3349,185,200,92.5,268,299,89.6,37,49,75.5,0,0.0,0.1,0.0,0,26,0,0,37,Matches
170,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1.0,23,37,62.2,650,391,4,4,100.0,12,12,100.0,7,21,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
171,Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,21.8,1080,1228,87.9,17505,4453,524,590,88.8,442,465,95.1,82,103,79.6,1,0.8,1.0,+0.2,12,87,8,0,99,Matches
172,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,2000,18.8,1177,1334,88.2,15565,4196,750,792,94.7,340,394,86.3,31,64,48.4,2,1.9,2.4,+0.1,16,75,21,9,77,Matches
173,Ridle Baku,de GER,"FW,DF",Wolfsburg,de Bundesliga,22,1998,29.8,1095,1484,73.8,17435,5110,575,668,86.1,432,575,75.1,67,136,49.3,7,4.1,5.0,+2.9,44,62,49,17,104,Matches
174,Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2.0,63,91,69.2,1038,521,37,43,86.0,17,27,63.0,8,17,47.1,0,0.0,0.1,0.0,0,7,3,1,11,Matches
175,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,17,2002,0.6,34,40,85.0,532,88,17,18,94.4,13,14,92.9,3,4,75.0,0,0.0,0.0,0.0,1,5,0,0,6,Matches
176,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,28,1991,13.3,362,488,74.2,7770,3294,105,127,82.7,199,225,88.4,55,119,46.2,0,0.0,0.1,0.0,0,30,1,0,30,Matches
177,Keita Baldé,sn SEN,FW,Sampdoria,it Serie A,25,1995,13.3,230,315,73.0,3100,526,135,169,79.9,74,96,77.1,7,18,38.9,1,2.4,1.3,-1.4,21,14,6,0,26,Matches
178,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,27,1993,31.0,888,1153,77.0,11908,3743,582,647,90.0,229,305,75.1,36,98,36.7,2,2.9,1.8,-0.9,18,47,23,7,75,Matches
179,Gareth Bale,wls WAL,FW,Tottenham,eng Premier League,31,1989,10.2,285,416,68.5,5015,1496,142,173,82.1,87,126,69.0,41,72,56.9,2,1.8,1.2,+0.2,21,24,17,3,43,Matches
180,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,18.8,715,951,75.2,11409,3662,360,406,88.7,288,371,77.6,46,104,44.2,1,0.8,0.7,+0.2,8,43,10,9,52,Matches
