,Player,Nation,Position,Squad,Competition,Age,Born,90s,Goals,Shots_total,Shots_on_target,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Matches
2186,Jeff Reine-Adélaïde,fr FRA,FW,Lyon,fr Ligue 1,22,1998,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,17.3,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
2187,Reinier,br BRA,"MF,FW",Dortmund,de Bundesliga,18,2002,2.9,1,3,1,33.3,1.05,0.35,0.33,1.00,11.3,0,0,0,0.5,0.5,0.16,+0.5,+0.5,Matches
2188,Francisco Reis Ferreira,pt POR,DF,Valencia,es La Liga,23,1997,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2189,Rocco Reitz,de GER,MF,M'Gladbach,de Bundesliga,18,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2190,Karim Rekik,nl NED,DF,Sevilla,es La Liga,25,1994,7.3,0,2,0,0.0,0.28,0.00,0.00,,12.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
2191,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,25,1995,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2192,Panagiotis Retsos,gr GRE,DF,Saint-Étienne,fr Ligue 1,21,1998,3.0,0,1,0,0.0,0.33,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2193,Marco Reus,de GER,"MF,FW",Dortmund,de Bundesliga,31,1989,25.3,8,54,24,44.4,2.13,0.95,0.15,0.33,16.7,6,0,2,10.2,7.5,0.14,-2.2,+0.5,Matches
2194,Elvis Rexhbeçaj,de GER,"MF,FW",Köln,de Bundesliga,22,1997,20.4,5,28,11,39.3,1.37,0.54,0.18,0.45,22.0,3,0,0,2.3,2.3,0.08,+2.7,+2.7,Matches
2195,Oriol Rey,es ESP,MF,Valladolid,es La Liga,22,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2196,Gio Reyna,us USA,"MF,FW",Dortmund,de Bundesliga,17,2002,22.0,4,38,12,31.6,1.73,0.55,0.11,0.33,16.6,0,0,0,4.1,4.1,0.11,-0.1,-0.1,Matches
2197,Baptiste Reynet,fr FRA,GK,Nîmes,fr Ligue 1,29,1990,38.0,0,2,1,50.0,0.05,0.03,0.00,0.00,10.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
2198,Bryan Reynolds,us USA,DF,Roma,it Serie A,19,2001,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2199,Franck Ribéry,fr FRA,FW,Fiorentina,it Serie A,37,1983,23.9,2,21,9,42.9,0.88,0.38,0.10,0.22,15.7,0,0,0,2.6,2.6,0.13,-0.6,-0.6,Matches
2200,Federico Ricci,it ITA,FW,Sassuolo,it Serie A,26,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
