,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
1588,Thomas Mangani,fr FRA,MF,Angers,fr Ligue 1,33,1987,29.9,2349,65,481,1499,392,20,2346,16,10,62.5,6,37.5,1316,5574,2296,22,19,1,18,13,1588,36,Matches
1589,Vito Mannone,it ITA,GK,Monaco,fr Ligue 1,32,1988,9.0,303,271,301,2,0,0,303,0,0,,0,,174,684,324,0,0,0,0,0,163,0,Matches
1590,Kostas Manolas,gr GRE,DF,Napoli,it Serie A,29,1991,25.5,1735,201,835,878,26,11,1735,3,2,66.7,1,33.3,1107,4649,2239,4,4,1,1,1,1273,1,Matches
1591,Javier Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26,1994,9.2,489,23,132,217,147,5,489,8,1,12.5,7,87.5,219,1104,554,13,12,0,15,7,256,29,Matches
1592,Juan Manuel Ramos,uy URU,DF,Spezia,it Serie A,23,1996,3.3,197,8,55,77,67,2,197,2,1,50.0,1,50.0,95,581,359,7,9,0,9,2,112,13,Matches
1593,Myziane Maolida,fr FRA,"FW,MF",Nice,fr Ligue 1,21,1999,12.0,485,9,59,194,237,40,485,44,21,47.7,23,52.3,338,2050,990,35,21,16,27,17,377,92,Matches
1594,Faitout Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22,1998,13.0,988,39,261,473,262,11,988,34,19,55.9,15,44.1,527,3156,1783,43,42,1,28,12,643,60,Matches
1595,Sekou Mara,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,18,2002,2.5,94,1,10,47,39,7,94,5,3,60.0,2,40.0,50,278,115,5,1,1,12,1,72,17,Matches
1596,Maranhão,br BRA,FW,Valladolid,es La Liga,23,1996,13.1,357,13,37,141,186,43,357,26,13,50.0,13,50.0,191,1169,574,26,13,11,43,17,269,67,Matches
1597,Fernando Marçal,br BRA,"DF,MF",Wolves,eng Premier League,31,1989,6.9,464,28,147,216,102,2,464,13,7,53.8,6,46.2,216,1057,599,8,5,0,6,2,252,14,Matches
