,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
27,Michele Cerofolini,it ITA,GK,Frosinone,it Serie A,24,1999,7.5,11,0,0,1,1,5.9,0.22,-4.1,-0.55,18,100,18.0,171,28,47.4,37.2,38,50.0,42.8,126,4,3.2,7,0.93,14.3,Matches
28,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21,2001,33.0,32,3,0,2,2,35.7,0.26,+5.7,+0.17,101,344,29.4,1059,121,26.5,29.6,123,51.2,44.5,388,25,6.4,28,0.85,12.7,Matches
29,Oliver Christensen,dk DEN,GK,Fiorentina,it Serie A,24,1999,4.0,9,2,0,0,0,4.7,0.15,-4.3,-1.08,23,61,37.7,170,15,31.8,31.0,20,35.0,33.7,32,1,3.1,9,2.25,19.5,Matches
30,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36,1987,35.0,68,7,1,7,3,51.7,0.28,-13.3,-0.38,172,540,31.9,982,143,42.3,36.9,252,49.6,41.2,545,23,4.2,22,0.63,11.8,Matches
31,Nikita Contini Baranovsky,it ITA,GK,Napoli,it Serie A,27,1996,0.2,0,0,0,0,0,0.0,,0.0,0.00,0,0,,3,1,0.0,17.0,1,0.0,15.0,1,0,0.0,3,15.88,37.0,Matches
32,Benoît Costil,fr FRA,GK,Salernitana,it Serie A,36,1987,13.0,29,3,0,2,1,23.6,0.32,-4.4,-0.34,71,228,31.1,323,45,48.0,37.0,104,70.2,51.1,212,2,0.9,19,1.46,18.2,Matches
33,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,24,1999,2.0,0,0,0,0,0,0.3,0.07,+0.3,+0.13,12,36,33.3,70,10,41.4,37.2,10,70.0,55.4,24,0,0.0,2,0.99,23.0,Matches
34,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,31,1992,3.7,0,0,0,0,0,3.1,0.22,+3.1,+0.85,10,19,52.6,105,25,16.2,26.7,18,11.1,27.8,47,2,4.3,5,1.36,15.3,Matches
35,Alessio Cragno,it ITA,GK,Sassuolo,it Serie A,29,1994,3.0,7,1,1,1,1,5.1,0.30,-0.9,-0.28,17,45,37.8,78,11,50.0,37.8,22,27.3,30.5,37,3,8.1,8,2.67,18.6,Matches
36,Cristian,es ESP,GK,Valencia,es La Liga,25,1998,0.6,1,0,0,1,0,0.5,0.17,-0.5,-0.75,2,5,40.0,15,4,26.7,29.1,3,33.3,32.7,12,0,0.0,0,0.00,8.3,Matches
37,Iván Cuéllar,es ESP,GK,Mallorca,es La Liga,39,1984,1.0,1,0,0,0,0,1.2,0.19,+0.2,+0.17,1,11,9.1,32,8,31.3,33.0,3,33.3,35.7,6,1,16.7,0,0.00,7.0,Matches
38,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,25,1998,31.0,52,7,0,10,2,49.3,0.26,-0.7,-0.02,169,450,37.6,1151,92,30.8,32.4,187,51.3,44.3,484,28,5.8,50,1.61,15.0,Matches
39,Rémy Descamps,fr FRA,GK,Nantes,fr Ligue 1,27,1996,6.0,11,1,0,0,0,12.5,0.35,+1.5,+0.26,51,125,40.8,141,28,51.1,40.3,71,74.6,49.8,116,8,6.9,0,0.00,7.8,Matches
40,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,29,1994,33.0,43,1,0,5,2,47.0,0.30,+6.0,+0.18,155,454,34.1,719,135,46.9,37.1,222,52.7,39.1,470,32,6.8,24,0.73,12.5,Matches
41,Raffaele Di Gennaro,it ITA,GK,Inter,it Serie A,29,1993,0.3,0,0,0,0,0,0.5,0.13,+0.5,+2.08,1,2,50.0,15,3,13.3,25.2,1,0.0,10.0,4,0,0.0,0,0.00,,Matches
42,Michele Di Gregorio,it ITA,GK,Monza,it Serie A,26,1997,31.9,35,3,1,5,0,45.4,0.26,+10.4,+0.33,179,430,41.6,1126,201,27.8,30.6,223,52.5,44.2,469,19,4.1,18,0.56,11.5,Matches
43,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,30,1993,30.0,54,6,0,5,1,57.1,0.28,+4.1,+0.14,206,558,36.9,1065,129,42.8,36.7,176,58.0,44.5,439,39,8.9,46,1.53,14.4,Matches
44,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,22,2001,0.8,1,0,0,0,0,0.8,0.31,-0.2,-0.21,6,16,37.5,19,3,47.4,36.4,7,100.0,63.0,14,1,7.1,0,0.00,3.0,Matches
45,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29,1993,37.0,47,1,1,5,2,46.9,0.31,+1.9,+0.05,168,598,28.1,928,171,47.1,39.4,267,60.3,48.4,529,23,4.3,38,1.03,14.6,Matches
46,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23,1999,34.0,47,6,1,4,1,42.7,0.27,-3.3,-0.10,124,353,35.1,1135,179,25.2,30.1,157,42.7,36.9,522,38,7.3,46,1.35,14.2,Matches
47,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31,1992,13.0,25,2,0,3,1,22.6,0.30,-1.4,-0.11,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4,Matches
48,Jaume Doménech,es ESP,GK,Valencia,es La Liga,32,1990,0.9,3,0,1,2,0,1.7,0.14,-1.3,-1.52,4,20,20.0,24,2,62.5,40.5,7,71.4,51.4,19,1,5.3,1,1.14,11.4,Matches
49,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24,1999,24.1,20,3,0,2,0,30.3,0.25,+10.3,+0.43,36,94,38.3,641,113,11.4,24.2,131,16.0,23.0,294,15,5.1,23,0.95,13.2,Matches
50,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34,1989,22.1,42,4,0,5,0,42.5,0.29,+0.5,+0.02,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1.00,12.9,Matches
51,Ederson,br BRA,GK,Manchester City,eng Premier League,29,1993,30.9,27,3,0,2,1,27.2,0.30,+1.2,+0.04,114,246,46.3,1120,137,18.3,27.2,114,36.0,36.3,247,25,10.1,50,1.62,17.3,Matches
52,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,1.7,3,0,0,0,0,2.5,0.62,-0.5,-0.30,9,26,34.6,73,10,27.4,30.4,12,50.0,41.3,24,1,4.2,4,2.35,18.0,Matches
53,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,38,1985,8.0,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50.0,39.0,56,57.1,45.1,114,8,7.0,1,0.12,7.6,Matches
54,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,28,1995,38.0,54,5,1,7,1,53.2,0.28,+0.2,+0.01,152,489,31.1,893,159,42.6,34.9,248,44.0,35.2,522,20,3.8,20,0.53,11.0,Matches
55,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,32,1991,6.1,9,1,0,2,0,6.1,0.26,-2.9,-0.47,47,113,41.6,174,19,56.3,42.5,22,68.2,49.7,69,1,1.4,15,2.45,24.8,Matches
56,Raúl Fernández,es ESP,GK,Granada,es La Liga,35,1988,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,36,4,11.1,11,3.54,17.3,Matches
57,Fernando,es ESP,GK,Almería,es La Liga,33,1990,4.0,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44.0,72,4,5.6,7,1.75,14.5,Matches
58,André Ferreira,pt POR,GK,Granada,es La Liga,27,1996,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6,Matches
59,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,33,1990,4.0,8,0,0,4,0,7.3,0.28,-0.7,-0.18,27,96,28.1,72,9,68.1,44.9,54,87.0,56.6,77,4,5.2,1,0.25,7.6,Matches
60,Mark Flekken,nl NED,GK,Brentford,eng Premier League,30,1993,36.5,63,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,568,44,7.7,37,1.01,12.6,Matches
61,Wes Foderingham,eng ENG,GK,Sheffield Utd,eng Premier League,32,1991,29.4,79,5,0,8,5,70.5,0.33,-3.5,-0.12,206,619,33.3,782,101,54.6,40.2,262,73.3,52.3,468,28,6.0,42,1.43,14.7,Matches
62,Daniel Fuzato,br BRA,GK,Getafe,es La Liga,26,1997,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50.0,39.2,4,100.0,71.8,5,1,20.0,0,0.00,10.7,Matches
63,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,31,1992,38.0,46,5,0,8,0,51.1,0.28,+5.1,+0.13,155,420,36.9,1140,178,25.6,30.0,246,52.0,44.8,534,41,7.7,33,0.87,13.2,Matches
64,Luca Gemello,it ITA,GK,Torino,it Serie A,23,2000,2.0,5,1,0,0,0,3.6,0.31,-1.4,-0.72,10,29,34.5,104,8,26.9,31.1,12,8.3,19.7,24,3,12.5,3,1.50,12.0,Matches
65,David Gil,es ESP,GK,Cádiz,es La Liga,29,1994,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.40,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0.00,7.0,Matches
66,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,28,1995,7.0,8,0,0,1,0,8.2,0.34,+0.2,+0.02,27,68,39.7,213,28,22.1,29.5,53,39.6,36.3,82,5,6.1,9,1.29,16.2,Matches
67,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,32,1990,1.0,2,1,0,0,0,2.9,0.39,+0.9,+0.92,3,9,33.3,17,0,47.1,33.1,2,50.0,32.5,12,0,0.0,1,1.00,14.5,Matches
68,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,34,1988,2.0,2,0,0,0,0,1.4,0.15,-0.6,-0.31,4,29,13.8,77,15,31.2,34.4,15,33.3,37.9,33,4,12.1,4,2.00,15.7,Matches
69,Ivo Grbić,hr CRO,GK,Sheffield Utd,eng Premier League,27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4,Matches
70,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,26,1997,1.0,0,0,0,0,0,0.7,0.16,+0.7,+0.66,10,18,55.6,23,3,52.2,42.0,9,66.7,54.2,12,0,0.0,1,1.00,23.0,Matches
71,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,36,1987,26.7,39,4,0,5,2,39.7,0.31,+2.7,+0.10,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3,Matches
72,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,33,1990,13.0,9,0,1,1,1,10.3,0.25,+2.3,+0.17,22,79,27.8,373,58,12.9,25.1,97,32.0,32.2,175,7,4.0,14,1.08,14.5,Matches
73,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,26,1997,18.0,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47.0,246,5,2.0,17,0.94,13.8,Matches
74,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,30,1993,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52.0,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4,Matches
75,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,33,1989,33.0,24,0,0,4,0,27.5,0.27,+3.5,+0.11,71,202,35.1,736,165,20.8,27.6,145,33.8,34.5,313,27,8.6,39,1.18,16.5,Matches
76,Sam Johnstone,eng ENG,GK,Crystal Palace,eng Premier League,30,1993,20.0,27,2,0,4,1,20.0,0.27,-6.0,-0.30,117,355,33.0,453,63,55.0,41.2,141,75.2,52.8,339,24,7.1,12,0.60,11.2,Matches
77,Filip Jørgensen,dk DEN,GK,Villarreal,es La Liga,21,2002,36.0,63,6,1,9,1,59.8,0.27,-2.2,-0.06,144,360,40.0,1055,178,24.5,29.7,245,41.6,37.8,650,34,5.2,36,1.00,13.4,Matches
78,Thomas Kaminski,be BEL,GK,Luton Town,eng Premier League,30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52.0,39.5,341,66.0,47.5,558,16,2.9,76,2.01,20.5,Matches
79,Loris Karius,de GER,GK,Newcastle Utd,eng Premier League,30,1993,1.0,4,0,0,1,1,2.0,0.29,-1.0,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10.0,3,3.00,19.5,Matches
80,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,24,1998,10.0,11,0,0,3,1,11.3,0.30,+1.3,+0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.30,17.0,Matches
81,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,25,1997,26.3,34,5,0,9,1,36.8,0.28,+3.8,+0.14,106,268,39.6,1006,106,19.6,28.1,165,43.0,38.5,359,7,1.9,17,0.65,12.5,Matches
82,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,25,1998,22.0,32,5,1,6,1,32.0,0.27,+1.0,+0.05,82,249,32.9,536,91,32.5,32.1,130,57.7,43.5,282,22,7.8,19,0.86,11.3,Matches
83,Tomáš Koubek,cz CZE,GK,Augsburg,de Bundesliga,30,1992,3.0,8,0,0,2,0,6.7,0.29,-1.3,-0.43,16,40,40.0,74,6,36.5,34.5,24,54.2,46.5,36,2,5.6,2,0.67,11.6,Matches
84,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,23,2000,1.0,0,0,0,0,0,0.4,0.15,+0.4,+0.44,0,0,,17,6,0.0,22.1,0,,,3,1,33.3,1,1.00,15.0,Matches
85,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,24,1999,27.7,43,8,0,2,0,42.4,0.31,-0.6,-0.02,123,388,31.7,839,145,34.2,34.0,166,60.8,46.9,385,33,8.6,33,1.19,13.0,Matches
86,Nicola Leali,it ITA,GK,Genoa,it Serie A,30,1993,2.0,2,0,0,0,0,2.8,0.31,+0.8,+0.40,18,48,37.5,62,3,69.4,44.7,10,50.0,40.6,27,2,7.4,1,0.51,15.2,Matches
87,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,37,1985,1.0,2,0,0,0,0,1.0,0.49,-1.0,-1.03,1,10,10.0,22,5,31.8,29.0,4,75.0,60.5,8,0,0.0,0,0.00,9.8,Matches
88,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32,1991,30.0,37,4,2,3,3,36.8,0.24,+2.8,+0.09,150,436,34.4,781,137,44.2,36.6,221,41.2,36.4,471,29,6.2,13,0.43,9.5,Matches
89,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30,1993,33.9,47,2,0,6,0,46.4,0.30,-0.6,-0.02,313,785,39.9,897,115,60.4,44.0,284,85.6,62.1,526,53,10.1,45,1.33,12.9,Matches
90,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38.0,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,472,19,4.0,40,1.05,14.2,Matches
91,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31.0,49,4,1,7,1,43.5,0.25,-4.5,-0.15,132,362,36.5,839,156,34.1,32.4,196,38.8,34.1,438,36,8.2,28,0.90,12.4,Matches
92,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,1994,32.7,39,3,1,7,1,32.6,0.24,-5.4,-0.17,93,325,28.6,1044,113,24.8,29.4,149,44.3,37.3,406,15,3.7,25,0.77,13.9,Matches
93,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21.0,17,1,0,2,0,21.2,0.31,+4.2,+0.20,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.10,12.2,Matches
94,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36,1987,1.0,4,0,0,0,1,2.7,0.68,-0.3,-0.30,20,43,46.5,42,2,85.7,51.3,7,100.0,61.1,13,0,0.0,0,0.00,7.7,Matches
95,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29.0,34,7,2,3,0,29.8,0.19,-4.2,-0.14,119,284,41.9,1070,188,21.1,28.2,147,39.5,38.0,339,37,10.9,36,1.24,15.2,Matches
96,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12.0,10,0,0,0,1,14.7,0.29,+5.7,+0.47,39,121,32.2,296,68,31.1,32.0,80,36.3,33.4,160,13,8.1,7,0.58,11.0,Matches
97,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22,2000,36.5,41,3,0,4,2,49.2,0.31,+10.2,+0.28,185,671,27.6,864,142,57.3,41.4,245,71.8,53.4,530,45,8.5,31,0.85,12.3,Matches
98,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38,1985,34.0,46,3,0,5,3,38.2,0.25,-4.8,-0.14,134,416,32.2,1017,149,29.9,31.5,192,58.3,43.1,451,36,8.0,37,1.09,15.1,Matches
99,Christos Mandas,gr GRE,GK,Lazio,it Serie A,21,2001,8.0,6,0,0,2,0,7.0,0.25,+1.0,+0.12,38,114,33.3,240,29,42.5,37.7,29,41.4,37.9,99,6,6.1,5,0.62,13.1,Matches
100,Vito Mannone,it ITA,GK,Lille,fr Ligue 1,35,1988,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.26,5,16,31.3,37,1,40.5,35.9,1,100.0,61.0,11,2,18.2,4,3.96,15.0,Matches
101,Diego Mariño,es ESP,GK,Almería,es La Liga,33,1990,1.0,2,2,0,0,0,2.1,0.02,+0.1,+0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.00,22.7,Matches
102,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,21,2001,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40.0,37,5,45.9,37.0,8,100.0,63.4,27,1,3.7,4,2.54,20.1,Matches
103,Tommaso Martinelli,it ITA,GK,Fiorentina,it Serie A,17,2006,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
104,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30,1992,33.5,48,1,0,10,4,50.8,0.37,+6.8,+0.20,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,Matches
105,Josep Martinez,es ESP,GK,Genoa,it Serie A,25,1998,36.0,43,3,1,4,1,38.9,0.28,-3.1,-0.09,227,583,38.9,1253,107,37.4,35.9,171,66.7,49.4,580,45,7.8,40,1.11,12.2,Matches
106,Marc Martínez,es ESP,GK,Granada,es La Liga,33,1990,3.0,11,2,0,3,0,12.1,0.46,+1.1,+0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0.0,10,3.33,23.0,Matches
107,Remi Matthews,eng ENG,GK,Crystal Palace,eng Premier League,29,1994,0.0,1,0,0,0,0,0.1,0.15,-0.9,-19.20,0,5,0.0,4,0,100.0,53.8,1,100.0,63.0,1,1,100.0,0,0.00,3.5,Matches
108,Luís Maximiano,pt POR,GK,Almería,es La Liga,24,1999,33.0,63,4,0,7,0,59.7,0.32,-3.3,-0.10,158,543,29.1,995,146,38.4,35.5,264,61.0,46.3,551,25,4.5,38,1.15,14.5,Matches
