,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Matches
207,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23,2000,5.0,187,233,80.3,3306,1112,82,93,88.2,77,91,84.6,22,36,61.1,0,0.2,0.3,-0.2,3,30,5,0,34,Matches
208,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22,2001,1.1,59,74,79.7,791,234,27,32,84.4,21,26,80.8,2,4,50.0,1,0.7,0.6,+0.3,6,2,5,2,9,Matches
209,Mattia Bani,it ITA,DF,Genoa,it Serie A,29,1993,25.6,962,1152,83.5,18643,6794,325,356,91.3,533,586,91.0,95,181,52.5,0,0.1,0.1,-0.1,2,36,1,0,37,Matches
210,Léo Baptistão,br BRA,FW,Almería,es La Liga,30,1992,20.4,366,568,64.4,5127,1333,217,297,73.1,104,157,66.2,23,49,46.9,0,1.8,1.0,-1.8,19,21,8,2,45,Matches
211,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25,1998,2.5,66,90,73.3,1144,351,33,39,84.6,25,28,89.3,7,15,46.7,1,0.2,0.4,+0.8,4,7,3,2,5,Matches
212,Antonín Barák,cz CZE,"MF,FW",Fiorentina,it Serie A,28,1994,9.0,338,392,86.2,5238,1035,191,208,91.8,115,133,86.5,22,25,88.0,3,2.2,1.5,+0.8,14,30,9,3,33,Matches
213,Valentín Barco,ar ARG,"DF,FW",Brighton,eng Premier League,19,2004,3.4,179,233,76.8,2509,864,120,131,91.6,47,64,73.4,7,23,30.4,0,0.2,0.4,-0.2,4,10,3,0,14,Matches
214,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,20,2002,3.0,70,90,77.8,946,275,50,60,83.3,18,21,85.7,2,4,50.0,0,0.3,0.4,-0.3,4,5,3,0,9,Matches
215,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20,2002,15.2,436,562,77.6,6173,1516,281,339,82.9,135,170,79.4,10,23,43.5,7,5.2,4.2,+1.8,29,26,19,1,56,Matches
216,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22,2000,29.5,1457,1784,81.7,23609,6956,719,805,89.3,607,702,86.5,86,192,44.8,2,2.8,2.3,-0.8,18,77,26,14,111,Matches
