,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PK_Attempted,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Matches
33,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
35,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.9,0.9,0.6,1.5,7,35,9,0.00,0.00,0.00,0.00,0.00,0.10,0.07,0.17,0.10,0.17,Matches
36,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23,1999,24,19,"1,614",17.9,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,32,32,90,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0.00,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,Matches
38,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,1993,25,22,"1,922",21.4,1,3,4,1,0,0,3,0,1.4,1.4,2.9,4.3,36,110,162,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.20,0.07,0.20,Matches
39,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0.0,0.5,19,25,20,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,Matches
41,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,1999,31,29,"2,649",29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4.0,15,43,21,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,1996,22,20,"1,692",18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,53,68,38,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06,Matches
44,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,2001,33,29,"2,329",25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22,Matches
45,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,1.8,1.8,0.3,2.1,17,16,52,0.20,0.00,0.20,0.20,0.20,0.18,0.03,0.21,0.18,0.21,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,1998,28,21,"1,832",20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,22,61,31,0.10,0.05,0.15,0.10,0.15,0.06,0.11,0.18,0.06,0.18,Matches
47,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,1994,26,15,"1,360",15.1,2,0,2,2,0,2,4,0,5.3,3.7,1.0,4.7,5,21,88,0.13,0.00,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31,Matches
48,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,1995,30,28,"2,511",27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,46,148,36,0.07,0.00,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches
49,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,1995,29,24,"2,042",22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,24,116,18,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16,Matches
51,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,2004,31,17,"1,511",16.8,2,2,4,2,0,0,4,0,3.2,3.2,2.6,5.7,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34,Matches
52,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,1997,19,19,"1,675",18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0.00,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18,Matches
53,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,1997,13,8,818,9.1,2,0,2,2,0,0,2,0,1.4,1.4,0.4,1.8,20,20,34,0.22,0.00,0.22,0.22,0.22,0.16,0.04,0.20,0.16,0.20,Matches
54,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
55,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,2002,28,18,"1,613",17.9,7,4,11,7,0,0,5,0,5.4,5.4,3.5,8.9,46,93,135,0.39,0.22,0.61,0.39,0.61,0.30,0.19,0.49,0.30,0.49,Matches
56,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
57,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,13,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
58,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.6,11,10,12,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
59,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
60,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,1995,17,11,"1,097",12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,10,55,9,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05,Matches
61,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,1992,14,14,"1,154",12.8,0,1,1,0,0,0,2,0,1.0,1.0,0.7,1.6,9,51,13,0.00,0.08,0.08,0.00,0.08,0.08,0.05,0.13,0.08,0.13,Matches
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,1992,33,29,"2,311",25.7,5,7,12,5,0,0,7,0,4.7,4.7,4.7,9.4,83,212,124,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37,Matches
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,1985,26,24,"2,031",22.6,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.3,8,62,0,0.00,0.04,0.04,0.00,0.04,0.02,0.04,0.06,0.02,0.06,Matches
64,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
65,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,6,27,9,0.00,0.24,0.24,0.00,0.24,0.09,0.03,0.12,0.09,0.12,Matches
66,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,1991,36,36,"3,134",34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09,Matches
67,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,1996,31,24,"2,195",24.4,0,1,1,0,0,0,8,1,1.2,1.2,1.0,2.2,23,98,9,0.00,0.04,0.04,0.00,0.04,0.05,0.04,0.09,0.05,0.09,Matches
68,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,1995,30,21,"1,692",18.8,0,2,2,0,0,0,17,0,0.5,0.5,1.3,1.8,48,31,104,0.00,0.11,0.11,0.00,0.11,0.03,0.07,0.10,0.03,0.10,Matches
69,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,1998,29,10,"1,020",11.3,1,1,2,1,0,0,6,0,1.2,1.2,1.6,2.8,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25,Matches
70,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,1998,28,25,"2,155",23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,0.13,0.17,0.29,0.13,0.29,0.11,0.30,0.41,0.10,0.40,Matches
71,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,12,0.00,0.69,0.69,0.00,0.69,0.17,0.05,0.22,0.17,0.22,Matches
72,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18,Matches
73,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,2004,17,11,861,9.6,1,2,3,1,0,0,2,0,1.1,1.1,2.0,3.1,48,25,77,0.10,0.21,0.31,0.10,0.31,0.12,0.21,0.32,0.12,0.32,Matches
74,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,2001,26,14,"1,282",14.2,4,0,4,4,0,0,4,0,3.0,3.0,0.6,3.6,51,33,95,0.28,0.00,0.28,0.28,0.28,0.21,0.04,0.26,0.21,0.26,Matches
75,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,1999,18,12,"1,009",11.2,4,1,5,4,0,0,1,0,2.4,2.4,2.2,4.6,22,43,72,0.36,0.09,0.45,0.36,0.45,0.21,0.19,0.41,0.21,0.41,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28,28,"2,520",28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,9,7,25,0.27,0.00,0.27,0.27,0.27,0.33,0.10,0.43,0.33,0.43,Matches
78,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,1995,29,22,"1,861",20.7,2,1,3,2,0,0,1,0,2.6,2.6,1.2,3.8,87,52,120,0.10,0.05,0.15,0.10,0.15,0.12,0.06,0.18,0.12,0.18,Matches
79,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.6,0.6,1.2,1.8,24,50,33,0.19,0.09,0.28,0.19,0.28,0.05,0.11,0.17,0.05,0.17,Matches
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,1994,33,23,"1,937",21.5,3,1,4,3,0,0,2,0,4.5,4.5,2.6,7.2,78,78,162,0.14,0.05,0.19,0.14,0.19,0.21,0.12,0.33,0.21,0.33,Matches
81,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,1999,30,25,"2,107",23.4,2,1,3,2,0,0,5,0,2.3,2.3,2.7,5.0,72,32,137,0.09,0.04,0.13,0.09,0.13,0.10,0.12,0.22,0.10,0.22,Matches
82,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.21,0.03,0.21,Matches
83,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10,29,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
84,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,2001,14,6,568,6.3,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,10,31,8,0.16,0.00,0.16,0.16,0.16,0.03,0.04,0.07,0.03,0.07,Matches
85,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,1997,31,28,"2,377",26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,20,91,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07,Matches
86,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,2000,34,29,"2,537",28.2,2,0,2,2,0,0,7,0,0.7,0.7,0.6,1.4,11,63,40,0.07,0.00,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05,Matches
87,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,1.0,1.0,1.5,2.6,36,34,80,0.12,0.12,0.24,0.12,0.24,0.12,0.18,0.30,0.12,0.30,Matches
88,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,2000,36,31,"2,647",29.4,11,8,19,9,2,2,2,0,13.0,11.5,6.4,17.9,64,103,180,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61,Matches
89,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,1995,19,14,"1,152",12.8,0,0,0,0,0,0,1,1,0.3,0.3,0.1,0.4,13,55,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
90,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,3,27,13,0.21,0.00,0.21,0.21,0.21,0.09,0.00,0.09,0.09,0.09,Matches
91,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,1,9,6,0.73,0.00,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27,Matches
92,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,2004,16,9,889,9.9,2,1,3,2,0,0,1,0,2.6,2.6,0.9,3.5,25,30,65,0.20,0.10,0.30,0.20,0.30,0.26,0.09,0.35,0.26,0.35,Matches
93,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,1996,20,7,604,6.7,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8,7,21,36,0.00,0.15,0.15,0.00,0.15,0.06,0.05,0.11,0.06,0.11,Matches
94,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0.00,0.00,0.00,0.00,0.00,0.35,0.09,0.44,0.35,0.44,Matches
95,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
96,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,1994,2,1,91,1.0,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,0,2,1,0.99,0.00,0.99,0.99,0.99,0.10,0.00,0.10,0.10,0.10,Matches
97,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,2000,34,27,"1,953",21.7,5,1,6,4,1,1,2,0,5.8,5.0,1.4,6.5,63,49,93,0.23,0.05,0.28,0.18,0.23,0.27,0.07,0.33,0.23,0.30,Matches
98,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,1998,12,11,798,8.9,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.6,12,28,21,0.00,0.11,0.11,0.00,0.11,0.01,0.07,0.07,0.01,0.07,Matches
99,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,2,17,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches
100,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.8,0.8,1.2,2.0,6,35,52,0.27,0.18,0.45,0.27,0.45,0.07,0.11,0.18,0.07,0.18,Matches
101,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,1996,15,15,"1,315",14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.30,0.45,0.10,0.39,Matches
