,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Tocuhes_Live_Balls,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Carries,Total_Distance,Progressive_Distance_Carried,Progressive_Carries,1/3_Carries,Carries_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Progressive_Passes_Received,Matches
76,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37.0,1536,1124,1498,39,0,0,1536,2,2,100.0,0,0.0,985,4654,2962,0,0,0,1,0,901,0,Matches
77,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,27,1995,24.9,1134,39,257,502,396,65,1134,88,34,38.6,45,51.1,851,6113,2685,82,62,14,46,40,746,141,Matches
78,Dele Alli,eng ENG,MF,Everton,eng Premier League,26,1996,0.4,20,0,1,8,11,2,20,1,0,0.0,1,100.0,11,30,3,0,0,0,3,1,14,1,Matches
79,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22,2000,28.2,1685,33,244,820,651,24,1685,90,46,51.1,31,34.4,1049,6244,3196,74,71,3,42,49,1114,71,Matches
80,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,28,1994,27.7,1300,25,147,417,760,138,1300,79,34,43.0,33,41.8,841,5389,2341,77,46,25,51,28,924,264,Matches
81,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,31,1990,13.0,1114,98,402,624,94,11,1114,2,2,100.0,0,0.0,727,4516,2674,26,11,0,8,1,816,12,Matches
82,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33,1989,15.1,879,54,255,457,178,13,879,19,10,52.6,8,42.1,473,2988,1528,30,25,0,15,14,403,34,Matches
83,Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,de Bundesliga,29,1993,2.6,114,4,38,60,17,2,114,4,3,75.0,1,25.0,55,234,130,3,1,0,1,2,53,0,Matches
84,Carlos Álvarez,es ESP,MF,Sevilla,es La Liga,18,2003,0.1,6,0,0,3,3,0,6,0,0,,0,,2,18,1,0,0,0,1,0,5,1,Matches
85,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22,2000,16.7,732,42,218,376,144,8,732,19,8,42.1,9,47.4,254,933,437,11,8,0,13,3,318,27,Matches
86,Julián Álvarez,ar ARG,"FW,MF",Manchester City,eng Premier League,22,2000,16.3,654,8,46,255,360,89,653,38,21,55.3,14,36.8,406,2187,908,38,18,17,28,24,506,99,Matches
87,Agustín Álvarez Martínez,uy URU,"FW,MF",Sassuolo,it Serie A,21,2001,4.1,155,4,12,76,71,16,155,17,7,41.2,8,47.1,80,294,95,2,1,2,16,12,96,19,Matches
88,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,27,1995,25.9,1651,161,698,896,74,16,1651,11,6,54.5,1,9.1,898,6084,4073,32,17,1,8,1,915,8,Matches
89,Ibrahim Amadou,fr FRA,"DF,MF",Angers,fr Ligue 1,29,1993,4.7,244,54,147,89,9,2,244,2,1,50.0,1,50.0,167,851,394,0,3,0,2,3,143,5,Matches
90,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,25,1996,3.0,138,2,21,77,44,11,138,25,11,44.0,12,48.0,80,507,254,11,7,3,6,10,84,9,Matches
91,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27,1994,17.9,1279,185,658,578,46,9,1279,5,2,40.0,2,40.0,779,3720,2275,23,11,0,8,4,909,5,Matches
92,Amath,sn SEN,"MF,FW",Mallorca,es La Liga,26,1996,13.6,464,12,70,171,229,40,464,34,14,41.2,15,44.1,261,1666,840,33,23,12,41,22,283,69,Matches
93,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,28,1994,2.2,119,8,33,65,23,1,119,1,0,0.0,1,100.0,42,255,121,4,5,1,2,0,44,5,Matches
94,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18,2004,0.2,9,1,3,5,1,0,9,1,0,0.0,1,100.0,4,28,7,0,0,0,0,0,4,0,Matches
95,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24,1998,26.4,1395,110,506,512,383,47,1395,30,16,53.3,11,36.7,623,3822,2090,53,31,3,25,18,720,72,Matches
96,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,20,2002,0.6,20,9,17,4,0,0,20,0,0,,0,,7,22,8,0,0,0,0,0,4,0,Matches
97,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,20,2002,23.2,1263,139,715,479,83,24,1263,10,2,20.0,6,60.0,663,2805,1165,11,16,0,20,1,691,9,Matches
98,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25,1996,10.9,624,16,119,339,174,15,623,38,18,47.4,14,36.8,352,2134,1069,30,26,7,14,10,430,30,Matches
99,Samuel Amo-Ameyaw,eng ENG,MF,Southampton,eng Premier League,16,2006,0.0,8,0,1,5,3,0,8,4,3,75.0,1,25.0,4,70,64,2,0,0,0,0,5,0,Matches
100,Ethan Ampadu,wls WAL,"DF,MF",Spezia,it Serie A,21,2000,29.3,1889,229,930,841,140,19,1889,12,9,75.0,1,8.3,1007,5907,3014,28,21,0,18,7,1090,10,Matches
101,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25,1996,22.2,1641,45,298,1106,256,6,1641,17,12,70.6,4,23.5,1054,6108,2876,36,28,1,20,16,1196,24,Matches
102,Ayoub Amraoui,ma MAR,"DF,FW",Nice,fr Ligue 1,18,2004,3.3,210,10,69,93,50,1,210,4,2,50.0,1,25.0,165,761,396,6,5,0,3,1,156,18,Matches
103,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,30.9,2303,355,1232,996,89,39,2303,9,5,55.6,4,44.4,1318,6889,3787,16,8,2,8,3,1498,7,Matches
104,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,19,2002,4.6,286,7,44,99,151,39,286,29,10,34.5,13,44.8,160,970,522,23,15,12,9,10,182,35,Matches
105,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29,1993,32.9,1832,32,236,830,790,129,1832,105,54,51.4,42,40.0,967,5271,2369,83,62,31,85,44,1367,224,Matches
106,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,31,1990,32.4,2743,120,626,1774,363,35,2743,36,19,52.8,14,38.9,2057,10561,4605,41,47,0,38,34,1892,46,Matches
107,Marcos André,br BRA,"FW,MF",Valencia,es La Liga,25,1996,5.0,125,1,8,50,69,23,125,17,9,52.9,4,23.5,78,353,124,2,3,0,21,5,94,20,Matches
108,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27,1995,16.1,597,14,44,346,210,52,595,15,6,40.0,7,46.7,431,2150,477,8,13,4,47,31,480,88,Matches
109,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,27,1994,26.7,1724,113,540,1021,171,19,1724,7,5,71.4,1,14.3,743,3500,1660,12,18,1,20,4,1073,8,Matches
110,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25,1997,29.1,1798,78,506,771,533,32,1798,28,13,46.4,11,39.3,818,3134,1459,24,26,4,27,15,966,120,Matches
111,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28,1994,6.5,324,17,88,157,80,3,324,11,4,36.4,6,54.5,123,554,220,4,7,0,4,4,145,14,Matches
112,Jaidon Anthony,eng ENG,"MF,FW",Bournemouth,eng Premier League,22,1999,14.0,717,23,150,271,304,33,717,47,15,31.9,30,63.8,423,2449,1032,31,25,13,25,27,464,72,Matches
113,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,19,2002,0.6,23,0,7,9,7,1,23,1,0,0.0,1,100.0,14,49,9,0,0,0,1,0,16,2,Matches
114,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26,1996,32.6,2435,244,1128,1083,249,36,2435,38,19,50.0,18,47.4,1383,8281,4557,56,34,4,24,17,1531,52,Matches
115,Josep Antoni Gayá,es ESP,"DF,MF",Mallorca,es La Liga,22,2000,1.1,19,10,15,3,1,0,19,0,0,,0,,6,32,2,0,0,0,1,1,4,0,Matches
116,José Antonio,es ESP,"MF,DF",Cádiz,es La Liga,18,2004,0.5,15,0,2,4,9,0,15,4,1,25.0,1,25.0,13,45,36,2,2,0,2,1,11,2,Matches
117,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22,2000,6.6,493,29,117,331,49,1,493,5,4,80.0,0,0.0,296,1197,339,1,9,1,6,4,370,8,Matches
118,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32,1990,20.3,596,15,39,262,308,80,596,66,27,40.9,29,43.9,375,2585,1237,49,26,18,76,45,476,120,Matches
119,Antony,br BRA,FW,Manchester Utd,eng Premier League,22,2000,20.0,1066,12,134,348,609,85,1066,77,30,39.0,38,49.4,763,4783,2569,95,60,32,37,12,813,168,Matches
120,Valentin Antov,bg BUL,DF,Monza,it Serie A,21,2000,3.4,267,34,127,121,19,0,267,1,1,100.0,0,0.0,138,600,313,2,2,0,3,2,174,3,Matches
121,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,28,1994,22.0,996,7,102,304,605,63,996,80,31,38.8,39,48.8,525,3766,1485,67,49,20,89,32,560,231,Matches
122,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,27,1995,2.3,70,8,20,30,20,8,70,4,2,50.0,0,0.0,37,261,127,6,2,3,7,4,41,4,Matches
123,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,24,1998,5.8,461,6,51,279,134,28,461,23,10,43.5,11,47.8,365,1848,739,12,19,4,8,13,349,36,Matches
124,Adil Aouchiche,fr FRA,MF,Lorient,fr Ligue 1,20,2002,2.8,192,7,30,104,61,8,192,7,2,28.6,3,42.9,149,996,559,16,10,1,6,8,137,20,Matches
125,Dennis Appiah,fr FRA,"DF,MF",Nantes,fr Ligue 1,30,1992,8.8,554,37,158,292,113,4,554,18,6,33.3,10,55.6,372,2193,1173,15,13,0,12,10,339,51,Matches
126,Stredair Appuah,fr FRA,"DF,MF",Nantes,fr Ligue 1,18,2004,0.7,43,0,4,21,20,2,43,5,4,80.0,1,20.0,27,361,197,7,6,2,4,2,26,10,Matches
127,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,26,1995,11.0,514,30,118,304,102,3,514,4,4,100.0,0,0.0,234,1162,503,8,10,0,13,4,248,7,Matches
128,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33,1989,5.5,368,9,84,225,61,8,368,7,4,57.1,1,14.3,172,681,278,3,3,0,8,2,244,7,Matches
129,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,23,1999,20.0,1437,109,487,882,77,29,1437,14,10,71.4,3,21.4,957,5938,3727,29,13,1,9,6,1022,11,Matches
130,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,21,2001,0.5,15,0,1,8,7,3,15,1,1,100.0,0,0.0,15,114,72,3,1,1,2,3,13,3,Matches
131,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,18,2003,1.4,35,1,4,10,22,5,35,5,3,60.0,2,40.0,22,171,32,1,1,2,4,2,23,8,Matches
132,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,3.4,98,91,98,0,0,0,98,0,0,,0,,53,253,153,0,0,0,0,0,42,0,Matches
133,Adu Ares,es ESP,"FW,MF",Athletic Club,es La Liga,20,2001,0.9,69,2,5,18,46,3,69,9,5,55.6,2,22.2,51,410,246,8,4,1,1,3,49,19,Matches
134,Joe Aribo,ng NGA,"MF,FW",Southampton,eng Premier League,26,1996,13.6,566,14,87,269,222,46,566,39,17,43.6,21,53.8,294,1294,615,19,10,7,35,22,354,64,Matches
135,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,25,1997,14.8,458,11,71,176,222,46,458,43,13,30.2,25,58.1,255,2338,996,39,29,11,24,22,273,70,Matches
136,Stuart Armstrong,sct SCO,"MF,FW",Southampton,eng Premier League,30,1992,15.6,864,21,133,403,341,37,864,52,22,42.3,21,40.4,539,3859,1910,61,45,10,28,28,596,88,Matches
137,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33,1989,17.0,618,14,44,325,255,57,615,27,13,48.1,11,40.7,361,1616,524,13,12,6,42,19,496,116,Matches
138,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28,1994,30.7,1927,113,470,1108,364,11,1922,17,8,47.1,5,29.4,974,4616,2330,29,25,1,18,22,1064,19,Matches
