,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked,Matches
806,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,29,1993,12.3,540,518,19,9,4,2,26,6,4,0,4,0,421,3,10,Matches
807,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,30,1991,36.0,3223,3064,156,111,4,21,2,10,0,0,0,0,2911,3,13,Matches
808,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,29,1993,38.0,1271,918,352,88,0,2,0,0,0,0,0,0,994,1,1,Matches
809,Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,18,2003,1.5,29,26,3,0,0,0,2,1,0,0,0,0,16,0,1,Matches
810,Pablo Durán,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2001,0.4,21,21,0,0,0,0,1,0,0,0,0,0,14,0,0,Matches
811,Julien Duranville,be BEL,MF,Dortmund,de Bundesliga,16,2006,0.3,17,16,1,0,0,0,7,1,0,0,0,0,11,0,1,Matches
812,Hugo Duro,es ESP,FW,Valencia,es La Liga,22,1999,15.4,277,248,27,2,0,3,2,1,0,0,0,0,203,2,9,Matches
813,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25,1997,27.9,1480,1188,285,16,0,9,85,269,0,0,0,0,1059,7,39,Matches
814,Paulo Dybala,ar ARG,"MF,FW",Roma,it Serie A,28,1993,19.3,833,734,97,23,5,28,82,10,54,14,37,0,650,2,28,Matches
815,Edin Džeko,ba BIH,FW,Inter,it Serie A,36,1986,19.2,528,505,20,1,6,8,24,1,0,0,0,0,364,3,16,Matches
816,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,eng Premier League,18,2003,0.4,10,10,0,0,0,0,3,0,0,0,0,0,5,0,2,Matches
817,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,19,2002,4.6,151,137,14,1,1,0,16,13,0,0,0,0,101,0,6,Matches
818,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,23,1999,10.3,557,479,77,17,0,11,15,59,1,0,0,0,453,1,3,Matches
819,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,26,1995,21.4,881,684,192,7,0,0,28,185,0,0,0,0,688,5,28,Matches
820,Ederson,br BRA,GK,Manchester City,eng Premier League,28,1993,35.0,1257,1049,207,55,1,8,0,0,0,0,0,0,1079,1,1,Matches
821,Éderson,br BRA,MF,Atalanta,it Serie A,23,1999,24.6,1091,1061,28,19,1,20,15,2,4,2,0,0,884,2,28,Matches
822,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,24,1998,20.0,412,390,20,0,1,0,4,0,0,0,0,0,295,2,12,Matches
823,Samuel Edozie,eng ENG,"FW,MF",Southampton,eng Premier League,19,2003,6.3,164,163,0,0,1,0,11,0,0,0,0,0,111,1,12,Matches
824,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,25,1996,27.2,864,852,9,9,2,2,12,0,0,0,0,0,660,3,31,Matches
825,Lilian Egloff,de GER,"MF,FW",Stuttgart,de Bundesliga,19,2002,2.7,73,66,4,0,2,0,2,1,0,0,0,0,42,3,2,Matches
826,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,30,1992,10.7,543,524,15,11,5,5,3,1,2,0,0,0,458,4,7,Matches
827,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27,1995,17.1,565,493,72,1,0,2,37,70,1,0,0,0,412,0,30,Matches
828,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27,1995,0.7,24,18,6,1,0,0,0,5,0,0,0,0,15,0,1,Matches
829,Julian Eitschberger,de GER,FW,Hertha BSC,de Bundesliga,18,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
830,Chidera Ejuke,ng NGA,"FW,MF",Hertha BSC,de Bundesliga,24,1998,9.9,292,282,8,1,3,2,16,4,3,1,1,0,227,2,6,Matches
831,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33,1989,19.3,782,756,24,20,1,4,4,2,0,0,0,0,606,2,14,Matches
832,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20,2002,12.8,331,310,20,1,3,1,2,0,0,0,0,0,271,1,6,Matches
833,Emmanuel Ekong,se SWE,"FW,MF",Empoli,it Serie A,20,2002,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
834,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20,2002,4.7,130,127,3,0,0,1,7,2,0,0,0,0,95,0,2,Matches
835,Alberth Elis,hn HON,"MF,FW",Brest,fr Ligue 1,26,1996,2.9,44,43,1,0,1,0,2,0,0,0,0,0,33,0,2,Matches
836,Mikael Ellertsson,is ISL,"MF,DF",Spezia,it Serie A,20,2002,1.9,40,39,1,0,0,0,3,0,1,1,0,0,24,0,1,Matches
837,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,19,2003,17.9,1009,962,39,0,8,4,34,10,2,1,0,0,809,8,24,Matches
838,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,22,1999,18.1,1012,968,40,10,3,3,30,11,16,3,9,0,879,4,11,Matches
839,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30,1992,1.3,60,58,2,2,0,0,0,0,0,0,0,0,57,0,1,Matches
840,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28,1994,16.1,809,680,125,14,0,1,9,111,0,0,0,0,653,4,9,Matches
841,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,25,1996,31.4,2149,2072,74,55,2,3,0,1,0,0,0,0,1967,3,13,Matches
842,Rodrigo Ely,br BRA,DF,Almería,es La Liga,28,1993,35.1,1475,1393,78,75,2,16,3,2,0,0,0,0,1197,4,6,Matches
843,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,eng Premier League,27,1994,24.1,633,610,21,2,7,1,34,16,1,1,0,0,426,2,22,Matches
