,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net
1016,1182,Ivan Ilić,rs SRB,MF,Hellas Verona,it Serie A,19,2001,29,19,1835,20.4,0.1,0.1,0.1,0.1,0.08,0.13,0.08,0.13,40.0,30.0,75.0,10.0,25.0,65.05,1.81,10.59,42.79,12.5,0.64,65.05,1.96,1.47,0.49,36.62,203.53,108.58,1.86,1.42,0.05,1.27,0.64,42.99,1.52,2.32,0.05,959.0,1150.0,83.4,16820.0,4490.0,410.0,462.0,88.7,451.0,499.0,90.4,80.0,137.0,58.4,0.0,0.04,0.04,-0.04,0.83,5.29,0.69,0.1,6.57,0.59,0.15,0.17,0.67,0.14,0.4,0.4
1017,1183,Josip Iličić,si SVN,"MF,FW",Atalanta,it Serie A,32,1988,28,17,1526,17.0,0.35,0.88,0.24,0.77,0.29,0.89,0.2,0.8,100.0,57.0,57.0,42.0,42.0,74.65,0.06,3.29,27.71,44.12,5.82,74.53,5.88,3.35,2.47,54.82,326.71,150.06,5.18,4.41,2.18,4.35,2.65,63.29,11.41,6.5,1.06,729.0,1009.0,72.2,12576.0,4094.0,362.0,434.0,83.4,247.0,324.0,76.2,92.0,170.0,54.1,0.53,0.6,0.41,-0.07,3.59,4.88,4.12,0.71,8.47,3.36,1.0,0.07,0.24,0.06,1.1,0.7
1018,1184,Asier Illarramendi,es ESP,MF,Real Sociedad,es La Liga,30,1990,6,6,337,3.7,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,81.35,1.62,16.49,56.22,8.92,0.27,81.35,0.0,0.0,0.0,46.76,260.0,159.46,1.35,0.54,0.0,0.0,0.0,58.92,0.81,1.87,0.27,253.0,279.0,90.7,4328.0,1430.0,119.0,123.0,96.7,105.0,113.0,92.9,23.0,34.0,67.6,0.0,0.0,0.03,0.0,0.27,7.84,0.81,0.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019,1185,Stefan Ilsanker,at AUT,"MF,DF",Eint Frankfurt,de Bundesliga,31,1989,27,17,1578,17.5,0.06,0.06,0.06,0.06,0.07,0.09,0.07,0.09,12.0,9.0,75.0,3.0,25.0,61.43,6.74,23.54,33.2,5.26,0.69,61.43,0.69,0.51,0.17,28.0,133.14,66.46,0.8,0.57,0.06,0.74,0.23,33.94,0.74,1.14,0.06,692.0,879.0,78.7,12216.0,4490.0,298.0,341.0,87.4,321.0,388.0,82.7,62.0,115.0,53.9,0.0,0.01,0.03,-0.01,0.29,4.0,0.29,0.06,4.4,0.74,0.23,0.08,0.25,0.1,-0.3,-0.3
1020,1186,Ciro Immobile,it ITA,FW,Lazio,it Serie A,30,1990,35,34,2849,31.7,0.63,0.82,0.51,0.69,0.63,0.82,0.43,0.62,47.0,27.0,57.4,20.0,42.6,38.42,0.32,2.97,13.97,21.83,6.53,38.17,1.48,0.85,0.63,22.08,116.31,57.26,2.33,1.36,1.2,2.24,1.07,30.54,7.89,3.73,0.47,651.0,897.0,72.6,8700.0,1781.0,393.0,488.0,80.5,155.0,214.0,72.4,41.0,65.0,63.1,0.19,0.2,0.12,-0.01,1.67,1.14,1.01,0.03,2.65,3.54,1.39,0.14,0.36,0.12,0.2,2.4
1021,1187,Riccardo Improta,it ITA,"DF,MF",Benevento,it Serie A,26,1993,34,23,2335,25.9,0.04,0.04,0.04,0.04,0.08,0.17,0.08,0.17,38.0,24.0,63.2,14.0,36.8,46.53,2.7,11.47,19.27,16.33,2.05,46.53,1.47,0.93,0.54,25.68,155.21,84.94,2.24,1.93,0.39,1.35,0.73,30.42,5.37,2.31,0.15,658.0,936.0,70.3,10025.0,4208.0,362.0,428.0,84.6,213.0,291.0,73.2,51.0,116.0,44.0,0.0,0.09,0.1,-0.09,0.81,2.55,1.27,0.69,3.13,1.35,0.23,0.03,0.17,0.06,-1.0,-1.0
1022,1188,Roberto Inglese,it ITA,FW,Parma,it Serie A,28,1991,14,6,576,6.4,0.0,0.31,0.0,0.31,0.13,0.37,0.13,0.37,15.0,8.0,53.3,7.0,46.7,30.78,0.62,2.97,17.34,11.09,2.03,30.78,2.34,1.25,1.09,17.34,70.47,12.97,0.16,0.31,0.31,6.09,1.88,22.5,4.84,1.25,0.31,74.0,116.0,63.8,1023.0,170.0,45.0,61.0,73.8,21.0,34.0,61.8,2.0,4.0,50.0,0.31,0.25,0.09,0.06,0.62,0.78,0.31,0.0,1.41,1.25,0.78,0.0,0.0,0.1,-0.8,-0.8
1023,1189,Danny Ings,eng ENG,FW,Southampton,eng Premier League,28,1992,29,26,2173,24.1,0.5,0.66,0.41,0.58,0.35,0.44,0.29,0.38,59.0,30.0,50.8,29.0,49.2,33.9,1.12,3.24,14.65,16.22,4.81,33.82,2.45,1.24,1.2,19.05,88.76,34.32,1.54,1.04,0.54,2.74,0.75,23.82,5.56,2.44,0.33,337.0,527.0,63.9,4427.0,1222.0,195.0,256.0,76.2,88.0,140.0,62.9,17.0,40.0,42.5,0.17,0.09,0.05,0.08,0.91,1.2,0.62,0.08,2.16,2.28,0.99,0.18,0.42,0.13,3.5,3.1
1024,1190,Marcus Ingvartsen,dk DEN,"MF,FW",Union Berlin,de Bundesliga,24,1996,30,24,1963,21.8,0.14,0.37,0.14,0.37,0.18,0.28,0.15,0.24,40.0,16.0,40.0,24.0,60.0,41.97,0.92,7.06,21.47,14.04,1.83,41.93,1.83,0.73,1.1,22.34,102.71,41.97,1.33,0.92,0.14,3.26,1.61,28.26,4.91,2.71,0.5,462.0,666.0,69.4,6923.0,2033.0,256.0,321.0,79.8,148.0,199.0,74.4,31.0,68.0,45.6,0.23,0.1,0.12,0.13,1.01,2.02,0.5,0.14,2.43,1.7,0.6,0.08,0.23,0.09,-1.0,-0.2
1025,1191,Lorenzo Insigne,it ITA,FW,Napoli,it Serie A,29,1991,35,33,2865,31.8,0.6,0.85,0.38,0.63,0.49,0.76,0.29,0.56,105.0,65.0,61.9,40.0,38.1,71.7,0.69,7.86,32.33,32.7,4.5,71.45,3.3,2.04,1.26,46.19,292.55,151.76,4.34,2.99,1.7,1.98,1.07,53.77,8.49,5.16,0.53,1486.0,1872.0,79.4,24219.0,6030.0,824.0,906.0,90.9,437.0,555.0,78.7,161.0,265.0,60.8,0.25,0.27,0.24,-0.02,1.98,3.62,2.64,0.35,6.04,4.27,1.26,0.09,0.3,0.07,3.4,2.7
