,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Seasons at top 5,Seasons in PL,Seasons in Liga,Seasons in Serie A,Seasons in Ligue 1,Seasons in Bundesliga
877,1050,Joan Gonzàlez,es ESP,MF,Lecce,it Serie A,20,2002,35,26,2197,24.4,0.04,0.16,0.04,0.16,0.06,0.11,0.06,0.11,49.0,18.0,36.7,25.0,51.0,44.26,1.8,9.26,23.36,12.25,1.52,44.26,2.01,0.74,1.02,21.97,105.04,43.16,0.74,0.78,0.25,2.05,1.02,25.66,2.75,1.64,0.12,1.27,0.0,0.04,0.12,0.16,0.04,0.08,0.0,0.0,0.0,0.0,0.04,598.0,782.0,76.5,9263.0,2561.0,311.0,380.0,81.8,218.0,255.0,85.5,42.0,83.0,50.6,0.12,0.05,0.07,0.07,0.61,2.95,0.37,0.12,2.91,32.05,30.04,1.84,0.29,0.12,0.37,1.07,0.53,0.04,0.0,0.0,0.0,24.51,0.16,0.66,0.7,0.16,0.06,0.25,0.09,-0.5,-0.5,32.3,0.33,0.0,0.0,1.48,1.84,0.08,0.66,1.15,0.0,0.0,5.53,1.31,2.75,1,0,0,1,0,0
880,1053,Oumar Gonzalez,cm CMR,DF,Ajaccio,fr Ligue 1,24,1998,30,29,2578,28.6,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,15.0,6.0,40.0,5.0,33.3,48.29,5.52,23.85,22.9,1.89,0.91,48.29,0.52,0.21,0.17,31.4,190.63,94.65,0.42,0.21,0.03,0.7,0.35,26.4,0.17,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0,1102.0,81.6,17387.0,4963.0,271.0,332.0,81.6,513.0,565.0,90.8,94.0,172.0,54.7,0.0,0.0,0.01,0.0,0.03,1.01,0.03,0.0,1.89,38.53,36.99,1.5,1.43,0.03,0.03,0.1,0.07,0.0,0.0,0.0,0.0,31.43,0.03,0.17,0.38,0.1,0.0,0.0,0.09,-1.0,-1.0,57.8,0.35,0.0,0.0,1.57,1.54,0.1,1.82,0.98,0.0,0.1,5.49,2.2,1.61,1,0,0,0,1,0
886,1061,Mario Götze,de GER,MF,Eint Frankfurt,de Bundesliga,30,1992,32,32,2740,30.4,0.1,0.13,0.1,0.13,0.11,0.28,0.11,0.28,75.0,25.0,33.3,45.0,60.0,59.87,0.62,7.04,30.26,23.16,2.57,59.87,2.47,0.82,1.48,34.31,143.68,65.36,1.88,1.61,0.49,1.84,1.51,43.59,6.97,3.32,0.46,2.6,0.43,0.07,0.16,0.03,0.03,0.39,0.0,0.0,0.07,0.0,0.0,1130.0,1527.0,74.0,16936.0,4802.0,621.0,724.0,85.8,376.0,496.0,75.8,72.0,161.0,44.7,0.03,0.17,0.22,-0.14,1.38,2.96,1.45,0.33,4.9,50.23,45.95,3.91,0.92,0.39,0.3,3.36,0.46,1.25,0.49,0.43,0.03,37.17,0.36,1.58,0.85,0.23,0.12,0.43,0.12,-0.2,-0.2,9.5,0.2,0.0,0.0,0.82,1.45,0.1,0.43,0.82,0.0,0.0,5.49,0.07,0.62,1,0,0,0,0,1
904,1086,Ilia Gruev,bg BUL,MF,Werder Bremen,de Bundesliga,22,2000,31,18,1584,17.6,0.0,0.0,0.0,0.0,0.02,0.07,0.02,0.07,10.0,5.0,50.0,4.0,40.0,54.32,2.27,14.03,35.0,6.02,0.34,54.32,0.57,0.28,0.23,27.73,136.25,66.93,1.48,0.97,0.0,1.02,0.68,31.19,0.68,1.36,0.17,1.08,0.23,0.0,0.0,0.06,0.0,0.17,0.0,0.0,0.0,0.0,0.0,673.0,780.0,86.3,11340.0,3111.0,305.0,338.0,90.2,300.0,328.0,91.5,54.0,81.0,66.7,0.0,0.05,0.06,-0.05,0.45,3.01,0.51,0.11,3.47,44.32,41.25,3.01,1.48,0.17,0.17,0.62,0.17,0.11,0.0,0.11,0.0,38.24,0.06,0.62,0.34,0.06,0.0,0.0,0.06,-0.3,-0.3,43.2,0.11,0.0,0.0,1.53,0.68,0.0,1.25,1.53,0.0,0.0,6.65,0.91,1.19,1,0,0,0,0,1
916,1101,Evann Guessand,fr FRA,"FW,MF",Nantes,fr Ligue 1,21,2001,30,15,1260,14.0,0.21,0.36,0.21,0.36,0.18,0.28,0.18,0.28,77.0,37.0,48.1,33.0,42.9,36.43,0.71,5.21,16.64,15.64,3.43,36.43,5.5,2.64,2.36,27.21,220.79,93.79,3.29,1.71,0.57,3.5,2.21,25.29,6.93,2.0,0.29,1.14,0.0,0.43,0.21,0.21,0.0,0.21,0.0,0.07,0.0,0.0,0.0,196.0,308.0,63.6,2835.0,906.0,111.0,155.0,71.6,64.0,102.0,62.7,11.0,28.0,39.3,0.14,0.09,0.07,0.05,0.93,1.29,0.93,0.14,2.64,22.0,21.43,0.29,0.07,0.14,0.14,2.21,0.07,0.0,0.0,0.0,0.0,14.0,0.29,0.86,1.57,0.86,0.14,0.25,0.12,0.4,0.4,50.9,0.14,0.0,0.0,2.21,1.5,0.43,0.64,1.14,0.0,0.0,5.14,2.0,1.93,1,0,0,0,1,0
928,1120,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,25,1996,30,17,1421,15.8,0.38,0.44,0.38,0.44,0.39,0.45,0.39,0.45,20.0,10.0,50.0,10.0,50.0,37.15,0.82,3.04,17.34,16.9,4.68,37.15,1.27,0.63,0.63,18.73,73.48,28.48,0.95,0.63,0.25,2.53,1.39,26.08,5.89,2.47,0.13,1.84,0.0,0.06,0.38,0.19,0.0,0.06,0.0,0.0,0.06,0.0,0.0,286.0,394.0,72.6,4358.0,762.0,150.0,189.0,79.4,86.0,113.0,76.1,25.0,30.0,83.3,0.06,0.06,0.08,0.0,0.89,1.46,0.63,0.06,2.34,24.94,23.42,1.33,0.0,0.0,0.57,0.25,0.25,0.0,0.0,0.0,0.0,18.1,0.19,1.2,3.23,1.08,0.12,0.35,0.12,-0.1,-0.1,38.2,0.13,0.0,0.0,1.77,0.89,1.01,0.25,1.27,0.0,0.0,3.1,1.84,2.97,1,0,1,0,0,0
931,1123,Miguel Gutiérrez,es ESP,DF,Girona,es La Liga,21,2001,34,27,2390,26.6,0.08,0.19,0.08,0.19,0.03,0.15,0.03,0.15,75.0,35.0,46.7,32.0,42.7,61.2,2.48,17.52,26.2,18.12,1.47,61.2,2.82,1.32,1.2,36.05,216.73,105.38,3.05,1.62,0.64,1.35,0.94,38.98,5.56,2.07,0.3,1.5,0.19,0.19,0.08,0.11,0.0,0.23,0.04,0.0,0.0,0.04,0.0,1130.0,1386.0,81.5,17750.0,5265.0,631.0,689.0,91.6,405.0,494.0,82.0,70.0,129.0,54.3,0.11,0.12,0.12,-0.01,0.83,3.46,1.09,0.6,4.7,52.11,42.93,9.02,0.94,0.08,0.04,3.91,8.01,0.08,0.0,0.0,0.0,42.48,0.15,1.02,0.64,0.15,0.12,0.5,0.05,1.2,1.2,36.0,0.23,0.0,0.0,0.86,0.9,0.11,0.68,0.86,0.0,0.0,5.9,0.34,0.6,1,0,1,0,0,0
939,1131,Janik Haberer,de GER,MF,Union Berlin,de Bundesliga,28,1994,32,30,2187,24.3,0.21,0.25,0.21,0.25,0.13,0.22,0.13,0.22,31.0,11.0,35.5,14.0,45.2,38.11,1.07,6.95,19.26,12.51,1.98,38.11,1.28,0.45,0.58,19.26,79.42,36.91,0.86,0.62,0.21,1.48,0.78,22.22,3.46,2.47,0.21,1.93,0.0,0.04,0.29,0.16,0.04,0.21,0.0,0.0,0.0,0.0,0.0,489.0,677.0,72.2,7369.0,2013.0,279.0,339.0,82.3,146.0,202.0,72.3,34.0,55.0,61.8,0.04,0.09,0.06,-0.05,0.95,2.39,0.58,0.16,3.21,27.86,27.24,0.33,0.04,0.16,0.08,0.58,0.29,0.0,0.0,0.0,0.0,20.12,0.29,1.07,1.32,0.58,0.16,0.36,0.1,1.7,1.7,42.7,0.04,0.0,0.0,1.4,1.56,0.04,0.58,0.7,0.0,0.0,5.93,1.56,2.1,1,0,0,0,0,1
941,1133,Munir El Haddadi,ma MAR,"MF,FW",Getafe,es La Liga,26,1995,28,10,1150,12.8,0.23,0.31,0.23,0.31,0.21,0.3,0.21,0.3,34.0,12.0,35.3,16.0,47.1,47.97,0.62,5.16,19.77,23.36,3.75,47.97,2.66,0.94,1.25,26.88,119.45,43.91,1.56,1.02,0.55,3.52,1.95,30.55,6.56,3.83,0.16,1.64,0.86,0.39,0.31,0.62,0.0,0.16,0.0,0.0,0.0,0.0,0.0,270.0,433.0,62.4,4236.0,1343.0,142.0,185.0,76.8,85.0,131.0,64.9,26.0,60.0,43.3,0.08,0.09,0.13,-0.02,1.09,1.56,0.86,0.62,2.34,33.83,28.91,4.53,1.8,0.0,0.16,5.47,0.94,1.48,0.55,0.86,0.0,21.09,0.39,1.56,2.5,0.7,0.09,0.33,0.09,0.3,0.3,50.0,0.31,0.0,0.0,1.09,2.66,1.02,0.7,0.55,0.0,0.0,5.0,2.19,2.19,1,0,1,0,0,0
955,1147,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,25,1997,17,17,1497,16.6,0.06,0.24,0.06,0.24,0.03,0.1,0.03,0.1,5.0,4.0,80.0,1.0,20.0,57.17,6.69,30.84,23.01,3.92,0.96,57.17,0.3,0.24,0.06,29.34,138.25,67.35,0.36,0.66,0.0,0.72,0.36,29.46,0.6,0.48,0.12,0.36,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.0,536.0,754.0,71.1,10059.0,4036.0,218.0,260.0,83.8,251.0,319.0,78.7,62.0,149.0,41.6,0.18,0.07,0.03,0.11,0.3,2.71,0.24,0.0,2.59,45.42,44.4,0.84,0.72,0.06,0.3,0.36,0.12,0.0,0.0,0.0,0.0,32.29,0.18,0.6,0.42,0.12,0.14,0.5,0.06,0.6,0.6,63.3,0.3,0.0,0.0,1.33,0.54,0.0,1.99,1.39,0.0,0.06,7.05,4.16,2.41,1,0,0,0,0,1
970,1165,Gauthier Hein,fr FRA,"MF,FW",Auxerre,fr Ligue 1,25,1996,35,23,1874,20.8,0.1,0.1,0.1,0.1,0.19,0.34,0.19,0.34,49.0,19.0,38.8,28.0,57.1,45.72,0.67,5.96,22.12,18.41,2.69,45.72,2.36,0.91,1.35,34.76,238.61,103.46,2.93,1.73,1.15,1.68,1.15,32.07,6.83,3.02,0.05,2.07,0.62,0.19,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,588.0,778.0,75.6,10358.0,2518.0,282.0,321.0,87.9,193.0,252.0,76.6,81.0,156.0,51.9,0.0,0.15,0.11,-0.15,1.39,2.84,0.72,0.24,3.65,37.4,32.4,4.86,1.59,0.1,0.82,4.76,0.67,2.26,1.01,0.77,0.0,28.27,0.14,0.72,1.82,0.48,0.05,0.2,0.1,-1.9,-1.9,8.8,0.05,0.0,0.0,1.01,0.67,0.1,0.29,0.96,0.0,0.0,4.28,0.14,1.49,1,0,0,0,1,0
