Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
18,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,,2000.0,32,27,2252,25.0,0.32,0.36,0.32,0.36,0.5,0.57,0.5,0.57,44.0,14.0,31.8,26.0,59.1,25.52,0.68,2.44,10.64,12.92,4.72,25.52,1.76,0.56,1.04,17.68,106.92,40.16,1.6,0.92,0.88,2.72,1.2,18.88,5.08,1.72,0.12,1.16,0.0,0.2,0.32,0.04,0.0,0.0,0.0,0.08,0.04,0.0,0.0,250.0,385.0,64.9,3676.0,786.0,125.0,185.0,67.6,89.0,126.0,70.6,14.0,29.0,48.3,0.04,0.08,0.06,-0.04,0.68,0.56,0.16,0.08,0.68,15.4,15.0,0.4,0.0,0.08,0.04,0.48,0.04,0.0,0.0,0.0,0.0,10.0,0.0,0.8,3.16,1.28,0.1,0.25,0.16,-4.4,-4.4,43.9,0.08,0.0,0.0,1.56,0.88,1.04,0.2,0.16,0.0,0.0,2.2,2.16,2.76,0.48,0.12,0.16,0.2,0.12,0.28,0.16,0.36,0.08,0.68,0.44,0.0,42.9
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,,1997.0,20,18,1617,18.0,0.11,0.11,0.11,0.11,0.04,0.05,0.04,0.05,3.0,1.0,33.3,0.0,0.0,77.22,10.06,39.61,35.06,2.67,1.61,77.22,0.17,0.06,0.0,45.39,253.33,147.83,0.56,0.67,0.06,0.22,0.22,56.06,0.28,0.56,0.0,0.33,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.0,1216.0,84.5,21010.0,7956.0,277.0,307.0,90.2,627.0,699.0,89.7,115.0,177.0,65.0,0.0,0.01,0.02,-0.01,0.11,2.61,0.11,0.0,3.44,67.56,65.61,1.83,1.56,0.06,0.5,0.06,0.11,0.0,0.0,0.0,0.0,57.11,0.11,0.44,0.78,0.28,0.14,0.4,0.05,1.3,1.3,66.7,0.11,0.0,0.0,0.56,0.28,0.0,1.39,0.61,0.0,0.0,2.39,3.11,1.56,1.17,0.89,0.28,0.0,0.67,1.17,0.5,0.89,0.61,2.56,4.44,0.0,57.1
23,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,,1998.0,27,16,1419,15.8,0.63,0.63,0.63,0.63,0.37,0.42,0.37,0.42,67.0,18.0,26.9,46.0,68.7,29.24,1.71,3.29,10.89,15.38,5.19,29.24,4.24,1.14,2.91,16.77,95.95,26.9,1.01,0.95,0.82,3.92,2.15,21.33,6.96,1.97,0.32,1.2,0.0,0.32,0.32,0.13,0.0,0.13,0.0,0.0,0.19,0.0,0.0,144.0,204.0,70.6,1847.0,385.0,94.0,122.0,77.0,41.0,60.0,68.3,3.0,6.0,50.0,0.0,0.04,0.03,-0.04,0.89,0.57,0.25,0.0,1.46,12.91,12.78,0.06,0.0,0.06,0.0,0.32,0.06,0.0,0.0,0.0,0.0,9.11,0.06,0.32,1.97,0.89,0.32,0.71,0.19,4.1,4.1,50.0,0.06,0.0,0.0,1.71,1.01,0.82,0.38,0.06,0.0,0.0,2.15,2.72,2.72,0.25,0.06,0.0,0.19,0.06,0.76,0.7,0.82,0.13,0.63,1.58,0.0,8.3
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,,2002.0,21,10,913,10.1,0.3,0.39,0.3,0.39,0.34,0.54,0.34,0.54,60.0,18.0,30.0,32.0,53.3,45.35,0.99,6.83,16.83,22.48,6.24,45.35,5.94,1.78,3.17,30.69,238.91,115.94,5.15,2.18,2.67,2.87,2.48,31.49,9.5,2.46,0.2,1.29,0.1,0.3,0.2,0.59,0.0,0.2,0.0,0.0,0.0,0.0,0.0,218.0,299.0,72.9,2929.0,719.0,135.0,162.0,83.3,61.0,83.0,73.5,8.0,18.0,44.4,0.1,0.2,0.16,-0.1,0.89,0.89,0.99,0.1,2.57,29.6,27.72,1.88,0.3,0.0,0.1,2.48,1.09,0.4,0.1,0.2,0.0,21.58,0.0,1.58,2.27,0.99,0.13,0.3,0.15,-0.5,-0.5,60.9,0.59,0.1,0.1,1.98,1.88,0.1,0.3,1.39,0.0,0.0,5.94,1.39,0.89,1.58,0.89,0.4,0.3,0.79,1.98,1.19,1.09,0.0,1.88,0.5,0.0,40.0
25,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,,2002.0,31,25,2222,24.7,0.24,0.28,0.24,0.28,0.17,0.32,0.17,0.32,123.0,50.0,40.7,64.0,52.0,46.92,1.46,7.57,14.74,25.38,6.19,46.92,4.98,2.02,2.59,31.3,204.98,121.3,4.49,1.94,2.55,1.94,1.13,32.19,11.26,3.12,0.16,2.06,0.04,0.53,0.28,0.12,0.08,0.12,0.0,0.0,0.0,0.0,0.04,634.0,840.0,75.5,8828.0,1713.0,412.0,491.0,83.9,185.0,245.0,75.5,20.0,38.0,52.6,0.04,0.15,0.14,-0.11,1.34,0.69,1.34,0.45,2.02,34.01,33.0,0.93,0.12,0.28,0.08,3.08,0.61,0.2,0.0,0.04,0.0,25.67,0.08,1.17,2.11,0.89,0.12,0.27,0.08,1.7,1.7,40.0,0.12,0.0,0.0,1.17,0.77,0.69,0.77,0.81,0.04,0.0,4.78,0.32,0.49,1.82,0.93,0.45,0.45,0.77,1.7,0.93,1.26,0.04,2.59,0.89,0.0,45.2
26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,,2002.0,15,14,1243,13.8,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,5.0,4.0,80.0,1.0,20.0,58.77,6.81,27.1,28.77,3.33,0.72,58.77,0.36,0.29,0.07,40.14,254.06,116.59,0.72,0.87,0.0,0.87,0.36,37.03,0.29,0.8,0.0,0.58,0.0,0.0,0.0,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.0,578.0,669.0,86.4,10635.0,4097.0,216.0,246.0,87.8,294.0,323.0,91.0,52.0,73.0,71.2,0.0,0.01,0.04,-0.01,0.22,2.75,0.07,0.0,2.46,48.48,45.51,2.9,1.96,0.0,0.22,0.14,0.8,0.0,0.0,0.0,0.0,41.88,0.07,0.36,0.29,0.0,0.0,0.0,0.09,-0.4,-0.4,57.7,0.14,0.0,0.0,0.72,0.87,0.14,1.3,0.65,0.0,0.0,4.35,2.17,1.59,0.94,0.58,0.22,0.14,0.43,0.51,0.07,1.09,0.58,2.25,4.64,0.07,85.7
28,Yacine Adli,fr FRA,MF,Milan,it Serie A,,2000.0,24,17,1407,15.6,0.06,0.19,0.06,0.19,0.02,0.16,0.02,0.16,32.0,22.0,68.8,8.0,25.0,92.24,2.44,16.79,58.53,18.01,0.51,92.24,2.05,1.41,0.51,55.96,303.08,137.44,1.92,1.73,0.19,1.15,0.64,67.5,1.67,3.97,0.51,2.63,1.15,0.19,0.0,0.0,0.0,0.26,0.19,0.06,0.0,0.0,0.0,1125.0,1300.0,86.5,20142.0,6752.0,489.0,534.0,91.6,487.0,534.0,91.2,120.0,177.0,67.8,0.13,0.14,0.13,-0.01,1.41,9.55,1.03,0.38,8.01,83.33,78.21,5.0,2.31,0.19,1.03,3.21,0.45,2.24,0.71,0.77,0.0,72.12,0.13,0.9,0.26,0.06,0.25,1.0,0.07,0.7,0.7,60.0,0.19,0.0,0.0,1.67,0.58,0.06,1.28,1.09,0.0,0.06,6.03,0.96,0.64,2.18,1.09,0.83,0.26,0.83,2.24,1.41,1.41,0.51,3.46,0.96,0.06,37.1
31,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,,1997.0,36,26,2230,24.8,0.0,0.04,0.0,0.04,0.04,0.11,0.04,0.11,25.0,14.0,56.0,9.0,36.0,68.31,2.06,16.33,41.61,10.89,0.93,68.31,1.01,0.56,0.36,41.94,181.73,90.65,1.05,0.93,0.12,1.09,0.77,52.74,2.22,1.61,0.04,1.29,0.08,0.08,0.08,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1370.0,1503.0,91.2,21535.0,5798.0,729.0,773.0,94.3,525.0,562.0,93.4,79.0,103.0,76.7,0.04,0.06,0.04,-0.02,0.69,4.72,0.36,0.04,5.04,60.6,58.35,2.14,1.37,0.12,0.2,0.48,0.52,0.24,0.12,0.0,0.0,55.24,0.12,0.69,0.73,0.2,0.0,0.0,0.06,-1.1,-1.1,40.7,0.32,0.0,0.0,1.49,1.21,0.0,0.48,0.81,0.0,0.0,5.44,0.44,0.65,1.41,0.36,0.81,0.24,0.6,1.37,0.77,1.13,0.24,1.9,0.89,0.0,44.1
32,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,,1997.0,32,29,2596,28.8,0.03,0.07,0.03,0.07,0.08,0.13,0.08,0.13,31.0,15.0,48.4,16.0,51.6,76.32,8.23,28.47,42.81,5.73,1.11,76.32,1.08,0.52,0.56,54.93,354.97,189.58,1.46,0.9,0.07,0.83,0.8,48.78,0.66,1.63,0.03,1.49,0.0,0.0,0.14,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1599.0,1838.0,87.0,32774.0,10984.0,476.0,525.0,90.7,855.0,926.0,92.3,240.0,343.0,70.0,0.03,0.05,0.06,-0.02,0.42,5.97,0.17,0.03,6.22,63.82,60.0,3.68,1.74,0.17,0.38,0.21,1.67,0.0,0.0,0.0,0.0,55.52,0.14,0.38,1.11,0.17,0.03,0.2,0.07,-1.4,-1.4,58.4,0.03,0.0,0.0,1.08,0.35,0.07,1.91,1.42,0.0,0.1,7.53,1.56,1.11,2.26,1.32,0.8,0.14,1.53,2.22,0.69,1.63,0.87,4.17,4.03,0.03,68.8
36,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,,1999.0,24,19,1614,17.9,0.0,0.0,0.0,0.0,0.05,0.08,0.05,0.08,35.0,14.0,40.0,17.0,48.6,49.5,3.41,16.87,20.28,12.79,1.34,49.5,1.96,0.78,0.95,25.7,128.32,68.32,1.79,0.89,0.39,1.79,0.56,27.65,5.03,1.34,0.17,0.89,0.06,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.17,0.0,488.0,669.0,72.9,7657.0,2921.0,246.0,292.0,84.2,203.0,253.0,80.2,27.0,67.0,40.3,0.0,0.03,0.08,-0.03,0.39,1.01,0.89,0.39,1.79,37.37,30.06,7.15,0.17,0.0,0.11,2.57,6.93,0.06,0.0,0.0,0.0,27.26,0.17,1.68,0.61,0.0,0.0,0.0,0.08,-0.9,-0.9,38.5,0.11,0.0,0.0,0.84,2.46,0.11,0.73,1.62,0.17,0.0,3.97,0.84,1.34,2.51,1.56,0.73,0.22,1.62,2.29,0.67,1.51,0.39,3.24,2.29,0.0,70.7
