,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
176,176,180,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,23,1997,37,37,3329,37.0,42,1.14,141,99,72.3,12,15,10,11,29.7,4,3,0,1,0.0,1,5,0,40.9,0.28,-1.1,-0.03,158,561,28.2,1285,186,31.9,33.0,234,64.5,48.9,517,60,11.6,36,0.97,12.9,150,409,1082,1525,71.0,28041,16948,200,200,100.0,601,612,98.2,277,699,39.6,,0.4,0.2,-0.4,3,26,0,0,1,0,5,0.14,0.0,1185,1591,21,1612,988,931,32.03,43.0,0.57,43.57,26.7,25.16
178,178,182,Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,34,1986,37,37,3330,37.0,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,22.2,1,14,1,55.5,0.26,-1.5,-0.04,194,486,39.9,999,166,36.0,34.1,291,43.3,37.5,533,15,2.8,38,1.03,14.8,126,359,945,1294,73.0,26527,17896,149,150,99.3,462,474,97.5,329,660,49.8,,0.0,0.0,0.0,1,8,1,0,2,3,7,0.19,0.08,1213,1373,13,1386,718,600,32.78,37.11,0.35,37.46,19.41,16.22
179,179,183,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,26,1995,21,21,1890,21.0,28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,0,100.0,2,3,1,31.4,0.31,4.4,0.21,107,251,42.6,854,88,23.5,28.8,144,34.7,35.2,283,9,3.2,15,0.71,13.6,49,200,829,1001,82.8,20830,13852,182,183,99.5,432,437,98.9,212,374,56.7,,0.0,0.0,0.0,0,8,2,0,0,0,2,0.1,0.0,835,1044,9,1053,654,647,39.76,49.71,0.43,50.14,31.14,30.81
180,180,184,Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,25,25,2175,24.2,51,2.11,123,72,62.6,7,5,13,4,16.0,5,5,0,0,0.0,1,6,0,42.2,0.31,-8.8,-0.36,126,333,37.8,621,125,32.9,33.0,204,63.2,48.2,404,17,4.2,32,1.32,15.0,128,204,598,829,72.1,17801,12589,84,84,100.0,272,275,98.9,241,465,51.8,,0.0,0.0,0.0,1,7,0,0,0,0,2,0.08,0.0,796,901,2,903,458,379,32.89,37.23,0.08,37.31,18.93,15.66
181,181,185,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,29,1992,37,37,3330,37.0,43,1.16,130,88,70.0,16,12,9,13,35.1,4,4,0,0,0.0,0,5,1,35.0,0.24,-7.0,-0.19,164,401,40.9,718,145,39.1,34.3,239,50.2,40.6,476,13,2.7,39,1.05,13.7,119,280,696,960,72.5,19862,15299,141,142,99.3,291,295,98.6,259,515,50.3,,0.1,0.0,-0.1,1,6,0,0,1,0,4,0.11,0.0,905,1024,2,1029,586,435,24.46,27.68,0.05,27.81,15.84,11.76
183,183,187,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,16,16,1392,15.5,24,1.55,78,54,73.1,4,8,4,1,6.3,3,3,0,0,0.0,0,1,0,24.6,0.28,0.6,0.04,166,320,51.9,433,45,54.7,40.8,130,63.8,46.4,235,10,4.3,13,0.84,16.0,82,236,398,566,70.3,14404,12454,59,60,98.3,127,130,97.7,210,371,56.6,,0.0,0.1,0.0,0,23,1,0,1,0,7,0.45,0.0,490,596,8,604,318,240,31.61,38.45,0.52,38.97,20.52,15.48
184,184,188,Rui Silva,pt POR,GK,Betis,es La Liga,27,1994,22,21,1964,21.8,21,0.96,76,55,75.0,11,4,6,8,38.1,2,2,0,0,0.0,0,2,0,20.5,0.24,-0.5,-0.02,92,275,33.5,557,104,33.8,33.1,176,49.4,41.6,341,18,5.3,32,1.47,15.7,86,188,524,735,71.3,14281,9815,88,89,98.9,260,266,97.7,174,375,46.4,,0.0,0.0,0.0,0,2,0,0,0,0,1,0.05,0.0,655,771,4,775,374,291,30.05,35.37,0.18,35.55,17.16,13.35
185,185,189,Marco Silvestri,it ITA,GK,Udinese,it Serie A,30,1991,35,35,3150,35.0,50,1.43,141,92,68.1,10,14,11,7,20.0,7,5,0,2,0.0,0,4,1,45.5,0.29,-3.5,-0.1,167,430,38.8,677,106,46.1,36.7,252,46.8,38.4,462,16,3.5,10,0.29,11.0,117,312,642,942,68.2,18568,14841,153,153,100.0,267,270,98.9,216,500,43.2,,0.0,0.0,0.0,2,13,0,0,0,0,2,0.06,0.0,914,1018,3,1021,486,388,26.11,29.09,0.09,29.17,13.89,11.09
186,186,190,Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,34,34,3060,34.0,31,0.91,111,81,74.8,13,11,10,12,35.3,3,3,0,0,0.0,0,2,1,31.9,0.26,1.9,0.06,145,371,39.1,692,189,35.5,33.8,243,51.4,42.3,529,29,5.5,35,1.03,15.2,124,245,682,937,72.8,19101,14000,126,126,100.0,329,334,98.5,224,470,47.7,,0.0,0.1,0.0,1,15,2,0,0,0,7,0.21,0.0,829,973,4,977,529,350,24.38,28.62,0.12,28.74,15.56,10.29
188,188,192,Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,34,1987,37,37,3330,37.0,59,1.59,180,122,69.4,4,16,17,10,27.0,5,4,1,0,20.0,3,7,2,50.6,0.26,-6.4,-0.17,257,605,42.5,916,100,46.3,36.6,263,68.8,45.9,476,14,2.9,20,0.54,12.9,180,424,777,1182,65.7,24637,19024,141,142,99.3,264,270,97.8,370,764,48.4,,0.0,0.1,0.0,0,17,0,0,0,0,4,0.11,0.0,1064,1277,5,1282,695,552,28.76,34.51,0.14,34.65,18.78,14.92
