,Player,Nationality,Position,Team,Comp_level,Age,Birth_year,Minutes_90s,Gk_goals_against,Gk_pens_goals_allowed,Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Matches
30,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,17.1,30,2,0,7,0,27.5,0.30,-2.5,-0.15,103,276,37.3,286,87,44.8,38.9,168,88.1,58.5,263,10,3.8,13,0.76,12.8,Matches
31,Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24.0,46,4,1,5,0,41.5,0.31,-4.5,-0.19,92,296,31.1,525,85,41.9,36.6,198,38.4,35.7,332,10,3.0,26,1.08,15.6,Matches
32,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14.0,17,0,0,1,0,17.2,0.29,+0.2,+0.01,75,218,34.4,348,77,42.5,36.4,136,51.5,40.8,217,8,3.7,15,1.07,15.2,Matches
33,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28.0,40,3,0,4,0,42.0,0.32,+2.0,+0.07,165,370,44.6,873,135,30.6,32.3,204,50.5,42.1,413,31,7.5,30,1.07,14.8,Matches
34,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,26,1995,17.0,20,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,32,1989,16.2,29,5,0,4,2,28.6,0.31,+1.6,+0.10,104,242,43.0,351,69,49.0,39.8,94,74.5,54.6,195,6,3.1,14,0.86,16.0,Matches
36,Diego Conde,es ESP,GK,Getafe,es La Liga,22,1998,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,6,0.0,4,0,100.0,61.0,2,100.0,68.0,5,1,20.0,0,0.00,5.0,Matches
37,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,34,1987,36.9,63,8,0,10,1,56.0,0.28,-6.0,-0.16,186,431,43.2,1219,174,29.0,30.9,246,31.7,28.8,491,21,4.3,30,0.81,13.4,Matches
38,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,34,1987,25.0,62,5,1,5,1,44.1,0.29,-16.9,-0.68,181,424,42.7,686,78,40.2,35.3,218,67.9,47.9,355,9,2.5,39,1.56,16.9,Matches
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,29,1992,36.0,29,2,1,2,0,33.3,0.25,+4.3,+0.12,74,251,29.5,936,188,20.3,28.8,199,30.7,34.3,467,21,4.5,31,0.86,15.5,Matches
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,27,1994,35.0,63,6,4,10,1,52.4,0.28,-9.6,-0.27,321,703,45.7,890,112,52.9,39.4,316,73.4,48.2,484,22,4.5,33,0.94,15.0,Matches
41,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,23,1998,2.0,3,1,0,0,0,2.1,0.24,-0.9,-0.43,3,14,21.4,59,9,16.9,25.8,20,20.0,31.2,27,2,7.4,2,1.00,14.4,Matches
42,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8.0,15,2,0,1,1,9.5,0.21,-4.5,-0.56,72,163,44.2,187,28,61.5,44.5,62,77.4,56.7,106,5,4.7,4,0.50,10.5,Matches
43,Arthur Desmas,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,14.5,33,3,0,3,1,22.3,0.30,-9.7,-0.67,32,133,24.1,302,53,28.8,30.2,112,41.1,33.8,159,5,3.1,4,0.28,10.6,Matches
44,Javier Díaz,es ESP,GK,Sevilla,es La Liga,24,1997,1.0,1,0,0,0,0,0.6,0.28,-0.4,-0.45,5,10,50.0,31,2,25.8,29.1,3,66.7,49.3,17,1,5.9,0,0.00,13.7,Matches
45,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,30.8,37,7,0,3,1,37.7,0.23,+1.7,+0.05,182,554,32.9,711,151,54.3,42.1,230,73.0,53.5,405,35,8.6,35,1.14,13.9,Matches
46,Matías Dituro,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38.0,43,4,0,1,2,43.3,0.27,+2.3,+0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3,Matches
47,Ouparine Djoco,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,23.5,36,2,0,7,2,28.2,0.27,-5.8,-0.24,92,302,30.5,584,107,36.6,33.7,154,57.1,40.5,304,23,7.6,28,1.19,14.2,Matches
48,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,29,1992,6.0,5,0,0,0,0,4.1,0.21,-0.9,-0.16,24,58,41.4,191,27,24.6,30.5,33,33.3,35.8,66,4,6.1,12,2.00,17.5,Matches
49,Jaume Doménech,es ESP,GK,Valencia,es La Liga,30,1990,3.8,4,0,0,1,1,4.3,0.39,+1.3,+0.34,29,67,43.3,75,7,56.0,42.6,32,78.1,52.6,66,1,1.5,2,0.52,9.3,Matches
50,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17.0,17,1,0,3,1,17.5,0.27,+1.5,+0.09,20,47,42.6,374,108,8.8,22.0,95,14.7,21.7,176,11,6.3,34,2.00,18.4,Matches
51,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,23,1997,6.2,8,1,0,1,0,8.1,0.24,+0.1,+0.02,43,97,44.3,304,23,26.3,30.8,39,43.6,40.2,61,2,3.3,20,3.24,22.3,Matches
52,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16.0,25,1,0,1,0,19.3,0.32,-5.7,-0.36,67,203,33.0,282,46,38.3,36.3,133,71.4,48.9,223,5,2.2,10,0.63,15.4,Matches
53,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,32,1989,26.0,35,1,0,7,1,34.0,0.32,0.0,0.00,207,497,41.6,605,88,46.3,37.0,236,91.9,60.5,360,22,6.1,14,0.54,11.9,Matches
54,Ederson,br BRA,GK,Manchester City,eng Premier League,27,1993,37.0,26,1,0,1,0,25.7,0.30,-0.3,-0.01,87,182,47.8,988,165,15.7,25.7,138,19.6,26.8,300,21,7.0,55,1.49,19.0,Matches
55,Aarón Escandell,es ESP,GK,Granada,es La Liga,25,1995,3.2,6,2,0,0,0,4.2,0.14,-1.8,-0.57,35,88,39.8,91,13,64.8,44.0,37,78.4,51.2,41,3,7.3,10,3.17,16.1,Matches
56,Michael Esser,de GER,GK,Bochum,de Bundesliga,33,1987,3.0,7,2,0,1,0,8.5,0.32,+1.5,+0.51,20,65,30.8,104,10,41.3,36.1,30,73.3,48.3,52,1,1.9,1,0.33,10.7,Matches
57,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,36,1985,37.0,50,2,2,8,2,46.8,0.26,-1.2,-0.03,193,525,36.8,736,164,48.9,38.2,277,59.6,44.4,595,28,4.7,12,0.32,10.4,Matches
58,Wladimiro Falcone,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,14,1,0,0,1,11.8,0.20,-1.2,-0.13,63,150,42.0,284,42,34.5,33.2,74,70.3,45.0,164,7,4.3,2,0.21,10.2,Matches
59,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,15,1,0,1,0,13.1,0.28,-1.9,-0.15,25,82,30.5,221,61,30.3,30.6,82,18.3,24.4,159,15,9.4,21,1.71,16.6,Matches
60,Aitor Fernández,es ESP,GK,Levante,es La Liga,30,1991,13.0,29,1,0,8,0,23.5,0.27,-5.5,-0.42,59,154,38.3,286,66,41.6,36.2,92,38.0,34.9,177,9,5.1,21,1.62,18.1,Matches
61,Álvaro Fernández,es ESP,GK,Brentford,eng Premier League,23,1998,12.0,24,1,0,5,2,19.9,0.28,-2.1,-0.17,64,216,29.6,433,60,40.4,33.9,83,49.4,36.9,194,9,4.6,18,1.50,16.8,Matches
62,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,31,1990,1.0,5,0,0,1,0,2.7,0.34,-2.3,-2.32,11,17,64.7,19,4,36.8,36.4,12,83.3,50.8,16,0,0.0,0,0.00,4.0,Matches
63,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,28,1993,32.0,39,2,1,3,1,39.7,0.27,+1.7,+0.05,245,633,38.7,1084,112,41.5,37.8,244,75.0,59.1,462,14,3.0,35,1.09,15.8,Matches
64,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19.0,35,2,0,5,2,32.4,0.31,-0.6,-0.03,105,330,31.8,461,71,50.1,39.6,140,70.7,49.5,285,19,6.7,24,1.26,12.3,Matches
65,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26.0,49,3,0,3,1,37.1,0.29,-10.9,-0.42,196,622,31.5,657,76,64.1,44.7,223,90.1,60.6,455,20,4.4,37,1.42,15.9,Matches
66,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,4,0,25.0,18.0,0,,,0,0,,0,0.00,19.0,Matches
67,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8.0,30,2,0,3,2,24.2,0.41,-3.8,-0.47,65,182,35.7,288,26,45.8,37.5,70,71.4,52.2,95,7,7.4,19,2.38,18.6,Matches
68,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31.0,45,8,1,7,2,45.3,0.28,+2.3,+0.07,183,452,40.5,814,159,38.9,34.7,246,54.9,40.1,411,19,4.6,25,0.81,14.5,Matches
69,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,1.2,3,0,0,0,0,1.0,0.33,-2.0,-1.68,4,10,40.0,32,9,25.0,28.8,2,100.0,71.0,16,0,0.0,5,4.17,26.3,Matches
70,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38.0,57,3,0,4,3,55.1,0.29,+1.1,+0.03,103,315,32.7,623,134,30.0,30.9,299,42.8,35.9,525,8,1.5,25,0.66,14.0,Matches
71,Luca Gemello,it ITA,GK,Torino,it Serie A,21,2000,1.0,0,0,0,0,0,0.2,0.08,+0.2,+0.23,6,24,25.0,31,1,67.7,47.8,3,100.0,56.3,10,0,0.0,1,1.00,21.0,Matches
72,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,951,145,41.9,36.5,287,63.1,47.7,532,24,4.5,51,1.50,16.7,Matches
73,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25.0,25,4,0,4,1,23.9,0.33,-0.1,0.00,130,304,42.8,627,119,32.1,31.4,151,68.2,49.5,362,17,4.7,31,1.24,16.1,Matches
74,Jens Grahl,de GER,GK,Eint Frankfurt,de Bundesliga,32,1988,1.0,2,0,0,0,0,0.7,0.16,-1.3,-1.35,1,4,25.0,18,5,0.0,21.9,11,36.4,36.8,10,1,10.0,0,0.00,10.8,Matches
75,Ivo Grbić,hr CRO,GK,Lille,fr Ligue 1,25,1996,21.0,28,2,1,5,1,23.2,0.25,-3.8,-0.18,97,267,36.3,419,87,41.5,35.2,166,56.0,43.5,310,16,5.2,13,0.62,11.7,Matches
76,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,21,2000,13.3,27,1,1,1,2,23.9,0.34,-1.1,-0.08,64,166,38.6,290,64,34.8,34.4,110,59.1,46.6,173,6,3.5,14,1.05,14.1,Matches
77,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,24,1997,1.0,3,0,1,0,0,1.5,0.24,-1.5,-1.53,1,10,10.0,21,6,33.3,34.1,10,30.0,32.7,13,0,0.0,1,1.00,12.5,Matches
78,Lennart Grill,de GER,GK,Leverkusen,de Bundesliga,22,1999,1.0,2,0,0,0,1,1.8,0.31,+0.8,+0.84,5,17,29.4,37,7,29.7,28.5,10,60.0,43.8,12,0,0.0,0,0.00,12.0,Matches
79,Vicente Guaita,es ESP,GK,Crystal Palace,eng Premier League,34,1987,29.5,33,3,1,10,0,28.8,0.23,-4.2,-0.14,105,282,37.2,778,182,26.6,28.3,201,37.3,31.5,386,17,4.4,36,1.22,16.3,Matches
80,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,31,1990,33.0,34,3,0,6,1,31.9,0.27,-1.1,-0.03,117,310,37.7,976,162,24.9,29.5,198,33.8,33.1,349,14,4.0,61,1.85,20.6,Matches
81,Angus Gunn,sct SCO,GK,Norwich City,eng Premier League,25,1996,9.0,22,2,0,2,0,19.3,0.30,-2.7,-0.30,45,129,34.9,219,47,43.4,34.5,86,39.5,34.5,175,3,1.7,14,1.56,17.3,Matches
82,Samir Handanović,si SVN,GK,Inter,it Serie A,37,1984,37.0,30,4,0,3,1,33.2,0.24,+4.2,+0.11,139,301,46.2,1118,176,24.3,28.1,142,20.4,26.5,393,15,3.8,10,0.27,11.2,Matches
83,Wayne Hennessey,wls WAL,GK,Burnley,eng Premier League,34,1987,2.0,6,0,0,1,1,3.2,0.26,-1.8,-0.91,27,63,42.9,57,7,77.2,50.8,21,90.5,63.6,37,0,0.0,4,2.00,17.0,Matches
84,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,28,1993,36.0,48,4,0,10,1,48.1,0.29,+1.1,+0.03,388,850,45.6,852,78,69.0,46.5,306,85.6,58.5,529,23,4.3,64,1.78,18.1,Matches
85,Marwin Hitz,ch SUI,GK,Dortmund,de Bundesliga,33,1987,4.5,12,2,0,1,0,8.6,0.27,-3.4,-0.76,16,32,50.0,147,31,18.4,27.7,30,16.7,28.2,54,3,5.6,9,2.00,20.6,Matches
86,Timo Horn,de GER,GK,Köln,de Bundesliga,28,1993,13.0,21,0,0,3,1,19.7,0.36,-0.3,-0.02,67,166,40.4,438,47,32.2,33.1,81,30.9,33.4,149,4,2.7,19,1.46,17.4,Matches
87,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,31,1989,32.0,44,2,2,6,0,41.9,0.26,-2.1,-0.07,130,381,34.1,1050,173,27.8,30.6,209,42.6,37.4,385,17,4.4,45,1.41,17.5,Matches
88,Stefanos Kapino,gr GRE,GK,Arminia,de Bundesliga,27,1994,1.0,0,0,0,0,0,1.0,0.26,+1.0,+1.02,7,16,43.8,21,3,38.1,37.3,10,80.0,48.9,31,1,3.2,2,2.00,18.4,Matches
89,Eiji Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38,1983,1.0,0,0,0,0,0,0.1,0.07,+0.1,+0.07,3,6,50.0,23,5,13.0,26.0,7,42.9,31.7,12,2,16.7,0,0.00,12.0,Matches
90,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,22,1998,2.0,2,0,0,0,0,2.2,0.28,+0.2,+0.11,2,10,20.0,78,13,11.5,22.7,13,7.7,23.0,20,0,0.0,3,1.50,17.1,Matches
91,Kristoffer Klaesson,no NOR,GK,Leeds United,eng Premier League,20,2000,0.4,0,0,0,0,0,0.6,0.14,+0.6,+1.38,1,3,33.3,8,2,25.0,30.4,3,33.3,28.7,7,0,0.0,2,5.00,23.7,Matches
92,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,23,1997,28.5,39,3,2,5,2,37.3,0.32,+0.3,+0.01,77,240,32.1,836,142,20.5,27.5,185,37.3,35.4,343,17,5.0,49,1.72,16.1,Matches
93,Tim Krul,nl NED,GK,Norwich City,eng Premier League,33,1988,29.0,62,7,1,7,2,48.3,0.27,-11.7,-0.40,134,399,33.6,847,168,34.5,34.3,224,47.8,40.1,442,14,3.2,19,0.66,12.6,Matches
94,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38.0,48,4,0,6,1,52.4,0.30,+5.4,+0.14,206,607,33.9,824,137,46.2,39.2,288,78.5,55.5,491,27,5.5,56,1.47,14.9,Matches
95,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,35,1985,25.7,33,3,1,2,0,31.8,0.29,-1.2,-0.05,108,259,41.7,535,133,35.3,31.3,199,35.2,33.1,293,19,6.5,24,0.93,14.1,Matches
96,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,28,1993,38.0,51,11,0,10,0,52.8,0.24,+1.8,+0.05,272,792,34.3,840,119,63.3,46.0,313,83.1,60.2,586,42,7.2,28,0.74,12.1,Matches
97,Bernd Leno,de GER,GK,Arsenal,eng Premier League,29,1992,4.0,9,0,0,0,0,9.4,0.50,+0.4,+0.11,17,53,32.1,77,13,35.1,33.8,37,70.3,50.4,73,6,8.2,1,0.25,7.3,Matches
98,Alexandre Letellier,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,0,,2,0,0.0,22.0,1,0.0,34.0,1,0,0.0,0,0.00,,Matches
99,Luca Lezzerini,it ITA,GK,Venezia,it Serie A,26,1995,5.5,9,0,0,0,0,9.3,0.25,+0.3,+0.05,22,59,37.3,155,39,28.4,30.3,44,34.1,31.0,100,2,2.0,3,0.55,13.8,Matches
100,Andreas Linde,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12.0,24,1,0,5,1,19.7,0.31,-3.3,-0.27,63,211,29.9,408,69,39.0,35.1,87,59.8,44.8,227,13,5.7,10,0.83,13.8,Matches
101,Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,34,1986,38.0,40,2,1,5,1,37.6,0.26,-1.4,-0.04,115,279,41.2,676,161,29.6,31.0,278,28.4,26.5,567,33,5.8,45,1.18,14.2,Matches
102,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,30,1990,33.1,45,3,1,8,3,42.7,0.26,+0.7,+0.02,113,263,43.0,910,160,23.0,29.3,219,24.7,31.4,412,17,4.1,28,0.85,14.6,Matches
103,Diego López,es ESP,GK,Espanyol,es La Liga,39,1981,35.3,49,3,0,4,2,50.3,0.31,+3.3,+0.09,158,429,36.8,859,207,33.8,33.8,298,46.6,38.7,616,35,5.7,43,1.22,13.7,Matches
104,Pau López,es ESP,GK,Marseille,fr Ligue 1,26,1994,29.0,31,4,0,5,0,29.9,0.32,-1.1,-0.04,79,248,31.9,1166,145,16.8,25.8,167,31.1,33.4,271,19,7.0,46,1.59,17.8,Matches
105,Jonas Lössl,dk DEN,GK,Brentford,eng Premier League,32,1989,2.0,5,0,0,0,0,3.2,0.46,-1.8,-0.90,9,25,36.0,48,6,43.8,35.7,13,30.8,31.7,30,1,3.3,5,2.50,22.7,Matches
106,Marcel Lotka,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,9.8,20,3,0,4,0,13.8,0.23,-6.2,-0.63,63,188,33.5,262,47,52.3,39.7,73,69.9,52.5,144,13,9.0,10,1.02,12.1,Matches
107,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,22,1999,2.0,2,1,0,0,0,3.6,0.22,+1.6,+0.81,5,10,50.0,57,13,7.0,23.3,23,26.1,33.6,39,3,7.7,0,0.00,9.9,Matches
108,Andrey Lunyov,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1.0,1,0,0,0,0,0.4,0.19,-0.6,-0.62,4,10,40.0,43,5,14.0,25.4,6,66.7,53.7,21,0,0.0,0,0.00,13.0,Matches
