,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
107,107,107,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,24-194,1999,10,10,900,10.0,13,1.3,42,29,71.4,2,4,4,3,30.0,1,1,0,0,0.0,1,1,0,12.1,0.27,-0.9,-0.09,40,109,36.7,132,21,55.3,39.8,63,57.1,42.0,154,5,3.2,1,0.1,8.0,35,72,121.0,196.0,61.7,3715.0,3106.0,33.0,33.0,100.0,40.0,40.0,100.0,47.0,120.0,39.2,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,209.0,0.0,209.0,100.0,63.0,19.4,20.9,0.0,20.9,10.0,6.3
112,112,112,Alexandre Oukidja,dz ALG,GK,Metz,fr Ligue 1,35-234,1988,24,24,2087,23.2,36,1.55,126,90,74.6,5,5,14,4,16.7,4,4,0,0,0.0,1,3,0,30.9,0.22,-5.1,-0.22,156,437,35.7,483,84,55.7,41.5,189,88.9,59.0,377,27,7.2,17,0.73,10.5,168,269,371.0,674.0,55.0,13616.0,11123.0,36.0,37.0,97.3,136.0,141.0,96.5,198.0,492.0,40.2,0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,3.0,0.0,2.0,0.09,0.0,614.0,747.0,5.0,752.0,416.0,207.0,26.47,32.2,0.22,32.41,17.93,8.92
115,115,115,Iñaki Peña ,es ESP,GK,Barcelona,es La Liga,25-007,1999,10,10,900,10.0,17,1.7,39,22,56.4,6,2,2,2,20.0,0,0,0,0,0.0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6,15,33,259.0,297.0,87.2,5660.0,3681.0,76.0,76.0,100.0,145.0,146.0,99.3,37.0,74.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,313.0,1.0,314.0,187.0,165.0,27.9,31.3,0.1,31.4,18.7,16.5
120,120,120,Đorđe Petrović,rs SRB,GK,Chelsea,eng Premier League,24-153,1999,11,10,907,10.1,18,1.79,57,40,70.2,5,2,3,2,20.0,2,1,0,1,0.0,0,3,1,14.4,0.24,-2.6,-0.26,36,110,32.7,298,48,25.8,28.8,61,54.1,41.3,148,7,4.7,14,1.39,17.1,33,76,279.0,361.0,77.3,6625.0,4261.0,81.0,81.0,100.0,139.0,140.0,99.3,58.0,137.0,42.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,338.0,385.0,1.0,386.0,228.0,208.0,33.47,38.12,0.1,38.22,22.57,20.59
132,132,132,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,18-364,2005,24,24,2160,24.0,32,1.33,99,67,71.7,7,8,9,4,16.7,4,4,0,0,0.0,1,4,0,34.0,0.3,2.0,0.08,68,222,30.6,527,67,28.7,29.7,127,55.9,41.9,384,4,1.0,12,0.5,10.2,70,151,474.0,654.0,72.5,11729.0,7934.0,116.0,116.0,100.0,236.0,244.0,96.7,120.0,290.0,41.4,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.08,0.0,581.0,715.0,6.0,721.0,456.0,343.0,24.21,29.79,0.25,30.04,19.0,14.29
139,139,139,Marcel Schuhen,de GER,GK,Darmstadt 98,de Bundesliga,31-056,1993,23,23,2070,23.0,57,2.48,147,90,61.9,2,6,15,2,8.7,2,1,1,0,50.0,1,6,1,50.6,0.34,-5.4,-0.23,167,416,40.1,931,129,33.9,34.0,194,51.5,43.1,308,14,4.5,40,1.74,17.0,99,315,833.0,1128.0,73.8,23765.0,17021.0,133.0,134.0,99.3,417.0,424.0,98.3,282.0,566.0,49.8,0,0.0,0.1,0.0,0.0,30.0,3.0,0.0,5.0,0.0,7.0,0.3,0.0,890.0,1145.0,36.0,1181.0,681.0,606.0,38.7,49.78,1.57,51.35,29.61,26.35
142,142,142,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,27-283,1996,20,20,1800,20.0,35,1.75,82,48,59.8,5,6,9,2,10.0,2,2,0,0,0.0,1,7,1,29.4,0.34,-4.6,-0.23,109,276,39.5,468,80,38.2,34.9,161,60.2,45.0,293,14,4.8,16,0.8,12.3,96,178,444.0,629.0,70.6,13094.0,9788.0,72.0,73.0,98.6,202.0,203.0,99.5,169.0,352.0,48.0,0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,0.1,0.0,575.0,675.0,3.0,678.0,293.0,246.0,28.75,33.75,0.15,33.9,14.65,12.3
146,146,148,Antonio Sivera,es ESP,GK,Alavés,es La Liga,27-211,1996,27,27,2430,27.0,33,1.22,105,74,75.2,7,8,12,6,22.2,7,7,0,0,0.0,0,2,2,33.6,0.26,2.6,0.1,201,521,38.6,620,89,60.0,43.9,233,63.9,45.7,401,18,4.5,23,0.85,13.7,148,372,510.0,855.0,59.6,17864.0,14061.0,93.0,93.0,100.0,165.0,168.0,98.2,249.0,589.0,42.3,0,0.1,0.1,-0.1,3.0,34.0,2.0,0.0,0.0,0.0,12.0,0.44,0.0,731.0,900.0,23.0,923.0,411.0,299.0,27.07,33.33,0.85,34.19,15.22,11.07
159,159,161,James Trafford,eng ENG,GK,Burnley,eng Premier League,21-151,2002,27,27,2430,27.0,60,2.22,162,104,66.0,3,4,20,2,7.4,5,5,0,0,0.0,0,10,2,53.2,0.3,-4.8,-0.18,132,562,23.5,1274,158,32.9,30.9,185,77.3,53.6,399,30,7.5,41,1.52,14.8,143,419,978.0,1470.0,66.5,22711.0,15734.0,314.0,319.0,98.4,433.0,446.0,97.1,226.0,686.0,32.9,0,0.0,0.1,0.0,0.0,24.0,1.0,0.0,5.0,1.0,7.0,0.26,0.04,998.0,1492.0,68.0,1560.0,971.0,896.0,36.96,55.26,2.52,57.78,35.96,33.19
161,161,163,Stefano Turati,it ITA,GK,Frosinone,it Serie A,22-186,2001,24,24,2160,24.0,51,2.12,121,70,61.2,5,5,14,2,8.3,6,4,1,1,20.0,0,8,1,38.4,0.29,-11.6,-0.48,56,223,25.1,762,117,24.0,27.7,113,35.4,33.6,339,16,4.7,18,0.75,13.9,40,182,669.0,877.0,76.3,14451.0,10703.0,215.0,215.0,100.0,339.0,347.0,97.7,111.0,309.0,35.9,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,836.0,930.0,5.0,935.0,590.0,535.0,34.83,38.75,0.21,38.96,24.58,22.29
162,162,164,Matt Turner,us USA,GK,Nott'ham Forest,eng Premier League,29-259,1994,17,17,1530,17.0,28,1.65,80,52,67.5,4,5,8,2,11.8,2,2,0,0,0.0,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45.0,436,99,42.7,35.7,136,69.1,47.0,296,30,10.1,18,1.06,13.3,93,186,398.0,578.0,68.9,12363.0,9869.0,87.0,87.0,100.0,147.0,151.0,97.4,162.0,330.0,49.1,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.24,0.0,489.0,611.0,6.0,616.0,319.0,230.0,28.76,35.94,0.35,36.24,18.76,13.53
164,164,166,Álvaro Vallés,es ESP,GK,Las Palmas,es La Liga,26-228,1997,27,27,2430,27.0,29,1.07,114,84,78.1,10,7,10,7,25.9,6,4,1,1,20.0,0,5,0,36.0,0.28,7.0,0.26,109,355,30.7,1354,142,22.4,27.6,118,44.1,39.9,419,25,6.0,76,2.81,18.0,52,303,1182.0,1481.0,79.8,26103.0,18814.0,363.0,364.0,99.7,576.0,593.0,97.1,238.0,510.0,46.7,0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,1.0,4.0,0.15,0.04,957.0,1523.0,62.0,1583.0,959.0,1016.0,35.44,56.41,2.3,58.63,35.52,37.63
165,165,167,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,21-204,2002,12,12,1080,12.0,16,1.33,47,31,70.2,5,5,2,1,8.3,2,2,0,0,0.0,0,1,0,13.6,0.25,-2.4,-0.2,25,58,43.1,464,70,11.2,22.3,46,13.0,19.1,121,9,7.4,12,1.0,14.3,5,51,468.0,510.0,91.8,9107.0,6121.0,191.0,193.0,99.0,206.0,209.0,98.6,68.0,104.0,65.4,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.17,0.0,449.0,522.0,7.0,529.0,383.0,343.0,37.42,43.5,0.58,44.08,31.92,28.58
170,170,172,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,28-241,1995,17,17,1530,17.0,20,1.18,72,53,75.0,6,6,5,5,29.4,2,2,0,0,0.0,0,3,1,22.1,0.3,3.1,0.18,93,199,46.7,613,117,28.1,32.6,81,33.3,36.3,250,23,9.2,18,1.06,14.7,26,172,565.0,700.0,80.7,16188.0,11075.0,69.0,70.0,98.6,265.0,272.0,97.4,231.0,352.0,65.6,0,0.2,0.1,-0.2,3.0,14.0,1.0,0.0,3.0,0.0,4.0,0.24,0.0,633.0,736.0,7.0,743.0,516.0,403.0,37.24,43.29,0.41,43.71,30.35,23.71
